Manufacturer,Model,Vehicle Type,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Acura,ZDX,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,7391
Alfa Romeo,Tonale Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,0,0,0,356,744
Audi,A3 TFSI e,PHEV,0,0,0,0,0,4280,2877,2597,437,0,0,0,0,0
Audi,A7 55 TFSI e,PHEV,0,0,0,0,0,0,0,0,0,229,31,68,308,346
Audi,A8 TSFI e,PHEV,0,0,0,0,0,0,0,0,0,190,31,74,384,358
Audi,e-tron GT,EV,0,0,0,0,0,0,0,0,0,0,7429,7503,3202,2894
Audi,Q4 e-tron,EV,0,0,0,0,0,0,0,0,0,0,45,2929,8144,8546
Audi,Q4 Sportback e-tron,EV,0,0,0,0,0,0,0,0,0,0,19,576,2606,2810
Audi,Q5 TFSI e,PHEV,0,0,0,0,0,0,0,0,0,4035,1038,2571,12605,12496
Audi,Q6 e-tron,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,966
Audi,Q8 e-tron,PHEV,0,0,0,0,0,0,0,0,5369,5919,7429,7503,8180,5978
Audi,Q8 Sportback e-tron,PHEV,0,0,0,0,0,0,0,0,0,1283,2266,2894,2907,1958
BMW,3-series Plug-in Hybrid,PHEV,0,0,0,0,0,880,4141,2600,705,3315,4946,3952,5779,6893
BMW,5-series Plug-in Hybrid,PHEV,0,0,0,0,0,0,3759,8664,5442,2142,2452,2711,3808,5569
BMW,7-series Plug-in Hybrid,PHEV,0,0,0,0,0,23,707,339,80,515,770,776,1837,2357
BMW,i3,EV,0,0,0,6092,11024,7625,6276,6117,4854,1508,1476,9,0,1
BMW,i4,EV,0,0,0,0,0,0,0,0,0,0,0,9662,22583,23403
BMW,i5,EV,0,0,0,0,0,0,0,0,0,0,0,0,2133,8763
BMW,i7,EV,0,0,0,0,0,0,0,0,0,0,0,312,3400,3431
BMW,i8,PHEV,0,0,0,555,2265,1594,488,772,1102,191,18,5,0,0
BMW,iX,EV,0,0,0,0,0,0,0,0,0,0,0,5665,17301,15383
BMW,X3-series Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,175,4946,0,0,0
BMW,X5-series Plug-in Hybrid,PHEV,0,0,0,0,892,5995,5349,4434,167,4051,6072,10708,15917,14469
BMW,XM,PHEV,0,0,0,0,0,0,0,0,0,0,0,0,393,394
Cadillac,CT6 Plug-in Hybrid,PHEV,0,0,0,0,0,0,205,231,25,0,0,0,0,0
Cadillac,ELR,PHEV,0,0,6,1310,1024,534,17,1,0,0,0,0,0,0
Cadillac,Escalade IQ,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,670
Cadillac,Lyriq,EV,0,0,0,0,0,0,0,0,0,0,0,122,9154,28402
Chevrolet,Blazer EV,EV,0,0,0,0,0,0,0,0,0,0,0,0,482,23115
Chevrolet,Bolt EV,EV,0,0,0,0,0,579,23297,18019,16313,20754,22073,11029,23164,8627
Chevrolet,Bolt EUV,EV,0,0,0,0,0,0,0,0,0,0,2755,27091,38881,0
Chevrolet,Equinox EV,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,28874
Chevrolet,Silverado EV,EV,0,0,0,0,0,0,0,0,0,0,0,0,461,7428
Chevrolet,Spark EV,EV,0,0,560,1145,2629,3035,23,7,0,33478,24459,13710,162,0
Chevrolet,Volt Plug-in Hybrid,PHEV,7671,23461,23094,18805,15393,24739,20349,18306,4915,0,0,0,0,0
Chrysler,Pacifica Plug-in Hybrid,PHEV,0,0,0,0,0,0,2981,7062,5811,7504,9832,12821,20494,23618
Dodge,Hornet Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,0,0,0,238,4523
Fiat,500e,EV,0,0,260,1503,3477,3737,3336,2250,632,0,0,0,2,213
Ford,C-Max Energi,PHEV,0,2374,7154,8433,7591,7957,8140,582,0,0,0,0,0,0
Ford,Escape Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,4711,14542,17858,23965,32309
Ford,F-150 Lightning,EV,0,0,0,0,0,0,0,0,0,0,0,15617,24165,33510
Ford,Focus Electric,EV,0,683,1738,1964,1582,901,1817,560,0,0,0,0,0,0
Ford,Fusion Energi,PHEV,0,0,6089,11550,9750,15938,9632,8074,7476,8853,0,0,0,0
Ford,Mustang Mach-E,EV,0,0,0,0,0,0,0,0,0,3,27140,39458,40771,51745
Ford,Explorer Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,7068,4799,5893,10479,0
Ford,E-Transit,EV,0,0,0,0,0,0,0,0,0,0,0,6500,7672,12610
GMC,Hummer EV,EV,0,0,0,0,0,0,0,0,0,0,0,854,1748,13993
GMC,Hummer EV SUV,EV,0,0,0,0,0,0,0,0,0,0,0,0,1496,0
GMC,Sierra EV,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,1788
Honda,Accord Plug-in Hybrid,PHEV,0,0,526,449,64,0,0,0,0,0,0,0,0,0
Honda,Clarity Electric,EV,0,0,0,0,0,0,1126,948,742,0,0,0,0,0
Honda,Clarity Plug-in Hybrid,PHEV,0,0,0,0,0,0,903,18602,10728,3664,2597,0,0,0
Honda,Fit EV,EV,0,93,569,407,2,0,0,0,0,0,0,0,0,0
Honda,Prologue,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,33017
Hyundai,Genesis Electrified G80,EV,0,0,0,0,0,0,0,0,0,0,0,0,1329,397
