Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Alabama,6.914444701,4.944208018,52.62302764,54.04077559,3.259633508,27.70864366,149.4907331
1991,Alabama,6.713861155,4.421320045,56.64822489,53.99670657,3.196165936,27.56254012,152.5388187
1992,Alabama,6.636900556,4.429119119,59.6453247,54.93791784,3.397601248,28.69491391,157.7417774
1993,Alabama,6.693299453,5.052581176,65.3982391,50.9435145,3.567260209,29.1258334,160.7807278
1994,Alabama,7.024889241,5.10056378,61.26668608,54.72921642,3.45009475,30.94406192,162.5155122
1995,Alabama,7.032760363,5.045123303,66.93342026,58.28072136,3.577748362,32.72662551,173.5963992
1996,Alabama,6.916972884,5.136076266,72.21898814,57.16121386,4.015025819,32.11020526,177.5584822
1997,Alabama,6.53179711,5.825164755,70.36305166,55.8910308,3.588136683,31.75793571,173.9571167
1998,Alabama,6.410426645,5.226551149,72.37039202,56.80082115,3.34476393,33.55496635,177.7079212
1999,Alabama,6.255142241,5.280760279,73.67814674,58.25429183,3.566156453,33.76195954,180.7964571
2000,Alabama,5.948929418,5.483595523,78.72910766,58.9510308,3.934234572,34.56721136,187.6141093
2001,Alabama,6.016991606,5.29196678,75.8127262,49.1429747,3.76902312,32.64668777,172.6803702
2002,Alabama,5.884117003,5.17736248,79.49766245,43.96715582,3.462568996,34.02268662,172.0115534
2003,Alabama,6.088777041,5.16246752,80.40352755,44.89504944,3.287435386,33.78482405,173.622081
2004,Alabama,6.19703001,5.305979364,79.82782354,44.73806202,3.17159483,34.44369784,173.6841876
2005,Alabama,6.063322114,5.011665401,83.6511014,41.49206498,2.884719799,34.58262151,173.6854952
2006,Alabama,5.862159799,5.343900148,85.82559446,41.005528,2.682824908,34.65154265,175.37155
2007,Alabama,5.958626738,5.36183629,88.11406905,40.78728588,2.56625926,35.52620726,178.3142845
2008,Alabama,6.116170886,5.431702522,83.13085102,42.08017693,2.750297904,32.73486912,172.2440684
2009,Alabama,5.70928628,5.92650588,68.04117502,37.37227421,2.754970496,31.51951409,151.323726
2010,Alabama,5.501800036,6.519485208,78.57955576,36.28584885,3.165238522,32.69912097,162.7510493
2011,Alabama,5.517720491,6.539328282,75.72934385,35.10559483,2.677663127,32.32501598,157.8946666
2012,Alabama,5.529218347,6.412132087,67.98985742,36.51021989,2.106842771,31.8397968,150.3880673
2013,Alabama,5.719959921,6.534390809,65.77378074,36.98609955,2.593157936,31.25602976,148.8634187
2014,Alabama,5.465113143,7.012203304,66.59565934,37.68820867,2.874583906,31.84591821,151.4816866
2015,Alabama,5.409235223,7.001076693,63.36516823,34.40447577,2.562860439,32.39462673,145.1374431
2016,Alabama,5.392381128,7.032192975,56.48662332,32.91846544,2.315021731,34.20901593,138.3537005
2017,Alabama,5.730827425,7.080198259,51.8355164,33.18833579,2.201387703,33.13545451,133.1717201
2018,Alabama,5.757171853,7.573229377,54.71974763,34.62051067,2.748900874,33.2386407,138.6582011
2019,Alabama,5.573215885,7.762474317,49.24564905,32.7299974,2.588142763,33.6780652,131.5775446
2020,Alabama,5.648828423,7.742057883,43.45574265,31.31096393,2.501158012,33.70726516,124.3660161
2021,Alabama,5.498860984,7.426167247,48.02380572,32.79957492,2.777165297,38.15901683,134.684591
2022,Alabama,5.384920083,7.673952067,51.08366685,30.74428792,2.7591476,37.38321257,135.0291871
