Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Alaska,0.03313515,2.678409304,2.790272016,20.88622802,1.604257405,8.606591131,36.59889303
1991,Alaska,0.031916266,2.760955212,2.649666317,22.98751453,1.636996847,7.470125791,37.53717496
1992,Alaska,0.032395729,2.985123801,2.477353935,24.32301428,1.745342637,7.207951244,38.77118163
1993,Alaska,0.039335496,2.957742245,2.496768145,23.90926838,1.696526306,8.211200977,39.31084155
1994,Alaska,0.0423849,2.958478367,2.51192775,23.71876527,1.721183684,7.884235746,38.83697571
1995,Alaska,0.04431504,2.897395376,2.593705089,27.60437007,1.755632641,8.853500161,43.74891837
1996,Alaska,0.044793699,3.180830659,2.716883538,28.08700939,1.771362191,9.178010204,44.97888968
1997,Alaska,0.049907629,2.944811858,2.920716948,26.22354839,1.672421332,9.71664765,43.5280538
1998,Alaska,0.044914745,2.955372401,3.106221277,26.76001771,1.601925927,10.28972484,44.75817691
1999,Alaska,0.045484776,3.132379109,3.207602683,25.2278417,1.87392097,11.31025536,44.7974846
2000,Alaska,0.040911852,3.0800307,3.331833959,25.31303823,1.702742608,11.95107137,45.41962872
2001,Alaska,0.046744109,2.946560037,3.408486425,25.12623661,1.822393331,11.52954842,44.87996893
2002,Alaska,0.05077121,2.434076153,3.432603871,25.85569811,1.613523629,11.69049878,45.07717175
2003,Alaska,0.054144864,2.297584604,3.117234097,25.8139481,1.666816811,11.94728316,44.89701163
2004,Alaska,0.058954997,2.590792008,3.308981272,24.90948694,1.825455618,14.66024074,47.35391158
2005,Alaska,0.061421576,2.534186208,3.377418853,26.16349404,1.744269428,14.94179468,48.82258478
2006,Alaska,0.06493004,2.888191149,3.620828434,22.58807619,2.171215993,14.82109626,46.15433806
2007,Alaska,0.058819334,2.681270223,3.403715728,22.49979387,1.853204591,13.99289374,44.48969749
2008,Alaska,0.052695368,2.762012917,3.385272786,20.41486435,1.731258883,12.38455984,40.73066414
2009,Alaska,0.052816618,2.629371165,3.281673352,20.78568555,1.771347566,11.10721608,39.62811033
2010,Alaska,0.066366063,3.52204537,3.182445319,19.90084827,1.725172348,10.48672131,38.88359868
2011,Alaska,0.066902661,3.80993264,3.30214621,19.9579947,1.797109027,9.015325652,37.94941089
2012,Alaska,0.070087946,3.655552736,3.254973832,19.58610664,1.770416474,8.569528511,36.90666614
2013,Alaska,0.066178187,3.656198335,2.778274707,19.63343094,1.590895369,7.712812782,35.43779032
2014,Alaska,0.060761928,3.49534643,3.059942349,19.21793017,1.517559456,8.466029018,35.81756936
2015,Alaska,0.045131618,3.702387542,3.099911015,18.93716899,1.639876381,8.019821888,35.44429744
2016,Alaska,0.045790732,3.193386294,2.891579474,18.56330967,1.538965053,7.694246634,33.92727786
2017,Alaska,0.047346463,3.277485645,2.915153456,18.52863639,1.652094434,7.930273678,34.35099007
2018,Alaska,0.053319112,2.683544985,2.801241634,19.06141416,1.52807492,7.42460191,33.55219672
2019,Alaska,0.056751123,2.703614898,2.837033056,18.84233216,1.526723426,7.745709921,33.71216458
2020,Alaska,0.06297288,2.735758201,2.857543649,20.10951853,1.719387361,8.083830369,35.56901099
2021,Alaska,0.062457238,2.920525885,2.915774313,21.43587105,1.776409481,9.655481274,38.76651924
2022,Alaska,0.064346015,2.851811596,2.977537728,24.00104479,1.700809518,9.020949115,40.61649876
