Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Arizona,7.807517361,6.089684717,33.68880298,7.304266199,1.916960516,23.65624656,80.46347833
1991,Arizona,6.839967447,6.187951867,33.94496159,7.536854437,1.992571739,23.71543785,80.21774493
1992,Arizona,7.682016844,5.910089713,36.61097038,7.385830694,1.861433247,24.58455621,84.03489709
1993,Arizona,7.185237714,5.971911952,37.74959328,7.602269242,1.810170595,26.03535372,86.35453651
1994,Arizona,7.21491088,5.98304637,39.18486763,8.130998611,1.896413398,27.13435165,89.54458854
1995,Arizona,7.421209114,6.002420468,33.36303666,8.621537799,1.907901393,27.76027535,85.07638078
1996,Arizona,7.413112404,5.900419432,33.32461991,8.892025042,1.896120763,29.59973659,87.02603414
1997,Arizona,7.632746633,6.133659988,36.06542056,8.866563905,2.109905801,31.38412853,92.19242542
1998,Arizona,7.84359803,6.064899946,38.53805026,8.929229435,2.433770168,32.24117685,96.05072469
1999,Arizona,7.913268255,6.419045938,40.87078247,8.753077246,2.359764313,34.16823196,100.4841702
2000,Arizona,7.304604242,6.531080981,45.8146706,8.668050804,2.429306479,34.72144862,105.4691617
2001,Arizona,7.645776046,6.260397137,47.02903594,8.454131006,2.43613472,35.66676797,107.4922428
2002,Arizona,7.494984722,6.273013452,46.11206504,7.959127494,2.401023505,36.91919373,107.1594079
2003,Arizona,7.778160925,6.311797832,47.30456485,7.954136507,2.355321849,37.75478954,109.4587715
2004,Arizona,7.97720712,6.569822157,52.99314387,8.690643488,2.454480925,38.10448416,116.7897817
2005,Arizona,8.056160035,6.702822676,52.09633846,8.989786432,2.351413531,39.48828458,117.6848057
2006,Arizona,8.283820764,6.60261686,53.97230033,9.517650411,2.389136,40.08643856,120.8519629
2007,Arizona,8.273072919,6.692167622,56.43447217,9.301396711,2.53861551,39.54611344,122.7858384
2008,Arizona,8.842044286,6.855919178,58.900123,9.194995213,2.725381704,36.78061225,123.2990756
2009,Arizona,8.404480253,6.742539944,53.66623855,7.743335104,2.466860311,33.98057854,113.0040327
2010,Arizona,8.457333649,5.659643216,55.68334452,9.009824762,2.662877673,36.36262215,117.835646
2011,Arizona,8.088103957,5.669088234,53.56685753,8.384545141,2.787663002,35.78868794,114.2849458
2012,Arizona,8.368627957,5.865397849,52.53698421,8.198225925,2.514167514,35.10389848,112.5873019
2013,Arizona,8.382066522,5.963255396,56.02569165,8.260935247,2.895672334,34.38070395,115.9083251
2014,Arizona,8.359178563,6.108590601,54.36512506,8.097574981,2.576189837,35.64567158,115.1523306
2015,Arizona,8.527554559,6.834023311,50.82603557,8.42638966,2.743467055,36.3139005,113.6713707
2016,Arizona,8.311318395,6.969409368,45.30450636,8.146886122,2.833061916,37.23878729,108.8039695
2017,Arizona,8.244776804,6.642203974,44.53717649,8.529930093,2.741830871,37.49483269,108.1907509
2018,Arizona,8.420354515,6.513027813,47.51236185,9.048820107,2.980438045,38.49084113,112.9658435
2019,Arizona,8.324183745,6.963625449,44.14372027,9.174493749,3.470233339,39.26369022,111.3399468
2020,Arizona,7.568692961,6.296839733,36.10896641,9.297104673,3.438495817,35.65252245,98.36262204
2021,Arizona,7.796227593,6.536661586,34.83329583,9.010317534,3.556842867,39.97638643,101.7097318
2022,Arizona,7.648862823,6.821036443,33.20978657,9.456066332,3.783946717,39.34858782,100.2682867
