Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Arkansas,17.01059494,3.100687137,22.13707469,18.92201471,2.574561936,17.13756813,80.88250155
1991,Arkansas,18.28917248,3.38123807,22.15002218,17.67529982,2.637329823,17.03565102,81.16871339
1992,Arkansas,16.72125155,3.505273153,22.5200703,18.98174346,2.516667859,17.42876058,81.6737669
1993,Arkansas,18.05878713,3.345053501,20.12738487,19.25309552,2.905181836,17.97374954,81.6632524
1994,Arkansas,17.86407714,3.578981256,22.34464949,20.1335548,2.702121421,19.070767,85.69415112
1995,Arkansas,18.15401831,3.631440247,24.24956096,20.82916429,2.847614987,19.57471968,89.28651847
1996,Arkansas,18.09190702,3.848110297,26.467608,20.71374752,3.010759125,20.01507365,92.1472056
1997,Arkansas,17.85871578,3.609101973,24.78282134,21.07362854,2.780970884,20.67944331,90.78468182
1998,Arkansas,19.14590889,3.412322364,26.42017201,21.09036417,2.475855534,21.01748023,93.56210319
1999,Arkansas,18.31658909,3.445813125,27.55026508,20.53836017,2.804160181,22.17372096,94.8289086
2000,Arkansas,19.01065985,3.585821795,27.16362005,20.90953896,3.06729191,22.36590499,96.10283755
2001,Arkansas,18.19997943,3.590246235,27.73344824,20.60073634,2.790711607,20.8979218,93.81304365
2002,Arkansas,18.43294061,3.591438522,26.32996591,20.33136253,2.746498855,20.75435773,92.18656416
2003,Arkansas,18.82895185,3.679674381,27.12918801,19.91208852,2.602141658,21.20991711,93.36196153
2004,Arkansas,20.06019123,3.597699029,28.03299858,19.22501344,2.359503328,20.79209607,94.06750167
2005,Arkansas,21.58591299,3.706426012,26.13053533,15.80604611,2.283890932,21.15661778,90.66942915
2006,Arkansas,21.02925316,3.603537316,28.22341309,16.65922854,2.205457782,21.3254506,93.04634048
2007,Arkansas,20.44596313,3.626392789,29.41565806,16.70444339,2.240475048,21.61149631,94.04442873
2008,Arkansas,19.33934567,4.159978351,29.83160355,17.5656809,2.510617156,20.35455745,93.76178309
2009,Arkansas,19.45648441,4.422617202,29.66941147,16.74587669,2.423717329,19.87910971,92.59721681
2010,Arkansas,21.17689427,5.406476267,33.23841494,17.48880334,2.562610444,20.15413376,100.027333
2011,Arkansas,19.32937683,5.27427188,35.10335226,18.22780971,2.394508396,19.58796905,99.91728811
2012,Arkansas,19.03425737,5.199980046,35.42861856,17.14590047,1.904185501,19.60284819,98.31579014
2013,Arkansas,17.30231593,5.419325117,36.49934978,16.8696075,2.519062841,19.08438321,97.69404438
2014,Arkansas,18.27383187,5.69032353,36.47399047,17.3947529,2.690365041,19.79543902,100.3187028
2015,Arkansas,18.55019549,5.728248938,27.7910034,16.01346877,2.352956973,19.17121764,89.60709121
2016,Arkansas,19.37293416,5.433048671,31.04391266,14.60414713,1.973857818,19.89753709,92.32543752
2017,Arkansas,16.57639094,5.458460943,32.64966933,16.07843585,1.885564599,20.01995917,92.66848083
2018,Arkansas,19.40679178,5.816355395,37.59507908,15.43561312,2.487281709,20.2072917,100.9484128
2019,Arkansas,17.06708685,5.947774915,31.74514436,14.75032032,2.451828966,20.26422716,92.22638257
2020,Arkansas,17.63191422,5.765739347,23.00721465,13.28050581,2.279044048,19.12350271,81.08792079
2021,Arkansas,17.70702725,6.102473425,29.0611035,12.85981042,2.533745283,20.39230003,88.65645991
2022,Arkansas,17.63267046,6.021157825,30.94285214,12.90124988,2.483728285,19.99375343,89.97541202
