Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,California,32.74066348,57.41935957,43.00657145,97.43617861,30.3441008,182.0627577,443.0096316
1991,California,30.83574974,57.51487851,40.59790526,99.66678386,30.25888123,171.0039135,429.8781121
1992,California,31.33196346,54.35420018,48.10920119,97.43878159,28.22166249,182.3558582,441.8116671
1993,California,32.2859596,48.64080648,44.49054859,93.49716913,29.53009649,178.2284525,426.6730328
1994,California,33.04600033,47.69196823,51.82169966,92.52174141,30.13890831,184.9654064,440.1857243
1995,California,33.71250766,47.27925179,39.46920421,93.10153465,28.35962428,188.2862899,430.2084125
1996,California,34.57817952,43.20023044,35.1588934,94.38286686,28.68782333,193.8804414,429.888435
1997,California,35.85538174,40.77952118,37.60331857,98.28060044,28.38098804,192.2248072,433.1246172
1998,California,35.38317651,41.46850563,41.00909758,98.70010554,33.90694239,195.0713143,445.539142
1999,California,36.63776701,37.71376332,45.03771275,95.04322682,33.66737987,200.893531,448.9933808
2000,California,38.27861101,37.64238011,54.75980695,96.48770124,29.40686039,210.6898962,467.2652559
2001,California,39.16528046,37.12824078,59.62808512,94.78446606,30.31730788,206.8741436,467.8975239
2002,California,40.35720143,36.37708543,45.81212566,96.90314062,30.2528142,216.7979297,466.5002971
2003,California,40.06790014,36.977983,44.7052266,96.32145762,29.8285555,212.5426232,460.4437461
2004,California,40.79264213,36.77629399,48.47639855,101.2674142,30.84449974,218.7538234,476.9110721
2005,California,40.45775987,36.88594655,43.97282064,97.99735259,29.41381555,220.4895592,469.2172544
2006,California,41.91994,37.03547883,48.50135336,97.1837247,29.72589859,219.9813391,474.3477345
2007,California,41.15927318,37.77335972,51.98579829,96.36419481,30.03538282,221.3728452,478.6908541
2008,California,42.71306087,38.46805247,52.78753323,91.79202886,30.41073824,205.0192846,461.1906982
2009,California,40.19172817,38.30512634,49.85118836,86.12563096,30.20446664,196.2657358,440.9438763
2010,California,41.15289422,36.03148727,45.43256004,86.23370324,31.16925626,188.2177838,428.2376848
2011,California,41.19416424,36.82961194,38.02296995,86.06116502,32.16269209,183.0485017,417.3191049
2012,California,41.17377589,37.42160352,49.65612242,86.77088791,30.01824853,180.1974848,425.2381231
2013,California,40.91293376,37.19085323,47.50600281,92.13738829,30.76227287,179.1047496,427.6142006
2014,California,42.16735531,36.38483695,48.00169241,88.78652171,26.28421828,181.383562,423.0081867
2015,California,41.4864692,40.4723657,45.96321947,90.70990061,26.9151125,182.9115027,428.4585701
2016,California,40.29700769,38.6852442,38.20032941,89.85153012,27.74907194,190.6506104,425.4337938
2017,California,39.58801013,39.57691085,34.42991168,88.65372254,28.85920225,194.7541456,425.8619031
2018,California,38.91458455,38.99826178,34.94004088,89.1990504,28.79192347,195.9497211,426.7935821
2019,California,38.1178961,40.63003172,32.44654947,88.96866906,31.56571666,197.4284037,429.1572667
2020,California,38.10945821,39.18076808,35.09584166,81.81936996,31.3740104,154.4627554,380.0422037
2021,California,36.96526786,39.3720516,36.71795319,81.17760275,31.87819531,174.4813588,400.5924295
2022,California,36.56334007,40.11215797,36.79185394,81.15316092,31.352687,173.1568577,399.1300576
