Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Colorado,14.61570338,8.548326031,32.16450363,21.17544357,5.09825829,18.9776094,100.5798443
1991,Colorado,14.28404728,9.289572207,31.53432095,22.61430619,5.786832805,18.88458664,102.3936661
1992,Colorado,15.77256257,8.964784292,32.51797544,23.15951976,5.529864981,19.69456357,105.6392706
1993,Colorado,15.72164292,8.321890603,32.94722199,23.12732618,6.062501093,21.27499654,107.4555793
1994,Colorado,15.05725651,8.527096468,34.29258467,23.84850543,5.664163525,21.75440235,109.1440089
1995,Colorado,15.52452535,8.406443868,33.29967526,22.89169408,6.214752197,22.55524172,108.8923325
1996,Colorado,15.71728515,8.797752987,34.92962541,22.2166915,6.585832839,23.34406747,111.5912554
1997,Colorado,16.10890238,8.409829382,35.10842907,24.42019149,6.409608982,23.78436227,114.2413236
1998,Colorado,16.58070896,7.790322678,36.49640571,25.08465763,6.107749574,25.22632764,117.2861722
1999,Colorado,15.68386864,7.878938787,36.66694924,24.37171952,6.618850346,27.21580818,118.4361347
2000,Colorado,15.27972606,7.870323311,40.25608541,26.44338502,7.102618866,27.57921984,124.5313585
2001,Colorado,15.04006786,8.657989852,42.48089277,30.40475594,7.48058647,28.77378196,132.8380749
2002,Colorado,14.78083609,8.332492127,41.30654108,30.84566528,7.737102067,28.71006661,131.7127033
2003,Colorado,15.04923571,8.080091592,41.49402088,31.14930896,7.783383631,27.26756304,130.8236038
2004,Colorado,14.19477983,7.778293703,41.56139794,32.02784099,7.399628045,30.16101221,133.1229527
2005,Colorado,14.92022058,8.217390248,41.86946675,34.51697604,7.745548786,30.60669823,137.8763006
2006,Colorado,15.16763711,7.815248299,42.75296134,36.14720657,7.301104791,30.93872869,140.1228868
2007,Colorado,16.60403072,7.949875127,44.07921611,36.63649239,8.000021195,31.2877637,144.5573992
2008,Colorado,15.6183229,8.621610922,42.16149101,37.69582343,8.255495906,30.26721288,142.6199571
2009,Colorado,15.31350481,8.647868903,39.46387818,37.38844484,7.91256807,28.6278122,137.354077
2010,Colorado,15.1152986,7.288183109,41.01286071,41.22580266,8.135781154,28.66396844,141.4418947
2011,Colorado,15.21746324,7.05882207,39.93405961,37.02520671,8.182675734,28.18699601,135.6052234
2012,Colorado,15.59804814,6.235866149,40.13712436,35.59080769,7.404874782,27.83806367,132.8047848
2013,Colorado,15.65313387,6.946248022,39.63428429,32.63268292,8.628556326,27.72045601,131.2153614
2014,Colorado,15.60556809,7.038804389,38.70513601,33.34556833,8.528921296,29.15085648,132.3748546
2015,Colorado,15.4002649,7.519581335,37.63878829,32.75690513,8.035506452,28.86754312,130.2185892
2016,Colorado,15.58519054,7.280808471,36.289317,32.09212017,8.052628914,29.71121007,129.0112752
2017,Colorado,16.06413976,7.538100053,35.80008937,32.67565587,7.846657418,30.01944877,129.9440912
2018,Colorado,15.73435381,7.604090528,34.70942597,33.04402211,8.56698144,30.841284,130.5001579
2019,Colorado,16.66571513,8.350914399,33.99747788,33.31316649,9.630266992,31.2827905,133.2403314
2020,Colorado,15.95393591,7.437140357,29.05145498,31.97046544,9.155994788,26.38162249,119.950614
2021,Colorado,15.8087766,7.416741685,31.12607152,28.86021991,9.141840269,29.88088247,122.2345324
2022,Colorado,15.54991606,7.676518322,29.85128177,28.90789075,9.554413877,32.65163688,124.1916577
