Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Connecticut,0.416469506,4.382504058,12.04850449,5.120785869,8.170277902,15.24906859,45.38761042
1991,Connecticut,0.414049337,4.410972428,11.58721178,5.147070031,8.042452276,15.00346816,44.60522401
1992,Connecticut,0.437755225,4.90124949,9.452361019,5.277372607,9.188490826,15.30777719,44.56500636
1993,Connecticut,0.446518042,4.455515833,8.131772539,5.287830276,8.49551994,15.41501171,42.23216834
1994,Connecticut,0.452598669,4.655720364,8.282074999,4.912686851,8.033950864,15.44100336,41.77803511
1995,Connecticut,0.445681065,4.277400888,9.14491671,4.748982182,7.396274529,15.14858667,41.16184204
1996,Connecticut,0.400898307,4.723861416,10.20621333,4.82489518,8.032096301,15.71020472,43.89816926
1997,Connecticut,0.407084762,4.847606747,13.30892938,4.680293525,7.732100318,16.53294938,47.50896411
1998,Connecticut,0.428476516,4.580017406,12.15092761,4.320769854,6.635082186,16.60356185,44.71883542
1999,Connecticut,0.468765013,4.69654001,10.97719688,4.150973451,7.329008104,17.96906736,45.59155082
2000,Connecticut,0.450727205,5.207489963,11.8176445,4.420479503,8.121908451,17.96730448,47.9855541
2001,Connecticut,0.453462747,4.875965239,10.43759481,4.22170219,8.24181581,18.12926577,46.35980656
2002,Connecticut,0.511054293,4.781113949,9.404410613,4.207393901,7.744274858,17.95230571,44.60055333
2003,Connecticut,0.475754954,5.824387973,8.788634455,4.326927061,9.368224642,19.27511608,48.05904516
2004,Connecticut,0.459486623,4.605329481,9.696734003,4.27100372,10.08292878,20.97883598,50.09431859
2005,Connecticut,0.413568291,4.440237129,10.97097304,4.294074894,8.861588023,19.20668505,48.18712643
2006,Connecticut,0.452371163,4.09669464,10.81392955,4.289057481,8.011976692,18.54623652,46.21026604
2007,Connecticut,0.387588713,4.155067681,10.1363152,3.987945435,8.129636018,18.49596837,45.29252142
2008,Connecticut,0.374589497,4.134784457,9.251784988,3.563702269,7.352642666,17.35830077,42.03580465
2009,Connecticut,0.370215632,4.232193015,7.740466518,3.404209745,8.022399028,16.96534064,40.73482458
2010,Connecticut,0.393282044,4.666571342,8.840198192,3.018544539,7.681836257,16.78510592,41.38553829
2011,Connecticut,0.411091934,4.777291874,7.728304983,3.025010196,7.543099062,16.45380463,39.93860268
2012,Connecticut,0.422603156,4.342931443,8.41866543,2.906517484,6.53917135,16.02443124,38.65432011
2013,Connecticut,0.404594712,4.746274124,8.012966485,3.27012129,7.21647511,15.50701434,39.15744606
2014,Connecticut,0.385735529,4.990186918,7.92786905,2.907790197,7.669399452,15.66757022,39.54855137
2015,Connecticut,0.348730223,5.531786098,8.604593997,2.837333528,7.618603619,15.82154998,40.76259744
2016,Connecticut,0.381680135,5.0130632,8.138463777,2.744736483,6.136072329,15.93902078,38.3530367
2017,Connecticut,0.395570722,5.002383436,7.338659574,2.753122754,6.193958023,16.03962253,37.72331704
2018,Connecticut,0.394657084,5.335953393,9.001877067,2.757551615,7.414157866,16.51688155,41.42107858
2019,Connecticut,0.36664781,5.314950128,8.941124408,2.791120793,7.384638146,16.11706516,40.91554645
2020,Connecticut,0.406910126,4.907835872,9.725099727,2.739242515,6.650602062,13.77133318,38.20102348
2021,Connecticut,0.367714958,5.193074628,10.22212618,2.647883369,6.977023398,15.11912217,40.5269447
2022,Connecticut,0.365484146,5.331446674,10.16286442,2.685847003,7.237548626,15.57364045,41.35683132
