Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Delaware,0.534945349,1.488243614,7.785274458,4.843210312,1.036879435,4.307965483,19.99651865
1991,Delaware,0.491037922,1.343185986,7.906391731,3.947475043,1.079285827,4.480562831,19.24793934
1992,Delaware,0.500964224,1.139313485,6.936210686,5.058792244,1.112072735,4.428044693,19.17539807
1993,Delaware,0.478899593,1.353598867,7.694314285,5.421872922,1.117296584,4.4752629,20.54124515
1994,Delaware,0.527113073,1.230934866,7.271427043,5.474615926,1.163476623,4.397660299,20.06522783
1995,Delaware,0.476790995,1.096279317,6.88836474,5.429962307,1.156202662,4.290730863,19.33833088
1996,Delaware,0.484804727,1.277078468,6.82646522,5.196184468,1.274588066,4.405889913,19.46501086
1997,Delaware,0.496088624,1.218998145,5.946652466,5.052210255,1.141470124,4.336788265,18.19220788
1998,Delaware,0.504486998,1.073730285,5.679689167,4.974864077,1.066773201,4.432997448,17.73254118
1999,Delaware,0.52930019,1.176434914,5.213588364,5.267393933,1.124807713,4.592776413,17.90430153
2000,Delaware,0.521183877,1.230785893,5.385406212,5.177207427,1.203894435,4.588765672,18.10724352
2001,Delaware,0.484421216,1.287371774,5.236522563,4.816813331,1.187747156,4.551511554,17.56438759
2002,Delaware,0.525088327,1.327944138,5.218917264,4.476174675,1.17704598,4.854094305,17.57926469
2003,Delaware,0.524827051,1.451511406,5.989471843,4.28264458,1.310521631,4.789574578,18.34855109
2004,Delaware,0.484599893,1.450002494,6.119528446,4.200139782,1.241884625,4.83500549,18.33116073
2005,Delaware,0.541885893,1.386588669,6.536448305,4.420205842,1.194140841,5.072730978,19.15200053
2006,Delaware,0.468990977,1.410519621,5.853826475,4.15848376,1.018318786,5.106367954,18.01650757
2007,Delaware,0.490822005,1.35749233,6.826509713,4.18573757,1.033446377,5.108623689,19.00263168
2008,Delaware,0.437321388,1.280527877,6.395549341,4.085920055,0.975322973,4.730430999,17.90507263
2009,Delaware,0.499933868,1.480415012,3.93593993,2.006192601,1.072087722,4.656154602,13.65072374
2010,Delaware,0.553214921,1.23497941,4.324605233,1.873940881,1.106081129,5.296527269,14.38934884
2011,Delaware,0.548409552,1.123557331,3.924213935,3.841097628,1.021910467,4.921206458,15.38039537
2012,Delaware,0.505973742,1.14979204,4.649575905,4.115266589,0.842375322,4.773283318,16.03626692
2013,Delaware,0.509295529,1.247823512,4.1418799,4.297241398,1.000726485,4.559776332,15.75674316
2014,Delaware,0.530867851,1.439674195,3.683237371,4.179005361,1.125248455,4.648290727,15.60632396
2015,Delaware,0.531732809,1.625595625,3.348708256,4.353460709,1.111505781,4.863758431,15.83476161
2016,Delaware,0.542121398,1.654656608,3.63615442,4.434229377,0.907391085,5.612679147,16.78723204
2017,Delaware,0.488970846,1.640722603,3.013296332,4.083553146,0.892474782,5.337768069,15.45678578
2018,Delaware,0.57124601,1.753450871,2.590842787,4.117075854,1.113583298,5.617738109,15.76393693
2019,Delaware,0.514534272,1.75753583,1.811071765,4.297973784,1.086307121,5.839522889,15.30694566
2020,Delaware,0.483731446,1.386224899,1.882647836,4.235934906,0.976611302,4.937022142,13.90217253
2021,Delaware,0.485736348,1.413305332,1.812608738,4.258454457,1.079531502,5.35643065,14.40606703
2022,Delaware,0.472975021,1.454653584,2.076316527,4.203938044,1.156851434,5.137751588,14.5024862
