Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,District of Columbia,0.000812878,1.332148979,0.526934226,0.266678733,0.937919391,1.843717042,4.908211249
1991,District of Columbia,0.000898947,1.469395091,0.277088642,0.252151078,0.949796726,1.835151282,4.784481765
1992,District of Columbia,0.000900316,1.448325039,0.356512349,0.237335159,1.012284803,1.854560699,4.909918365
1993,District of Columbia,0.000927238,1.499916646,0.463225607,0.223387946,1.001273691,1.930099146,5.118830275
1994,District of Columbia,0.000982039,1.473109862,0.52536895,0.245422286,0.949638918,1.861796351,5.056318407
1995,District of Columbia,0.001024822,1.502350207,0.319545297,0.224564431,0.985765102,1.866882455,4.900132314
1996,District of Columbia,0.001070776,1.481179339,0.25723342,0.213112739,1.091902801,1.820604001,4.865103076
1997,District of Columbia,0.001108184,1.465233596,0.220463027,0.216522111,1.004834028,1.891101161,4.799262107
1998,District of Columbia,0.001104582,1.357821491,0.38292706,0.193016456,0.847460419,1.852597907,4.634927914
1999,District of Columbia,0.001116459,1.297087912,0.340941545,0.223996026,0.882095288,1.920935705,4.666172935
2000,District of Columbia,0.001117587,1.424351531,0.373061446,0.183549946,0.966186116,1.956843016,4.905109642
2001,District of Columbia,0.001116953,1.493180093,0.371801399,0.234362331,0.825174214,1.82813955,4.75377454
2002,District of Columbia,0.00114475,1.497742635,0.502946133,0.229392153,0.940535966,1.742677218,4.914438856
2003,District of Columbia,0.001161909,1.3304675,0.335981633,0.277499609,0.999530911,1.674383094,4.619024656
2004,District of Columbia,0.001191666,1.407326299,0.330131544,0.244104688,0.971596915,1.694660447,4.649011559
2005,District of Columbia,0.001180935,1.515557739,0.551803729,0.237199125,0.93642872,1.620537675,4.862707924
2006,District of Columbia,0.001205955,1.25208908,0.204085824,0.260967509,0.716154642,1.494044069,3.928547079
2007,District of Columbia,0.001227138,1.365657441,0.185200626,0.205897492,0.837164063,1.479554249,4.074701008
2008,District of Columbia,0.001190109,1.313179778,0.163223211,0.206981486,0.79610358,1.325269033,3.805947197
2009,District of Columbia,0.001176381,1.353069303,0.124272953,0.200585175,0.837019356,1.348035641,3.864158809
2010,District of Columbia,0.0011893,1.409177479,0.271903952,0.169537081,0.85192973,1.286188934,3.989926476
2011,District of Columbia,0.001227657,1.306599029,0.231491515,0.172759945,0.718861669,1.326931578,3.757871394
2012,District of Columbia,0.001258586,1.09703048,0.06830315,0.170881775,0.726460254,1.177468511,3.241402755
2013,District of Columbia,0.001274155,1.17517184,0.061781126,0.186853013,0.824536331,1.179278109,3.428894575
2014,District of Columbia,0.001269764,1.204256691,0.124704074,0.177850055,0.897282011,1.279884541,3.685247136
2015,District of Columbia,0.001293302,1.220347524,0.0629339,0.185388556,0.875501544,1.241868052,3.587332879
2016,District of Columbia,0.001401372,1.135342186,0.10002788,0.194485432,0.697268556,1.306744309,3.435269735
2017,District of Columbia,0.001425762,1.134872619,0.104785119,0.19083386,0.724196359,1.086224369,3.242338089
2018,District of Columbia,0.001356231,1.170216652,0.061761573,0.190211746,0.831967196,1.942823164,4.198336562
2019,District of Columbia,0.001327896,1.138738882,0.091138216,0.19830995,0.740148012,1.308690179,3.478353134
2020,District of Columbia,0.001224412,1.059383031,0.025959578,0.193813883,0.695179649,0.997454433,2.973014986
2021,District of Columbia,0.001251447,1.059365026,0.061001535,0.190096441,0.761278464,1.073969409,3.146962323
2022,District of Columbia,0.001244885,1.10835981,0.037695397,0.200427176,0.795699026,1.056988458,3.200414752
