Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Florida,11.29846157,16.26754201,90.02651621,19.47230437,1.786192531,76.40616482,215.2571815
1991,Florida,11.23715628,15.15513161,95.6631493,18.78362016,1.857567978,72.33639667,215.033022
1992,Florida,11.2620145,15.05616394,94.15055933,20.14995137,2.029503185,75.62825782,218.2764501
1993,Florida,11.49992345,13.62759062,98.06664086,21.41998238,1.788286021,79.37895221,225.7813755
1994,Florida,11.73495707,13.10088692,100.3715824,22.62197318,1.685913237,81.41713306,230.9324458
1995,Florida,11.67923645,12.77318901,102.6886413,24.01328538,2.005983779,83.06228495,236.2226209
1996,Florida,11.39825194,12.70505504,107.7159498,24.07665675,2.248449753,85.30737759,243.4517409
1997,Florida,11.63724302,11.71638589,110.9963647,22.93554363,1.976878319,87.2246776,246.4870931
1998,Florida,11.43550722,11.45589151,121.5265274,23.03655961,2.063276748,89.26141303,258.7791755
1999,Florida,13.14996429,11.80060655,118.1834456,22.33805146,2.054163741,93.50190621,261.0281378
2000,Florida,13.02994446,13.34181663,120.6615462,22.19495509,2.17871769,99.1988779,270.605858
2001,Florida,11.62961699,13.43121072,121.993381,21.47622357,2.040410567,97.3394019,267.9102447
2002,Florida,11.91529383,13.89768259,125.4132466,20.55748376,1.954189837,99.85284955,273.5907462
2003,Florida,12.0830675,14.70287855,130.2417766,21.23827493,1.946334027,100.77868,280.9910115
2004,Florida,11.26108051,16.36755448,130.5779138,21.49468056,2.050179411,107.0957542,288.8471629
2005,Florida,11.45346378,17.13226013,130.9180906,24.27683907,1.936541936,109.1609909,294.8781863
2006,Florida,10.97818917,16.93626615,127.5176359,26.77575726,1.927460109,109.9918048,294.1271135
2007,Florida,10.81233112,15.48551872,128.7520345,28.92021516,1.881793185,107.5810744,293.432967
2008,Florida,10.39348368,14.92177419,121.3239844,22.57728775,1.983092606,100.4566603,271.656283
2009,Florida,10.27175645,14.87849894,114.7131776,20.59128379,2.300615004,96.02314911,258.7784809
2010,Florida,12.12186955,18.75501196,123.8734246,20.34696931,2.632957222,99.99957837,277.729811
2011,Florida,10.68535418,16.89980092,115.0354986,24.94998795,2.491761814,98.04414788,268.1065513
2012,Florida,10.71123465,17.02143534,111.5301862,20.87939191,2.381879093,97.19759868,259.7217259
2013,Florida,11.03320015,17.80506281,109.3428535,21.00701693,2.618403545,97.51704721,259.3235842
2014,Florida,10.53504947,17.86648922,113.9934037,20.92923317,2.918399953,98.87109526,265.1136707
2015,Florida,10.30119062,19.89716642,112.3857219,21.92336044,2.875617075,101.1910711,268.5741275
2016,Florida,10.01283442,20.54149921,110.7963637,25.1850779,3.012488162,103.7938993,273.3421626
2017,Florida,9.912073004,20.73095117,107.5637683,26.07294195,3.148658881,106.570447,273.9988403
2018,Florida,10.05568639,20.54057344,104.8291956,28.79178098,3.42064766,110.5344639,278.172348
2019,Florida,9.531873879,21.37642832,98.33637251,25.47581576,3.586922578,109.4440517,267.7514648
2020,Florida,9.222876289,19.82505678,96.4160919,27.24687094,3.870649648,92.98280893,249.5643545
2021,Florida,9.231731716,20.14348348,95.1561573,27.20160976,4.549073362,109.8603594,266.142415
2022,Florida,9.044572798,20.5507395,96.69433097,23.13104202,4.857378552,112.2786684,266.5567323
