Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Georgia,7.778235551,9.114023477,64.43231653,23.67063955,5.963560653,49.72937558,160.6881513
1991,Georgia,7.658612847,9.203497446,57.84847244,23.62259714,6.348693721,48.05390401,152.7357776
1992,Georgia,7.508753467,9.599718832,55.68875551,23.6527955,7.066656627,48.76307978,152.2797597
1993,Georgia,7.565171099,10.04658131,59.93498748,23.34064137,7.565245149,54.11250577,162.5651322
1994,Georgia,8.039342842,9.638500288,62.19078921,24.26459205,6.963721668,55.60111658,166.6980626
1995,Georgia,8.214267394,9.89062808,66.38359417,24.99246879,7.636994373,58.21306727,175.3310201
1996,Georgia,8.217309297,9.888006063,66.02627438,25.10507572,8.328169472,60.6104582,178.1752931
1997,Georgia,7.988480297,10.32464986,70.68810404,24.75700884,7.704463337,59.77685614,181.2395625
1998,Georgia,8.110769469,9.931950724,72.16696075,23.52396549,7.193102409,62.66130904,183.5880579
1999,Georgia,7.873909056,9.561699689,73.61824717,23.11319992,6.834251751,65.23169443,186.233002
2000,Georgia,7.841003633,10.54613372,77.59320582,24.23101651,9.229996953,65.50837907,194.9497357
2001,Georgia,7.926863189,9.94140132,72.1819937,23.61135794,7.804241496,65.05403695,186.5198946
2002,Georgia,8.103109885,9.633253005,77.23772256,24.13637765,8.048376355,65.87165984,193.0304993
2003,Georgia,7.776092037,10.0290106,77.46842724,25.2598516,8.281734624,66.86509293,195.680209
2004,Georgia,7.816036829,10.30654309,79.67013407,25.55333569,8.129482345,67.31750815,198.7930402
2005,Georgia,7.564694637,10.02950887,87.71589093,25.73047688,7.880324323,70.08839265,209.0092883
2006,Georgia,7.571791461,9.97444501,88.25993914,25.43015758,7.007566905,66.84935892,205.093259
2007,Georgia,7.562743379,10.31926031,93.93903306,23.89425054,7.119461231,65.79705835,208.6318069
2008,Georgia,6.687257674,10.67841334,87.93404401,22.62710535,7.618657494,60.41514272,195.9606206
2009,Georgia,7.197733267,11.03763913,75.76687872,19.56802323,7.655913023,62.60834943,183.8345368
2010,Georgia,6.886850238,12.39078535,81.28889831,19.64707007,8.932912899,65.31625869,194.4627756
2011,Georgia,6.76817167,11.28111227,69.72750354,18.61690314,7.394614261,62.91701147,176.7053163
2012,Georgia,7.218918138,11.5194617,57.17496399,17.45000764,6.694627058,60.40348942,160.4614679
2013,Georgia,7.017498085,12.47957415,55.07758887,18.41307886,7.872315963,61.93553104,162.795587
2014,Georgia,6.93796648,12.77781311,61.09993575,18.13121953,8.763628119,60.57111616,168.2816791
2015,Georgia,6.939564741,13.30089969,57.12445633,17.33129609,7.837696637,64.73991895,167.2738324
2016,Georgia,7.132497515,12.9795752,58.95844016,16.98828733,7.783790543,61.57884988,165.4214406
2017,Georgia,7.062223543,13.04921371,53.4151385,16.4499393,7.475866425,65.54722666,162.9996081
2018,Georgia,7.125466302,13.7996341,53.22755674,16.79593269,8.849028718,64.09570719,163.8933257
2019,Georgia,6.552574442,13.93646545,49.46956972,16.37643934,8.402900977,62.75365964,157.4916096
2020,Georgia,6.601308248,13.98000573,38.07650301,16.09728597,8.316683267,56.77079428,139.8425805
2021,Georgia,6.383148917,13.51614006,41.67183678,16.78279329,8.923448689,60.02119819,147.2985659
2022,Georgia,6.274665147,13.76556892,41.27251487,16.53665823,9.497679731,59.53457056,146.8816575
