Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Hawaii,0.75737539,1.664958887,7.442354488,2.562950159,0.014885787,7.882007996,20.32453271
1991,Hawaii,0.760256922,1.256128281,6.306286081,2.552882508,0.016490501,7.232330859,18.12437515
1992,Hawaii,0.704079009,1.670344465,7.270446886,2.450730245,0.046922896,7.398022296,19.5405458
1993,Hawaii,0.736019672,1.095360105,7.409171254,2.51123547,0.012412678,6.891155581,18.65535476
1994,Hawaii,0.707419753,1.269833992,7.585498024,2.63608632,0.012625481,7.449135778,19.66059935
1995,Hawaii,0.674100647,1.008999932,7.86283292,2.819088472,0.045356278,7.417416257,19.82779451
1996,Hawaii,0.665364749,0.957852374,8.149437035,2.49687612,0.052108552,7.416877918,19.73851675
1997,Hawaii,0.660741811,0.949459334,8.08575364,2.32205534,0.065293606,7.314439727,19.39774346
1998,Hawaii,0.7157334,1.652097807,7.911547898,2.002728077,0.104780492,7.188824082,19.57571175
1999,Hawaii,0.672064072,0.776639703,8.050203139,1.761823138,0.079150957,7.216178275,18.55605928
2000,Hawaii,0.667002704,0.790573555,8.157416949,1.82253768,0.092993503,7.599460931,19.12998532
2001,Hawaii,0.569631728,0.784744658,8.05617169,1.654903662,0.091165723,7.446798856,18.60341632
2002,Hawaii,0.555754365,0.857605158,8.567590716,1.71716256,0.088214008,7.851407254,19.63773406
2003,Hawaii,0.536233803,0.832847742,7.889673954,1.803458569,0.072708189,8.272204954,19.40712721
2004,Hawaii,0.541076283,0.909780644,8.186777573,1.814902625,0.070607327,8.692709844,20.2158543
2005,Hawaii,0.525601527,0.911846409,8.137250047,2.053502905,0.070578521,9.561830459,21.26060987
2006,Hawaii,0.546278736,0.904480906,8.215220116,2.102153685,0.076710588,9.850984167,21.6958282
2007,Hawaii,0.526115892,0.883578065,8.215470283,2.034025933,0.073440983,9.150451738,20.88308289
2008,Hawaii,0.48071892,0.884465318,8.036920476,1.986443369,0.11367174,7.833268923,19.33548875
2009,Hawaii,0.507032314,0.923365147,7.807819224,1.85612342,0.116719216,7.258606888,18.46966621
2010,Hawaii,0.469350206,1.005233567,7.697575494,1.652726147,0.125779397,8.137309606,19.08797442
2011,Hawaii,0.459418006,1.101406318,7.50580069,1.739056069,0.131413584,8.453328746,19.39042341
2012,Hawaii,0.448764187,1.122602402,7.198348633,1.586679381,0.167049222,8.377017643,18.90046147
2013,Hawaii,0.426903784,1.077725138,6.986785042,1.630005065,0.153632514,8.67776978,18.95282132
2014,Hawaii,0.412441368,1.108254618,6.898167462,1.5921492,0.166086724,8.801889077,18.97898845
2015,Hawaii,0.416796196,1.188874681,6.782766824,1.607024955,0.15389397,8.833976615,18.98333324
2016,Hawaii,0.398819791,1.067901838,6.775203536,1.544049414,0.171194969,8.926875752,18.8840453
2017,Hawaii,0.41560096,1.134571534,6.63041583,1.57359557,0.169905077,9.289620125,19.2137091
2018,Hawaii,0.410958944,1.073982709,6.654808723,1.328299525,0.168362388,9.214081434,18.85049372
2019,Hawaii,0.418614087,1.161564774,6.677330921,1.321804709,0.18354481,9.509556127,19.27241543
2020,Hawaii,0.410015639,1.091601779,6.214751612,1.078137781,0.20146947,6.153461349,15.14943763
2021,Hawaii,0.416322874,1.181416887,6.090833609,1.021368692,0.243123206,8.18573566,17.13880093
2022,Hawaii,0.4233042,1.181205452,6.114868034,1.086561727,0.261259685,8.593774975,17.66097407
