Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Idaho,8.865174699,1.346810001,0.567281926,4.430593497,0.813490728,6.628328065,22.65167892
1991,Idaho,9.179657743,1.634479375,0.531381054,5.031497871,0.938821222,6.412450672,23.72828794
1992,Idaho,8.993252671,1.45074237,0.522697319,4.42582542,0.832521333,6.616163827,22.84120294
1993,Idaho,9.65053024,1.483776224,0.50078659,4.5843,1.016492105,7.474760626,24.71064579
1994,Idaho,9.715269362,1.515486657,0.480707243,4.793643629,0.951058584,7.583363392,25.03952887
1995,Idaho,10.18491093,1.490764453,0.492705982,5.225215725,1.029691812,8.079508502,26.5027974
1996,Idaho,10.56400694,1.644700018,0.488538567,5.304072839,1.138683193,8.40388963,27.54389118
1997,Idaho,10.71962646,1.500275497,0.54569469,5.101210666,1.171340692,8.825868059,27.86401607
1998,Idaho,11.02909428,1.498572329,0.504960408,5.413946874,1.144868273,8.745442201,28.33688437
1999,Idaho,10.91909453,1.628534454,0.52830755,5.171587252,1.403154708,9.396922006,29.0476005
2000,Idaho,11.49920643,1.707259263,0.455130164,5.690049027,1.582107208,9.284356838,30.21810893
2001,Idaho,11.58007496,1.691910378,0.933790043,5.332260712,1.499637392,9.077467412,30.1151409
2002,Idaho,11.9825884,1.671963389,0.491573712,5.043687818,1.473986672,9.23546444,29.89926443
2003,Idaho,12.66127309,1.562812518,0.824384674,4.80188792,1.358325678,8.967993066,30.17667694
2004,Idaho,12.65734646,1.725933829,0.996888506,5.084051543,1.614326786,9.136867456,31.21541458
2005,Idaho,13.37100534,1.770246779,0.974684818,5.130848029,1.656153242,9.080446216,31.98338442
2006,Idaho,13.57474797,1.871679584,0.886411603,4.934783078,1.733922084,9.539570303,32.54111462
2007,Idaho,14.00215794,1.94711198,1.017535693,4.738067276,1.7172054,9.825352856,33.24743115
2008,Idaho,13.89514397,2.094675138,0.982154563,4.532348497,1.950052161,9.145351171,32.5997255
2009,Idaho,14.54514891,1.940564952,1.009500585,4.058625066,1.814872949,8.960839451,32.32955191
2010,Idaho,14.07600208,1.867736081,1.016863096,3.684364416,1.729430927,9.550543324,31.92493992
2011,Idaho,14.86914978,1.84796155,0.762308402,3.645244974,1.897388598,9.153385515,32.17543882
2012,Idaho,14.62567272,1.867010372,1.016681344,3.378073982,1.677757316,9.25372226,31.81891799
2013,Idaho,14.7647042,2.240240361,1.655271767,3.773320464,1.999861167,9.265763956,33.69916192
2014,Idaho,14.4301093,2.144965658,1.338472797,3.64235127,1.770453031,9.495443886,32.82179594
2015,Idaho,14.28223784,2.369256866,1.822880495,3.816715979,1.777768171,9.703639335,33.77249869
2016,Idaho,14.89050605,2.407890477,1.554134048,3.727907666,1.876161599,10.11860511,34.57520495
2017,Idaho,14.94178626,2.467886219,1.412880593,3.709796356,2.168673888,10.31928517,35.02030849
2018,Idaho,15.51737404,2.381095167,1.518440364,3.713816465,2.087887,10.25727442,35.47588746
2019,Idaho,14.96026466,2.606100751,1.959431381,3.910945463,2.380217828,10.60543409,36.42239417
2020,Idaho,15.73009657,2.604145105,1.9097639,3.986280693,2.272452753,10.35705597,36.85979499
2021,Idaho,15.61673335,2.493076726,2.263066422,3.89125377,2.37987239,11.18345664,37.82745929
2022,Idaho,15.77351913,2.711672383,2.054123154,4.079787951,2.796938263,11.01851397,38.43455485
