Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Illinois,27.83672576,25.70687567,59.36245617,68.03889838,25.71974384,55.31795288,261.9826527
1991,Illinois,24.57338667,24.78847113,60.37284915,68.89438024,27.1849351,54.07137799,259.8854003
1992,Illinois,23.42616541,24.71583517,55.10850183,68.33332389,27.44064835,56.22510826,255.2495829
1993,Illinois,25.84802367,24.44676091,66.02495681,68.49356585,28.23303583,58.41111117,271.4574542
1994,Illinois,25.30198553,23.97402347,68.39945427,70.75437651,27.11834283,58.39118493,273.9393675
1995,Illinois,25.04282169,23.57782958,69.07244178,71.26433915,28.9193039,61.15590904,279.0326451
1996,Illinois,26.29443288,23.95303861,76.76059422,71.7972948,31.34921739,63.0026132,293.1571911
1997,Illinois,23.35483352,22.63660483,81.68949495,70.9606151,29.16718788,67.72008552,295.5288218
1998,Illinois,24.35015095,20.91916045,80.67345186,69.87102752,24.13325795,63.58585684,283.5329056
1999,Illinois,24.41968239,21.33761669,81.80822615,69.01883834,26.51017975,70.10156146,293.1961048
2000,Illinois,24.16823484,20.75011436,88.23035915,68.03865078,27.40244202,71.70352075,300.2933219
2001,Illinois,24.09061097,20.04070212,88.22897107,62.79973801,24.7559106,69.68722028,289.603153
2002,Illinois,25.54872762,20.8551068,90.97222867,62.74055397,26.60909879,69.87230004,296.5980159
2003,Illinois,24.66189888,21.79028819,91.11232143,64.48947488,27.13767405,70.47333182,299.6649892
2004,Illinois,23.66597639,20.89301862,97.03030421,57.3868786,25.43062336,72.64396648,297.0507677
2005,Illinois,23.36515485,20.34506933,96.35792723,56.90549731,24.94423401,77.91767875,299.8355615
2006,Illinois,25.95711338,20.47545531,94.6998675,56.22369292,22.93768457,74.39713025,294.6909439
2007,Illinois,23.98631516,20.42639544,99.64913028,52.52694088,24.96128937,74.24665935,295.7967305
2008,Illinois,26.50449243,21.94598882,99.7604034,52.33054009,27.21657585,70.11041083,297.8684114
2009,Illinois,24.24151067,22.43238249,93.08968971,44.41216866,25.70324373,67.7137792,277.5927745
2010,Illinois,24.67756053,19.93304491,96.94935697,48.8610445,24.49373333,67.15327884,282.0680191
2011,Illinois,23.66810294,20.58700263,94.00414491,47.50465066,24.5348715,66.08075009,276.3795227
2012,Illinois,24.22498057,20.12474881,87.76923279,48.11406754,21.26399965,63.85737738,265.3544067
2013,Illinois,26.21234022,21.81516849,91.67897342,49.92847333,26.8812777,64.09167585,280.607909
2014,Illinois,27.80314993,22.51179298,90.43401126,48.77198307,28.29894624,65.55165366,283.3715371
2015,Illinois,26.50796956,21.91024711,78.80916821,47.44653248,24.04101911,70.50142403,269.2163605
2016,Illinois,25.17495607,21.48382245,68.40063222,46.93893535,23.30141933,66.81906552,252.1188309
2017,Illinois,25.27262808,21.18400273,66.37723217,45.55156451,22.70948226,66.8745497,247.9694595
2018,Illinois,28.08484322,22.21319961,68.32297919,44.84365303,26.33076103,66.98632543,256.7817615
2019,Illinois,24.44181446,22.60290464,59.26933919,44.56490924,26.90383419,64.95127817,242.7340799
2020,Illinois,23.72408691,21.46596009,43.51594135,42.54724861,24.71919199,53.85565944,209.8280884
2021,Illinois,24.22851558,21.80817409,53.6162251,42.21361611,24.56718039,59.23600017,225.6697114
2022,Illinois,23.69508959,23.23778735,50.02748179,43.45704722,26.75411401,58.12292142,225.2944414
