Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Indiana,16.1730221,11.69152373,99.18983474,62.40759891,9.819831512,39.62765098,238.909462
1991,Indiana,14.34753316,12.10015097,99.00112454,58.3883179,10.06811663,38.77447988,232.6797231
1992,Indiana,14.77390224,12.36183343,97.5771843,60.16125834,10.24227135,39.43966996,234.5561196
1993,Indiana,14.37495437,12.41705857,100.3369346,59.19457305,10.90116081,41.77448958,238.9991709
1994,Indiana,14.72584656,12.46286614,103.6453112,59.69755067,10.36728412,43.54800521,244.4468639
1995,Indiana,14.99082089,13.68255528,105.2954942,60.14387673,10.56112322,44.74571197,249.4195823
1996,Indiana,14.24341622,13.60889909,106.7981634,60.62023704,11.95800384,44.0927362,251.3214558
1997,Indiana,13.67028104,13.05966698,111.6702903,60.90094653,11.2800016,44.13315418,254.7143406
1998,Indiana,14.98540558,11.78363457,113.9766457,59.18512268,9.337416396,45.08330014,254.351525
1999,Indiana,13.79426221,11.06854954,116.9461163,61.07031693,10.53012704,44.27694482,257.6863169
2000,Indiana,13.97014104,11.93848494,123.7107051,60.62189161,10.85152921,49.89257416,270.9853261
2001,Indiana,14.74307981,11.03421917,118.6565997,61.16290025,9.65667599,45.66439698,260.9178719
2002,Indiana,14.69354509,11.35868429,118.2774132,58.31459668,10.4299456,49.37818766,262.4523725
2003,Indiana,15.42987288,11.96296348,120.2273227,59.36698011,11.31592226,47.82510848,266.1281699
2004,Indiana,14.4860596,11.63773095,122.8044908,65.68850602,9.882258316,47.88487459,272.3839203
2005,Indiana,14.95477773,10.55537797,125.9303967,61.18346611,9.707778235,47.60488141,269.9366782
2006,Indiana,14.28401725,9.871127147,125.6519614,63.22696969,8.299008543,47.66494111,268.9980252
2007,Indiana,14.92616594,10.44572223,125.5989053,62.89811988,9.344885691,47.00267666,270.2164757
2008,Indiana,15.17885272,11.4774458,126.0163159,62.53206608,10.05505737,44.28870697,269.5484448
2009,Indiana,15.66774579,11.57226918,112.2572202,54.1529025,9.258944054,41.7873175,244.6963993
2010,Indiana,15.77643412,11.7725649,117.5958955,64.0642535,9.091406805,42.26729992,260.5678547
2011,Indiana,15.61874516,10.98131925,111.9655725,60.9031708,8.744386164,41.28364625,249.4968401
2012,Indiana,15.19013935,10.37941338,101.906112,58.91523191,7.536451506,40.71865581,234.646004
2013,Indiana,16.47455057,11.44061405,101.6860046,59.80100437,9.316390432,40.06181056,238.7803746
2014,Indiana,15.99132303,11.38468958,106.6567019,59.51646996,10.06395329,41.47822526,245.091363
2015,Indiana,15.70499579,11.14284418,90.21458135,58.96237535,8.689179439,41.89712179,226.6110979
2016,Indiana,15.62020907,10.13534322,86.38663463,55.56594504,8.309402981,41.80037078,217.8179057
2017,Indiana,16.40203467,10.11551554,82.93720838,51.89646788,8.233668115,41.41215118,210.9970458
2018,Indiana,16.64551899,10.67604845,92.22028921,54.55772642,9.658489715,41.05927724,224.81735
2019,Indiana,16.33442661,11.07761724,77.61015249,55.76170983,9.758968685,40.42801016,210.970885
2020,Indiana,14.69001809,10.54728323,64.82692071,47.12991244,9.167116441,37.46780692,183.8290578
2021,Indiana,15.63195237,10.74761233,70.43337164,47.05157691,9.189324827,41.32294814,194.3767862
2022,Indiana,15.47571038,11.28483137,70.44056515,46.15527512,9.945383107,39.94937354,193.2511387
