Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Iowa,37.23559569,4.916353671,27.22899241,14.35242478,4.253916229,17.61807399,105.6053568
1991,Iowa,36.78149902,5.338456334,28.08219765,15.71375327,4.793624347,16.68709548,107.3966261
1992,Iowa,34.12047957,4.603704036,27.06984149,15.14100934,4.380156839,16.78900899,102.1042003
1993,Iowa,35.3995594,4.708194364,28.68330511,14.68316993,4.940671795,17.26214552,105.6770461
1994,Iowa,36.42888708,4.203239062,28.72357504,15.42869146,4.732079536,18.518673,108.0351452
1995,Iowa,36.02308705,4.462633772,30.64348086,16.30662528,4.988722398,19.16258141,111.5871308
1996,Iowa,35.55838367,5.044195902,30.57126171,16.7318565,5.705644227,20.22328508,113.8346271
1997,Iowa,34.31626116,5.05988031,31.13907683,16.28197669,5.335067685,20.10202181,112.2342845
1998,Iowa,36.29998002,4.502866745,35.06711758,16.54993654,4.400424021,21.03344079,117.8537657
1999,Iowa,37.85508899,5.007988157,35.15737194,16.90806519,5.13567528,21.16710886,121.2312984
2000,Iowa,34.93669658,5.00803254,37.01016856,16.36630185,5.226106698,21.06415447,119.6114607
2001,Iowa,36.54919675,4.840765256,37.06455386,15.83533287,4.533626615,20.822171,119.6456463
2002,Iowa,39.29644754,4.948614463,36.81310191,15.49689831,4.842959819,21.32503113,122.7230532
2003,Iowa,36.05308604,5.08667875,37.04699226,15.22859348,4.944228807,21.53860704,119.8981864
2004,Iowa,36.31305602,4.894033994,37.52140227,15.94248763,4.518029746,22.17223773,121.3612474
2005,Iowa,37.53232833,4.778315043,36.63884593,16.52541664,4.483830458,22.14357804,122.1023144
2006,Iowa,39.32457408,5.794243021,36.85764792,17.67940995,4.16323471,22.37050635,126.189616
2007,Iowa,39.20832599,6.369753076,40.15582705,19.36257593,4.588843292,22.58192129,132.2672466
2008,Iowa,38.99374209,7.031944694,42.01160382,19.83540288,5.291099356,22.07581793,135.2396108
2009,Iowa,37.73247417,7.356270803,38.07504339,18.49303528,4.947979631,21.32933777,127.934141
2010,Iowa,38.87788194,7.316255109,41.73348927,20.38398169,4.648901816,21.71835199,134.6788618
2011,Iowa,40.52811254,7.069296149,38.25758235,20.7199264,4.676027813,21.82756632,133.0785116
2012,Iowa,39.88497582,7.018054953,35.33634912,19.63698794,3.85489629,20.89202631,126.6232904
2013,Iowa,39.66270889,7.943338892,33.11425337,21.82809898,5.033453081,20.9203953,128.5022485
2014,Iowa,44.83974774,6.891592059,33.44652849,20.70599231,5.305718695,21.75029735,132.9398766
2015,Iowa,42.35681171,6.866110944,29.31394413,20.21062698,4.471524491,21.18938035,124.4083986
2016,Iowa,41.38881384,5.805085075,25.50447299,20.23037359,4.439646308,22.29038887,119.6587807
2017,Iowa,40.91387836,6.024222269,26.24781254,21.96738186,4.370947312,21.31543616,120.8396785
2018,Iowa,46.14416121,6.423411044,29.7908838,22.64205374,5.485710216,21.71305449,132.1992745
2019,Iowa,42.45378898,6.523062303,24.19019845,22.65433065,5.756873224,21.59021869,123.1684723
2020,Iowa,40.37375243,6.086064121,16.41100434,21.2382966,5.267992987,19.99376304,109.3708735
2021,Iowa,41.49824632,5.808555518,24.43150575,20.49631022,5.037724684,21.13131716,118.4036596
2022,Iowa,40.58515638,7.059117276,21.10868695,22.27815745,5.980120505,20.99916501,118.0104036
