Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Kansas,27.20639066,5.863622749,27.7637523,34.81941155,4.175770928,18.50972328,118.3386715
1991,Kansas,26.14847054,6.169013735,27.91256145,34.56092064,4.449641293,17.1638766,116.4044843
1992,Kansas,28.55338263,5.851089607,25.26522541,35.62455689,4.1329646,17.14572503,116.5729442
1993,Kansas,31.8069395,5.84618294,30.32513676,35.09378996,4.8251333,17.8980637,125.7952462
1994,Kansas,29.83050857,5.564898596,30.41286672,37.11929204,4.300679222,17.31192853,124.5401737
1995,Kansas,30.78533676,5.596118351,29.37223798,34.30711706,4.57911479,18.25799683,122.8979218
1996,Kansas,30.90895659,5.870395531,33.68860236,33.89938568,5.211123072,19.17867736,128.7571406
1997,Kansas,31.34061164,4.918299494,31.35196461,33.8216503,4.465805649,19.45819019,125.3565219
1998,Kansas,31.54069914,4.780469759,31.88938104,33.00992462,4.504277522,19.5625635,125.2873156
1999,Kansas,30.55834065,4.535797248,33.95352806,30.80805966,4.753976827,20.82004866,125.4297511
2000,Kansas,30.22526391,4.729119768,37.0753035,31.64099314,4.628616457,19.73630477,128.0356015
2001,Kansas,35.78212494,4.58061449,35.88336196,28.53395758,4.392778767,18.55036071,127.7231985
2002,Kansas,32.16315977,4.389357772,39.25897838,28.18432605,4.527913293,18.79982822,127.3235635
2003,Kansas,33.76773372,4.400826952,39.13256862,27.27919727,4.547269512,20.55117785,129.6787739
2004,Kansas,34.32975148,4.282578387,38.41862806,26.99745274,4.201959231,19.70179369,127.9321636
2005,Kansas,35.87569305,3.936205893,38.17682786,26.01526682,4.158628335,17.90310074,126.0657227
2006,Kansas,33.12438368,3.961848534,36.16099033,28.49106867,3.606875428,18.82798336,124.17315
2007,Kansas,36.14774389,4.072237327,39.62971569,29.55222565,4.051985896,19.29982499,132.7537335
2008,Kansas,37.89552669,4.35110797,37.40633952,26.99413408,4.685782502,18.94027106,130.2731618
2009,Kansas,32.37724125,4.270195505,36.33714954,25.19520341,4.643002872,18.76021283,121.5830054
2010,Kansas,35.43366604,5.311543008,36.43850137,25.27271595,4.391019865,18.76741899,125.6148652
2011,Kansas,33.3683938,4.928595021,35.2127519,25.11412645,4.279448198,18.09526903,120.9985844
2012,Kansas,33.564331,4.776938633,31.55968778,25.35707088,3.383481366,17.42866195,116.0701716
2013,Kansas,38.61413569,5.217388338,32.94411505,26.21194414,4.418564183,17.65646433,125.0626117
2014,Kansas,35.54537622,5.525507109,31.60782386,26.93197093,4.686328793,18.51401062,122.8110175
2015,Kansas,36.63215368,4.991123031,27.28206911,27.05497505,4.001452607,17.63400455,117.595778
2016,Kansas,37.261848,4.69019296,25.66035682,26.61509857,3.658033583,17.57602367,115.4615536
2017,Kansas,38.90252993,4.650203271,22.14557472,26.52941361,3.661342524,16.60809233,112.4971564
2018,Kansas,36.34955696,4.767178069,23.61633533,26.29505099,4.545175283,17.80028111,113.3735777
2019,Kansas,38.54126676,4.887671439,20.78475877,25.52669705,4.703051934,18.20289335,112.6463393
2020,Kansas,36.64168063,4.836346785,20.30259845,24.65600939,4.318429718,16.87260828,107.6276732
2021,Kansas,37.00629872,4.962819732,22.76448894,24.27960682,4.220293361,16.9435153,110.1770229
2022,Kansas,36.30619879,5.245242091,23.94165424,24.93941248,4.60530656,17.43264823,112.4704624
