Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Kentucky,10.62810587,5.660956881,69.37876291,54.94769042,4.213810127,25.57809838,170.4074246
1991,Kentucky,10.44009851,6.126315759,70.47658922,51.22809011,4.542069885,24.4238582,167.2370217
1992,Kentucky,10.89412999,6.629285061,71.65396964,53.30248743,4.70905353,26.68689039,173.875816
1993,Kentucky,10.95674811,7.108297668,79.74119249,52.30881199,5.019319903,27.63678957,182.7711597
1994,Kentucky,11.10055367,7.158949145,78.13383976,51.96168219,4.770151698,27.87566897,181.0008454
1995,Kentucky,10.87306842,7.000556252,80.67536707,53.89173138,5.125914764,28.37033968,185.9369776
1996,Kentucky,10.98453381,6.752322938,82.96185253,52.71540322,5.381573648,27.19661783,185.992304
1997,Kentucky,10.21840956,6.803988354,85.89237208,56.82791063,5.185073027,30.10345078,195.0312044
1998,Kentucky,10.48227564,5.999212151,86.11820811,60.40035741,4.353003696,30.5750419,197.9280989
1999,Kentucky,9.794441455,6.393720229,88.9106031,54.2901172,4.831571008,31.55790449,195.7783575
2000,Kentucky,9.760587658,6.347535718,90.63189296,52.49114862,4.88047174,32.11821957,196.2298563
2001,Kentucky,10.14636189,5.949433807,91.70025505,49.8905401,4.152625987,32.23170003,194.0709169
2002,Kentucky,10.00212649,5.95601421,91.37991313,49.92411018,4.23934254,33.11992932,194.6214359
2003,Kentucky,10.71283402,5.881718815,89.62099125,44.03775494,4.493271166,32.97036643,187.7169366
2004,Kentucky,10.28227061,5.899921922,91.51092881,49.36043692,4.149916467,34.0369933,195.240468
2005,Kentucky,9.720667897,6.030324998,94.73317475,45.62207863,4.097035676,32.79391218,192.9971941
2006,Kentucky,10.1634623,5.523111202,97.57700538,47.11359245,3.47018999,32.30426386,196.1516252
2007,Kentucky,10.52548774,5.768472498,96.78899539,47.01594593,3.718891564,32.87280855,196.6906017
2008,Kentucky,9.632405575,5.97227374,97.51100617,45.14324154,3.978939133,30.82872519,193.0665913
2009,Kentucky,10.59020461,5.864367252,89.37803821,40.03823085,3.947653626,30.93223469,180.7507292
2010,Kentucky,9.600993821,5.722474862,96.60007739,41.26730106,4.061681298,31.10922121,188.3617496
2011,Kentucky,9.914568395,5.808528925,95.96099186,42.43726779,3.867028461,30.36787511,188.3562605
2012,Kentucky,9.371148221,5.56733032,88.72884056,37.72815319,3.17180906,29.5889663,174.1562477
2013,Kentucky,9.98941991,5.890849498,88.40973789,37.25476812,3.885257797,28.83625904,174.2662923
2014,Kentucky,9.780388546,6.236319685,88.78083043,35.47025577,4.209598305,29.90786107,174.3852538
2015,Kentucky,10.1867644,6.248796561,78.83904398,34.55975877,3.685228116,29.88091135,163.4005032
2016,Kentucky,9.669313108,6.222339894,74.66031694,30.76021567,3.353687917,30.03613313,154.7020067
2017,Kentucky,9.851949149,6.330841688,65.13685499,32.05662829,3.191380743,30.58764588,147.1553007
2018,Kentucky,10.51823646,6.795711303,68.24392196,31.30153426,3.788809908,31.84089674,152.4891106
2019,Kentucky,9.666211798,7.263010868,60.48933428,30.02357848,3.837432565,31.60801491,142.8875829
2020,Kentucky,9.556397102,6.483533263,51.40669564,26.5871816,3.544993178,29.70298506,127.2817858
2021,Kentucky,9.630020276,6.143662287,57.91362311,26.99625402,3.776388866,32.4963249,136.9562735
2022,Kentucky,9.489715857,6.356258305,56.94508125,26.65064057,4.123863008,32.12935995,135.6949189
