Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Louisiana,10.03663525,5.936899513,34.92874081,140.8949008,3.183719706,33.73943561,228.7203317
1991,Louisiana,10.04529678,5.89508116,35.00659309,137.1416613,3.292771177,34.38958397,225.7709875
1992,Louisiana,10.11460663,5.778813757,36.39207332,142.4433466,3.365270393,36.42259598,234.5167067
1993,Louisiana,9.462074515,5.380904176,38.3175937,142.2505102,3.353630294,36.86397208,235.628685
1994,Louisiana,10.08907785,5.359661588,39.37711912,142.252391,3.16230713,39.37068635,239.611243
1995,Louisiana,9.56527812,5.048426264,40.2571962,143.1845025,3.231164149,39.38403685,240.6706041
1996,Louisiana,10.28744002,4.989451236,35.94059886,144.0496072,3.538644088,41.48501506,240.2907565
1997,Louisiana,9.859478967,5.103519358,39.68448264,151.0646571,3.597626067,38.31032624,247.6200904
1998,Louisiana,10.80410698,4.621184612,41.99057706,144.0983157,3.20995456,37.88750167,242.6116405
1999,Louisiana,10.50627255,4.833832535,41.96487468,138.3141495,3.120621319,41.28319574,240.0229463
2000,Louisiana,10.5756503,6.204399127,43.42640924,147.1225937,3.507642809,46.51620256,257.3528977
2001,Louisiana,10.16867363,5.173185427,40.00725075,129.9728598,3.304747973,40.99956463,229.6262822
2002,Louisiana,10.36928061,5.189320512,42.24985059,133.8248754,3.116176203,42.74731685,237.4968201
2003,Louisiana,10.22391569,5.952131961,39.88950245,126.4714204,2.953151957,42.98959191,228.4797143
2004,Louisiana,10.189853,5.558871238,41.86786666,135.0866185,2.675950803,41.37007278,236.7492329
2005,Louisiana,10.27330911,5.554717451,43.77455297,129.8931572,2.615653509,39.88305644,231.9944467
2006,Louisiana,9.605901018,4.663682454,38.75426686,139.8248691,2.188328988,42.53449003,237.5715384
2007,Louisiana,10.1951281,7.862897897,39.00330035,147.0045427,2.321811208,38.89074749,245.2784278
2008,Louisiana,9.539352959,4.938369787,40.74905694,142.2216505,2.393966476,35.99935421,235.8417509
2009,Louisiana,10.60747557,5.431774783,38.55246828,131.2755888,2.406477571,35.23755595,223.5113409
2010,Louisiana,9.987185569,5.469244558,43.32708182,138.6926878,2.896494278,31.08922015,231.4619141
2011,Louisiana,10.16165097,5.414417904,47.04040711,136.4969297,2.570578342,31.52517988,233.2091639
2012,Louisiana,9.859371142,5.348937796,43.81232356,134.8910236,2.121441904,30.34797355,226.3810715
2013,Louisiana,10.34681076,5.664156661,41.57134981,130.5019886,2.549834217,29.91706886,220.5512089
2014,Louisiana,9.694240796,5.722334019,40.00225623,128.8384805,2.936543772,29.5622634,216.7561187
2015,Louisiana,10.42671177,6.157785049,39.8619303,127.2280275,2.515636218,28.58600541,214.7760963
2016,Louisiana,9.957380894,6.281272746,36.71796546,128.9241978,2.225326189,30.598358,214.7045011
2017,Louisiana,9.699822774,6.493210416,33.89287702,130.8288629,2.114559949,31.9792873,215.0086203
2018,Louisiana,10.73794685,7.278693752,34.34793643,136.5391961,2.613547113,32.10631141,223.6236317
2019,Louisiana,9.858846639,6.881570433,31.02931565,139.2406588,2.56406138,34.46317601,224.0376289
2020,Louisiana,10.31168479,6.198304807,27.872432,127.6987891,2.403739531,32.25944011,206.7443904
2021,Louisiana,10.04965985,6.104137939,30.77583943,127.8014449,2.746261771,38.94091796,216.4182619
2022,Louisiana,10.03922671,6.072903033,32.51438557,129.6011136,2.735374195,41.66505303,222.6280562
