Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Maine,0.684194425,2.539393281,2.48362661,4.762258462,2.999279369,7.607865273,21.07661742
1991,Maine,0.669420898,2.541111436,2.066495044,5.203101662,3.058343342,7.392065239,20.93053762
1992,Maine,0.652891139,2.058998799,2.050544117,6.653119682,2.947016441,7.510013981,21.87258416
1993,Maine,0.67626961,1.919900369,1.700143051,6.466528267,2.95191236,7.454206517,21.16896017
1994,Maine,0.703229392,1.935109538,1.637361198,7.587709938,2.974778823,7.523859105,22.36204799
1995,Maine,0.657187929,1.679515982,1.67839599,6.307680858,3.628574287,7.421236295,21.37259134
1996,Maine,0.727793271,1.921017495,1.541557397,6.393667343,3.855846204,7.861498488,22.3013802
1997,Maine,0.699970922,1.862453458,2.207492356,5.791993469,3.695850112,8.247845372,22.50560569
1998,Maine,0.702727616,1.917828616,2.416260145,5.005887841,3.915427141,7.998244278,21.95637564
1999,Maine,0.738549097,1.868693558,3.748746913,4.734128811,3.644210157,8.54678914,23.28111768
2000,Maine,0.65902441,2.205684583,3.969838763,5.761319609,3.606805128,8.977531455,25.18020395
2001,Maine,0.6737654,2.004926379,6.141404544,4.984925537,3.782704941,7.928482068,25.51620887
2002,Maine,0.726842424,2.13804945,6.311487242,5.465208822,3.263568851,8.96842981,26.8735866
2003,Maine,0.778120798,2.601195094,5.102649607,3.915845801,4.56462685,9.880321665,26.84275981
2004,Maine,0.798939542,2.540635477,4.833052452,4.925287437,5.112926257,8.964188535,27.1750297
2005,Maine,0.816525411,2.523612239,4.127238162,4.784482978,4.425286071,9.334754038,26.0118989
2006,Maine,0.849496281,2.465364303,3.177130104,5.042070608,4.034131127,9.234317605,24.80251003
2007,Maine,0.853688524,2.784238763,3.034729556,4.905480336,3.787906203,8.980242087,24.34628547
2008,Maine,0.871450439,2.714558553,2.964541358,4.671633672,2.791906714,8.395076791,22.40916753
2009,Maine,0.748712276,2.489600946,2.81399083,3.877593855,2.989688111,8.453982689,21.37356871
2010,Maine,0.844611295,2.267718268,3.029170253,3.536141614,2.808450917,8.226187496,20.71227984
2011,Maine,0.744306321,2.513629593,2.571906442,3.557709907,2.962328617,8.246731794,20.59661267
2012,Maine,0.771445369,2.02893577,2.184760864,3.161168455,2.266974346,7.834979828,18.24826463
2013,Maine,0.763885838,2.095298503,1.796220373,3.323808894,2.497524164,8.585740879,19.06247865
2014,Maine,0.692743976,2.209806377,2.087692389,2.771110348,2.728427576,8.671315445,19.16109611
2015,Maine,0.607341733,2.259295305,1.977683023,2.716947076,3.120942121,8.519285431,19.20149469
2016,Maine,0.619694953,2.027865772,1.910541532,2.505673746,2.866271642,8.563051267,18.49309891
2017,Maine,0.614598567,2.064929428,1.376874631,2.450623748,2.756913272,7.863233474,17.12717312
2018,Maine,0.627105156,2.125911055,1.373430446,2.515425087,3.142141681,7.253980911,17.03799434
2019,Maine,0.618526361,2.196702989,1.05164142,2.678650759,3.160419152,7.127250577,16.83319126
2020,Maine,0.617439531,2.072747777,0.996744621,2.684786906,2.900463574,6.568732264,15.84091467
2021,Maine,0.598461601,2.185536063,1.548144284,2.552287166,2.597915771,7.102082799,16.58442768
2022,Maine,0.583949387,2.254823769,2.003188801,2.526953932,2.779070398,7.232901402,17.38088769
