Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Maryland,2.170990025,5.422899933,27.44807095,16.60349192,6.275098413,24.3954861,82.31603734
1991,Maryland,2.166594682,6.038051121,26.82179588,14.67786011,6.396705607,24.06872772,80.16973512
1992,Maryland,2.211750067,6.425015974,26.11640938,14.20529567,6.74997128,24.82230836,80.53075073
1993,Maryland,2.236568297,6.269776279,28.46242605,13.85663801,7.004423635,24.89081708,82.72064935
1994,Maryland,2.172051078,6.453013381,29.29518485,14.06015441,6.908961957,24.99237576,83.88174144
1995,Maryland,2.299032554,6.719306599,28.37098992,13.54133687,6.935397358,25.38331349,83.24937679
1996,Maryland,2.236706889,6.083568526,28.88628634,14.43860895,7.847360566,26.34732647,85.83985774
1997,Maryland,2.062563165,5.904597408,29.04368291,13.46574183,7.136286596,27.80384027,85.41671218
1998,Maryland,2.023688781,6.170138273,32.29303209,11.27570181,6.317401679,28.32809529,86.40805792
1999,Maryland,2.082493411,6.06234222,33.2035036,10.53053293,6.660468105,30.11577006,88.65511032
2000,Maryland,2.308364638,6.18699516,32.32234443,10.77004025,7.249918188,30.47095957,89.30862223
2001,Maryland,2.047918599,6.459666261,31.72697692,12.13965089,6.622712396,30.52703207,89.52395714
2002,Maryland,2.078764618,6.515607172,32.22959809,12.45368904,6.810604835,30.46030253,90.54856629
2003,Maryland,2.029440398,7.107916948,33.11648663,11.69388782,7.54407171,31.43477191,92.92657541
2004,Maryland,2.127868122,7.008635071,32.27830506,13.08101078,7.30742102,32.28626324,94.08950329
2005,Maryland,2.119104091,6.748715768,33.56150309,12.74056877,7.225596111,32.8169951,95.21248293
2006,Maryland,1.983121685,6.434074226,30.76049314,10.23082284,6.082028851,32.70177166,88.19231239
2007,Maryland,1.826403801,6.562798048,31.54316543,9.838181965,6.653542931,32.41977733,88.8438695
2008,Maryland,1.842581489,6.596672754,29.19129034,8.806491687,6.369790833,30.99156586,83.79839297
2009,Maryland,1.78852502,6.761629105,25.67510486,7.362825765,6.729075747,31.83745975,80.15462025
2010,Maryland,1.682377811,7.777244563,26.25771905,7.101970021,6.922897129,31.12962097,80.87182954
2011,Maryland,1.844006018,7.714120926,23.34884829,10.8013792,6.357375113,30.43009866,80.49582821
2012,Maryland,1.865104814,7.211508816,20.24004661,6.605772666,5.578752139,30.5742702,72.07545524
2013,Maryland,1.761056575,7.496510749,18.64211078,6.139180135,6.64472098,30.48665833,71.17023755
2014,Maryland,1.803894189,8.027051749,20.38117764,6.067460074,7.465160074,30.46496279,74.20970651
2015,Maryland,1.618203491,8.227269901,17.85881438,6.149368809,6.957997022,31.30541834,72.11707194
2016,Maryland,1.607708788,8.009530659,18.38169951,5.768693236,5.933488406,30.50915949,70.21028009
2017,Maryland,1.740860937,8.147889463,12.89528233,5.917234611,5.796643213,30.27879808,64.77670863
2018,Maryland,1.861104574,8.310696196,17.27202141,5.812457811,6.810764061,31.25466236,71.32170641
2019,Maryland,1.664227356,8.527153973,12.69288531,5.939745442,6.374367596,31.36972515,66.56810483
2020,Maryland,1.625800192,7.913647018,10.06140018,5.777372464,6.177980667,26.02306568,57.5792662
2021,Maryland,1.634799777,7.751337596,12.10558792,5.896294148,6.408196722,28.87045222,62.66666838
2022,Maryland,1.588611312,8.294129679,11.31192788,5.993837259,6.905968798,26.62765509,60.72213002
