Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Massachusetts,0.503100333,10.69770821,27.85280163,8.36390425,15.1638913,28.36740951,90.94881523
1991,Massachusetts,0.505176502,11.63989824,27.5488145,7.743094275,14.57935919,26.89143737,88.90778008
1992,Massachusetts,0.486124118,11.1004879,26.026594,9.375914503,16.23424517,27.34771408,90.57107977
1993,Massachusetts,0.473673838,9.760245045,23.60271823,9.528953958,15.91734138,27.51502336,86.79795581
1994,Massachusetts,0.471371546,10.62542559,24.04798055,8.69031432,15.59416045,28.20422263,87.63347508
1995,Massachusetts,0.454832844,10.5526882,23.24627961,7.979543427,14.08709292,28.75669987,85.07713687
1996,Massachusetts,0.454321239,10.78716817,22.7437127,7.866582995,14.24701874,30.01513842,86.11394228
1997,Massachusetts,0.44655987,11.07348197,28.10111034,7.863093576,13.98965898,30.75827602,92.23218076
1998,Massachusetts,0.421523297,9.664851674,28.53809298,7.843713698,12.66451619,31.6219946,90.75469244
1999,Massachusetts,0.45963298,7.679403723,25.90164429,8.4521087,13.28145733,32.62042499,88.39467201
2000,Massachusetts,0.416764595,8.166829302,23.82057509,8.299300537,14.89103203,33.61753884,89.21204039
2001,Massachusetts,0.402199385,7.297933514,23.5139947,9.406933107,15.72048881,33.051111,89.39266052
2002,Massachusetts,0.445547676,7.522990856,24.46067644,9.237267733,15.22396396,33.02535823,89.9158049
2003,Massachusetts,0.427405246,8.830195744,26.52213904,6.98872419,15.99511768,33.51749612,92.28107801
2004,Massachusetts,0.431639542,8.431279458,25.21884588,6.720049482,14.94143683,34.16387725,89.90712844
2005,Massachusetts,0.420481073,8.570996718,26.11697678,7.087221212,14.40197993,33.91978825,90.51744396
2006,Massachusetts,0.45148004,7.128723463,23.54384197,7.170424804,12.87285305,32.9925514,84.15987474
2007,Massachusetts,0.409029288,7.456855506,25.57282094,7.055644865,13.41611504,33.48321623,87.39368187
2008,Massachusetts,0.357531497,7.718874955,22.02350864,6.703193061,13.53682397,32.32555984,82.66549196
2009,Massachusetts,0.361407828,8.061258899,19.39408216,5.836633244,13.88042462,30.57082397,78.10463073
2010,Massachusetts,0.482163127,8.969479189,20.02653112,6.085751769,13.84116392,31.01301732,80.41810644
2011,Massachusetts,0.459694267,8.775694768,15.85753866,6.21771905,14.1897173,30.87210172,76.37246577
2012,Massachusetts,0.467548386,7.717643382,13.67945488,5.582832472,11.81515624,30.64510271,69.90773807
2013,Massachusetts,0.411968194,9.197515162,14.42272656,6.049168665,12.4855923,30.91625426,73.48322513
2014,Massachusetts,0.395271877,9.57469614,12.51789784,5.454714826,13.98472286,30.3333149,72.26061844
2015,Massachusetts,0.304009615,10.10887184,13.04349156,5.703322226,13.58663794,31.10731834,73.85365153
2016,Massachusetts,0.277681857,9.454615893,12.40022166,5.615821592,11.31536006,31.71005537,70.77375643
2017,Massachusetts,0.297696128,9.708430073,11.88646877,5.758849519,11.92788327,31.28106927,70.86039703
2018,Massachusetts,0.288983411,10.11447528,9.223531355,5.758740245,13.39193122,31.79398428,70.57164579
2019,Massachusetts,0.270640568,10.40443625,7.77262404,5.836538335,13.94421958,31.83710711,70.06556588
2020,Massachusetts,0.263017476,9.583405365,7.236048434,5.676087019,12.44703933,24.31054083,59.51613846
2021,Massachusetts,0.288103863,9.4998892,7.662498523,5.72120804,12.57489976,27.58792488,63.33452427
2022,Massachusetts,0.29292897,10.37648014,8.349698943,5.922986917,13.42040125,28.15603236,66.51852858
