Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Michigan,10.09323553,22.41065706,69.10571645,46.95444045,22.07415071,49.73415926,220.3723595
1991,Michigan,10.04558041,23.06027891,70.08652731,44.10604349,22.71759332,49.86413003,219.8801535
1992,Michigan,10.05972831,23.08333602,66.86231216,45.6013879,23.60921784,51.12235495,220.3383372
1993,Michigan,9.795480529,24.14138874,67.51688178,41.75996548,24.22120253,54.20702282,221.6419419
1994,Michigan,9.870951979,24.24325459,72.70789266,41.4354338,23.71544829,54.44815846,226.4211398
1995,Michigan,9.453134041,24.38274609,71.96200688,42.67838533,24.74281938,55.9303761,229.1494678
1996,Michigan,9.49045664,24.79626754,73.90313082,41.98882919,26.487854,57.24875358,233.9152918
1997,Michigan,9.045571264,23.27014692,73.82204118,40.49184541,25.24228072,58.43754494,230.3094304
1998,Michigan,9.103905987,21.14783552,78.54051632,37.83221056,21.43717458,60.61264377,228.6742868
1999,Michigan,10.12506491,21.55928434,77.77143841,37.65370348,23.6650652,63.2433488,234.0179051
2000,Michigan,9.780102108,21.8180435,75.77355811,38.23537785,24.73894347,61.75266512,232.0986902
2001,Michigan,9.252212611,20.97401583,75.33181027,36.76742076,24.07654265,60.70009877,227.1021009
2002,Michigan,9.272224485,21.21676988,73.67351897,36.08210996,25.3426804,61.92749686,227.5148006
2003,Michigan,9.645373212,21.35261775,72.35991256,35.19449487,26.44082157,60.31885369,225.3120737
2004,Michigan,9.786218089,21.18684596,75.72686961,35.61091016,24.49790938,60.08036543,226.8891186
2005,Michigan,9.377604027,20.79343784,78.23615662,35.52417311,24.49479427,58.83750932,227.2636752
2006,Michigan,10.29873732,18.87182114,74.23421896,33.85005748,20.61182164,57.46339975,215.3300563
2007,Michigan,10.49287836,19.68443615,77.89153722,31.09468017,21.68521983,56.24284832,217.0916
2008,Michigan,10.49231626,20.1134388,75.18464438,28.95026068,22.1738998,52.45084648,209.3654064
2009,Michigan,10.22840781,19.71721622,71.66443642,22.28464577,21.15764435,50.96111673,196.0134673
2010,Michigan,10.36148056,18.43900066,72.75574381,32.68371864,19.65682033,51.66517922,205.5619432
2011,Michigan,10.66989064,18.85982661,67.10943223,32.71155864,20.2905435,50.61728942,200.258541
2012,Michigan,10.30675583,17.26252293,65.03182972,31.48822592,17.63017022,50.04085656,191.7603612
2013,Michigan,11.41834213,18.48048638,64.27622292,32.97601838,21.57443972,51.06898883,199.7944984
2014,Michigan,11.40019427,20.24943451,61.83752882,32.65537773,22.94704553,50.99322673,200.0828076
2015,Michigan,11.25915169,19.53319725,64.76398825,32.26200611,20.56773584,51.6622428,200.0483219
2016,Michigan,11.75304414,18.40071422,57.11180519,31.91554987,19.77567509,52.20863767,191.1654262
2017,Michigan,12.08961117,18.72220381,57.20716612,29.25462509,20.09286195,51.30512811,188.6715963
2018,Michigan,11.82688359,19.54013908,60.31186857,29.05936802,22.3124381,53.17822937,196.2289267
2019,Michigan,11.58793217,19.88899076,55.64265748,28.84908126,22.94782271,51.7631476,190.679632
2020,Michigan,11.32055497,18.63974262,47.91953768,25.91352099,20.94066509,43.94321259,168.6772339
2021,Michigan,11.49560968,19.28817865,53.94240026,26.93762941,20.55405301,47.95171309,180.1695841
2022,Michigan,11.1837254,20.301562,57.2076054,27.14089654,22.5192738,47.57508442,185.9281476
