Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Minnesota,26.59117457,7.635509228,30.81186623,16.09718397,8.230655729,24.07475659,113.4411463
1991,Minnesota,26.15640079,7.382815587,29.59520867,15.74142311,9.064107612,24.62653032,112.5664861
1992,Minnesota,24.78453151,6.862972972,29.39773492,16.26040299,8.568205439,26.22913801,112.1029858
1993,Minnesota,26.18335843,7.021886285,30.89675818,17.15349397,9.153676733,28.10154163,118.5107152
1994,Minnesota,25.11663705,7.134671795,31.09987118,17.3383204,9.042278387,29.41003691,119.1418157
1995,Minnesota,25.88405499,7.582222176,31.7315304,18.19377974,9.546395931,30.55892926,123.4969125
1996,Minnesota,24.78846958,8.148426224,32.25685741,19.47120497,10.85182325,31.98536158,127.502143
1997,Minnesota,25.01600273,8.219824659,32.46677914,18.02081028,9.821226852,31.82693193,125.3715756
1998,Minnesota,25.91161973,7.55830884,33.25350361,18.60019777,8.20729503,33.57422656,127.1051516
1999,Minnesota,25.54773639,7.42964642,31.99113837,17.65418451,8.709287217,35.79882372,127.1308166
2000,Minnesota,24.54459256,7.762073794,34.5139709,17.99184181,9.541143941,37.19671225,131.5503353
2001,Minnesota,23.36785054,7.856161948,34.05527292,15.80298464,9.173030164,36.57500392,126.8303041
2002,Minnesota,24.43736662,8.339764035,34.77298365,16.08917522,9.523741279,37.12115994,130.2841907
2003,Minnesota,24.6360822,8.67324561,38.25961729,16.16250573,10.0288027,37.5047915,135.265045
2004,Minnesota,26.28091395,8.058892202,36.64166922,16.7306128,9.630490236,37.82083867,135.1634171
2005,Minnesota,25.94597597,8.196049412,37.28363245,16.86064765,9.206185517,37.30245458,134.7949456
2006,Minnesota,24.37119837,8.958803243,36.21554086,17.15189489,8.431428834,36.05435699,131.1832232
2007,Minnesota,26.25526296,8.791005717,36.09324681,17.80997031,9.130710375,35.74671487,133.826911
2008,Minnesota,26.16003111,9.41514746,34.73547279,19.09530959,9.793330915,34.38533008,133.584622
2009,Minnesota,25.65335813,9.086961042,31.79779828,16.64826597,9.369215815,32.03642522,124.5920245
2010,Minnesota,26.89919557,8.286473828,30.88711306,33.54460086,8.727129833,31.89412514,140.2386383
2011,Minnesota,25.66824772,8.484561795,30.4519732,33.83946581,8.815380851,31.05857452,138.3182039
2012,Minnesota,26.05134536,7.805361934,26.91822723,33.92261025,7.743194091,31.53204134,133.9727802
2013,Minnesota,28.11702694,9.298017106,27.2857151,34.62544178,9.749702922,30.78356961,139.8594735
2014,Minnesota,29.10612645,9.520118747,30.80279126,36.6844429,10.45805962,31.3784932,147.9500322
2015,Minnesota,28.96085877,8.928863271,28.58319229,28.52717988,8.683362309,30.51789755,134.2013541
2016,Minnesota,28.47166535,8.637581766,28.11436716,28.79214066,8.640475434,32.94637068,135.6026011
2017,Minnesota,27.87213653,8.87238581,26.59793883,29.77916141,9.18621476,33.15385142,135.4616888
2018,Minnesota,30.69250107,9.468954906,28.04439063,31.48388753,10.58255719,33.39149576,143.6637871
2019,Minnesota,28.38368594,9.870204023,23.97018405,31.21846261,11.00200653,33.32804599,137.7725891
2020,Minnesota,27.0849443,8.960936669,20.25532647,28.87037003,9.98418316,27.25321563,122.4089762
2021,Minnesota,27.67482504,9.048309962,22.28128077,29.58012896,10.15215843,29.44970151,128.1864047
2022,Minnesota,27.09326224,10.37939004,21.06076594,29.00964911,11.60337944,29.26192895,128.4083757
