Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Mississippi,9.206152005,2.856032078,14.00947916,16.84302474,1.936618362,19.57605321,64.42735956
1991,Mississippi,9.250721937,2.945525281,12.77731961,16.62444118,1.923182998,20.03734785,63.55853886
1992,Mississippi,8.72767028,3.053068649,11.49003076,17.16669803,1.970628205,21.61920722,64.02730314
1993,Mississippi,8.822960915,3.061015358,14.13250767,16.70164954,2.105879714,21.66059495,66.48460816
1994,Mississippi,8.937518882,3.506079163,14.42702075,15.58680312,2.037674768,22.00880006,66.50389674
1995,Mississippi,8.889197881,3.478985185,15.83966686,15.41681767,2.043565143,22.85854474,68.52677749
1996,Mississippi,8.841327077,4.025576156,17.54071901,15.59776067,2.342115479,23.58151093,71.92900932
1997,Mississippi,8.700287752,3.823480303,18.46098829,15.44250189,2.154488667,24.08912289,72.67086978
1998,Mississippi,9.12758628,3.709082357,20.12493661,14.49279442,1.995677096,25.04521872,74.49529548
1999,Mississippi,8.223729113,3.347065202,21.27968444,17.04463447,2.015406785,26.81819756,78.72871757
2000,Mississippi,8.613470946,3.408033705,21.77799127,16.8060108,2.533225751,25.58944699,78.72817946
2001,Mississippi,8.879195517,3.472126909,31.12724495,15.95399943,2.561890288,24.64879904,86.64325614
2002,Mississippi,9.30988571,3.30048005,23.76730809,16.34196829,2.223113081,24.82496657,79.7677218
2003,Mississippi,9.180396125,3.603647073,23.7481772,16.24172132,2.080909351,26.28633002,81.14118109
2004,Mississippi,8.305262153,3.372113364,25.83933801,17.18405414,1.90837505,24.95484972,81.56399244
2005,Mississippi,8.800534149,3.427480447,25.66827786,16.31830006,1.881117373,24.66855798,80.76426787
2006,Mississippi,8.368317211,3.399246097,26.29080564,17.18425903,1.692338427,25.39139845,82.32636486
2007,Mississippi,8.238800588,3.768995106,28.17249958,17.19853832,1.751726806,24.74057289,83.87113329
2008,Mississippi,8.098991078,3.632286374,26.25237001,16.82351235,1.936679352,24.05339435,80.79723352
2009,Mississippi,7.927874595,3.607830101,23.61990264,15.14756398,1.943989823,22.47371606,74.72087721
2010,Mississippi,8.385679501,4.341594504,27.04724183,16.77464836,2.1607459,21.99487329,80.70478338
2011,Mississippi,8.010578028,4.064687584,23.44126041,15.57360683,1.94978574,21.51186961,74.5517882
2012,Mississippi,8.724495087,3.96782357,23.58800401,15.6481356,1.584966438,23.05780204,76.57122674
2013,Mississippi,8.913309492,4.128178648,22.07909323,15.963634,1.968930386,20.94902509,74.00217085
2014,Mississippi,8.347958626,4.301277118,24.19002355,15.80304309,2.257868292,21.78881745,76.68898812
2015,Mississippi,8.745731231,4.262297998,25.07027364,16.01596273,1.874292267,22.20400792,78.17256579
2016,Mississippi,8.210294537,4.155448115,26.29586561,15.13906936,1.706200911,23.1209014,78.62777992
2017,Mississippi,7.846760129,4.134842197,24.08360668,15.64618761,1.598069718,22.66348176,75.9729481
2018,Mississippi,8.062706585,4.380383279,26.07332717,15.64517305,1.979650485,23.13084283,79.27208339
2019,Mississippi,7.708572073,4.266328917,24.84474816,15.91935298,1.9630893,23.39561698,78.09770841
2020,Mississippi,7.619761243,3.927505591,26.67203034,15.8502378,1.788862823,22.47213948,78.33053727
2021,Mississippi,7.510014463,3.754560839,25.55669051,15.60614032,1.919769711,23.83042893,78.17760478
2022,Mississippi,7.35938477,3.85278171,27.14595394,16.7298287,2.016247396,23.80522859,80.90942511
