Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Missouri,23.25895701,7.966312661,49.33533928,18.21404843,7.648050002,34.73187888,141.1545863
1991,Missouri,21.62213444,8.232172769,49.56709661,16.29559733,8.198258888,34.56535,138.48061
1992,Missouri,20.92727054,7.886931748,48.12482093,16.42605308,7.903512736,36.14227373,137.4108628
1993,Missouri,22.87793736,8.185201343,43.2698215,16.83520694,8.917926598,37.05666008,137.1427538
1994,Missouri,23.1231684,7.753249293,50.66487495,17.22305837,8.21718326,38.42392778,145.4054621
1995,Missouri,22.60579217,7.644504278,56.21120623,17.58970228,8.556187649,39.2002481,151.8076407
1996,Missouri,23.6812982,8.442366664,58.62480574,17.78830085,9.657652372,40.49858401,158.6930078
1997,Missouri,22.98100958,8.209478448,61.7780032,17.96093129,8.969293652,41.80009621,161.6988124
1998,Missouri,22.81871638,7.376055651,65.46424516,17.59272626,7.57063226,42.34731145,163.1696872
1999,Missouri,21.66335365,7.459351015,64.79945376,17.88049854,8.092596093,41.84748732,161.7427404
2000,Missouri,22.40473582,7.411332029,66.18336704,16.29409549,8.105590988,42.21257549,162.6116968
2001,Missouri,23.46773661,7.973098836,69.3243316,17.47506769,8.823380892,41.68176036,168.745376
2002,Missouri,23.83866883,7.358286006,70.00795066,17.61567382,8.166507845,43.05039616,170.0374833
2003,Missouri,23.92362072,7.346388001,76.02668006,17.4495282,8.082521252,44.02160557,176.8503438
2004,Missouri,23.69439216,7.462844865,77.28537793,18.70312293,7.571209051,42.89680882,177.6137558
2005,Missouri,23.52626744,7.054337489,80.3765976,18.32843414,7.353654913,43.29946288,179.9387545
2006,Missouri,24.5095487,6.877895059,79.45888039,18.40662325,6.607282906,43.27416012,179.1343904
2007,Missouri,24.5256017,6.893065069,77.41197304,17.43706153,7.086403864,43.48307855,176.8371837
2008,Missouri,24.68422152,7.505681574,76.74471891,16.02811291,7.97878623,41.47659597,174.4181171
2009,Missouri,24.46588026,7.269889472,74.01034318,15.0250293,7.435166241,39.71858352,167.924892
2010,Missouri,24.76101361,8.26501108,78.09654671,16.82658278,7.505760178,40.19515668,175.650071
2011,Missouri,22.92347267,7.337060349,80.74265429,15.74973106,7.14348475,39.14642807,173.0428312
2012,Missouri,22.22758418,6.994208476,74.99575786,17.13982327,5.852794159,38.10274482,165.3129128
2013,Missouri,23.97680967,7.614536108,77.85021559,17.90205638,7.391727837,37.39476441,172.13011
2014,Missouri,24.74966595,8.13590826,75.25775993,17.95920925,8.044442122,38.81128346,172.958269
2015,Missouri,24.862194,7.902004359,67.72029504,18.00892548,6.701842073,38.23890798,163.4341689
2016,Missouri,23.53711931,7.494998864,63.5453028,15.21361072,6.300483074,39.11790287,155.2094176
2017,Missouri,25.36900309,7.560798402,69.69666439,15.5666036,6.087145251,38.8985748,163.1787895
2018,Missouri,26.5038991,8.168451662,66.74582271,16.3232005,7.993689257,39.50538797,165.2404512
2019,Missouri,24.48217897,8.072073922,58.91970176,16.79299588,8.063392732,39.18204838,155.5123916
2020,Missouri,23.36878704,7.755095004,55.89732736,16.75330674,7.21001918,35.55631553,146.5408509
2021,Missouri,23.52862889,8.078099658,61.35486542,16.96890396,7.324520724,38.07296143,155.3279801
2022,Missouri,22.75640043,8.154289146,58.11456604,17.03219019,7.949702295,37.37768959,151.3848377
