Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Montana,16.3367438,1.330719072,16.47718187,9.803514706,1.276440736,5.840617076,51.06521726
1991,Montana,16.7953977,1.363553656,17.83602215,9.657217495,1.335472411,5.672365918,52.66002933
1992,Montana,15.9384587,1.232476143,18.87275628,9.778737019,1.152169928,6.116922758,53.09152084
1993,Montana,18.10882135,1.344325673,15.51748483,9.715574929,1.348248671,6.365816488,52.40027194
1994,Montana,16.97277568,1.317523781,18.21386863,10.530019,1.231519751,6.616183451,54.88189029
1995,Montana,18.4308786,1.361497558,17.08496027,10.77654238,1.316123277,6.790878092,55.76088017
1996,Montana,18.73806218,1.428162176,14.34131012,9.853424754,1.51242704,6.807555308,52.68094157
1997,Montana,19.51221933,1.44002,16.51230347,9.641856747,1.521648885,6.951846154,55.57989458
1998,Montana,17.70726798,1.205307911,18.80274436,10.31950724,1.269402488,7.127990012,56.43222
1999,Montana,18.25785881,1.148111067,18.929659,10.66643826,1.287349227,7.493802251,57.78321862
2000,Montana,16.49873905,1.241334335,18.01509434,10.94028887,1.43412695,7.539449146,55.66903269
2001,Montana,17.13459483,1.235583961,18.76916776,8.555855136,1.428944625,7.569769407,54.69391572
2002,Montana,17.47144689,1.324564538,17.05549332,9.482030467,1.494763396,7.676809286,54.50510789
2003,Montana,17.25418832,1.456512049,19.24013857,9.418756369,1.570118078,7.866879504,56.80659289
2004,Montana,18.26357378,1.536799085,19.75210613,10.0800264,1.673425871,7.959570728,59.26550199
2005,Montana,17.89460892,1.563994597,20.00748658,10.47843063,1.68535126,8.085166378,59.71503836
2006,Montana,18.21811811,1.555628955,19.49184104,11.05906303,1.65435068,8.189410652,60.16841247
2007,Montana,18.50026051,1.320420315,20.47988406,11.811021,1.713146739,8.257447582,62.0821802
2008,Montana,18.11022928,1.48989727,20.46967348,10.96884303,1.892500755,7.804373044,60.73551686
2009,Montana,20.24405309,1.927725772,17.68582776,8.744240579,1.859135592,7.487313374,57.94829617
2010,Montana,18.87573148,2.372214167,20.47789177,8.339726912,1.726096272,7.805198313,59.59685891
2011,Montana,20.84372327,2.057768436,17.11227492,8.117314038,1.808597032,7.770139723,57.70981741
2012,Montana,16.50602116,1.903580782,16.05910005,8.132535667,1.560109755,7.881151759,52.04249917
2013,Montana,19.60177017,1.892127842,16.99894493,8.434718505,1.667475813,7.76115377,56.35619104
2014,Montana,20.99867055,1.987773852,17.7018953,9.272360002,1.741002614,7.836040317,59.53774263
2015,Montana,19.18863975,2.031144455,18.17845376,8.49318233,1.689822858,7.689800451,57.27104361
2016,Montana,19.36108528,2.130537484,16.5036614,7.632738556,1.654313589,7.6991251,54.98146141
2017,Montana,20.47678006,2.153481739,15.92062178,7.73445561,1.858357802,7.737609733,55.88130672
2018,Montana,20.60232332,2.412009565,15.52185617,8.241609559,1.940368407,7.819867661,56.53803468
2019,Montana,22.40577861,2.506255129,16.31196826,8.300812323,2.19830377,7.690871666,59.41398976
2020,Montana,18.7197879,2.448724575,10.40477551,7.627059246,2.000146014,7.541643958,48.7421372
2021,Montana,19.68593096,2.377116363,12.80497593,7.473211563,1.948550926,8.151959859,52.4417456
2022,Montana,18.97070304,2.53494738,13.74039756,7.557295398,2.236933243,7.826979707,52.86725633
