Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Nebraska,29.94983903,3.634934946,13.9033733,5.728475088,2.512457516,10.43218165,66.16126152
1991,Nebraska,31.65230728,3.704597036,14.67974117,6.10438361,2.767759127,9.996961491,68.90574972
1992,Nebraska,31.386332,3.480952984,13.55055724,6.056206359,2.576297466,10.57540749,67.62575355
1993,Nebraska,33.539367,3.352143336,15.84170045,6.903997516,2.907448163,10.63839757,73.18305403
1994,Nebraska,33.52892105,3.601253742,15.22933594,6.85139618,2.701679771,11.07614911,72.9887358
1995,Nebraska,31.64384232,3.563591299,17.18304964,7.38137819,2.781148921,11.79934411,74.35235448
1996,Nebraska,33.09498017,3.687346175,17.17596851,6.851237533,3.172844591,12.38730918,76.36968616
1997,Nebraska,33.68888566,3.381816457,18.34097295,7.139352126,2.983552938,12.1871808,77.72176094
1998,Nebraska,33.86162101,2.923529609,19.58471361,8.093482034,2.733094893,12.80241575,79.99885691
1999,Nebraska,33.53867201,2.727695651,18.92904618,7.245632304,2.732790276,13.17675217,78.35058859
2000,Nebraska,31.78187962,2.920704072,19.75350983,7.264472845,2.876989105,12.99631651,77.59387197
2001,Nebraska,34.10321585,2.872636454,21.38591271,7.235333214,3.086168627,12.81220374,81.49547059
2002,Nebraska,34.17771496,2.745223476,20.79757792,6.841969365,2.99013244,13.12449272,80.67711088
2003,Nebraska,33.90080409,2.830353802,21.76030829,6.569847609,2.852500373,13.22072579,81.13453995
2004,Nebraska,34.95615158,2.936614716,21.36285579,6.595254722,2.606758061,13.10298064,81.5606155
2005,Nebraska,35.85548549,2.698200231,22.06699,6.750574218,2.591059258,12.82523992,82.78754912
2006,Nebraska,36.31067907,2.831069588,21.839523,7.545121543,2.429586851,12.77164964,83.72762969
2007,Nebraska,38.14012773,3.008647857,21.00376717,8.030657578,2.634128065,13.18953058,86.00685898
2008,Nebraska,36.0609561,3.319346796,22.55080335,7.89004993,2.979360956,12.91251468,85.71303181
2009,Nebraska,35.87739322,3.053519722,23.8265174,7.831871097,2.797892172,12.25453765,85.64173126
2010,Nebraska,34.88197866,3.540262618,23.80523134,8.521029493,2.800059203,12.89669625,86.44525756
2011,Nebraska,37.72647461,3.455359151,26.20116114,9.255427264,2.766527105,12.64391193,92.0488612
2012,Nebraska,35.14202294,3.155902972,25.14859447,8.831684666,2.203795236,12.45855476,86.94055504
2013,Nebraska,37.70256821,3.666718962,26.85339118,9.432250684,2.885194613,12.49425872,93.03438237
2014,Nebraska,36.32493733,3.611707578,25.0809846,9.482329796,2.947452398,13.05076804,90.49817974
2015,Nebraska,37.17867525,3.72570477,24.16230573,9.403378428,2.524924554,12.86920014,89.86418888
2016,Nebraska,38.0384137,3.459078348,21.85925456,9.629894218,2.396789362,13.07667809,88.46010828
2017,Nebraska,37.8833193,3.630162785,21.16009678,9.521546293,2.389968057,13.08432449,87.66941771
2018,Nebraska,39.40617525,4.077514042,24.33283552,9.678767379,3.001390821,13.45628123,93.95296425
2019,Nebraska,38.42775076,4.109481478,22.48572466,9.534907055,3.088114458,13.39714635,91.04312476
2020,Nebraska,35.70622214,3.706439368,20.1203617,9.571161543,2.744805902,12.51622194,84.3652126
2021,Nebraska,36.93751244,3.664395155,20.24453778,9.609219987,2.732976413,13.44990636,86.63854814
2022,Nebraska,36.40211366,3.726047143,21.08794558,9.938683504,2.893253552,13.25545364,87.30349707
