Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Nevada,2.338332073,2.046427661,17.53492397,3.411529617,1.222939547,9.519362882,36.07351575
1991,Nevada,2.384157826,2.171206879,18.79969834,3.663309827,1.332503788,9.765566509,38.11644317
1992,Nevada,2.413297776,2.067660042,19.43239725,3.858622214,1.263489785,10.06544579,39.10091286
1993,Nevada,2.529125913,4.849018394,18.96262333,3.789653811,1.394722502,10.54967793,42.07482188
1994,Nevada,2.379169072,4.85084535,20.43197192,3.888453195,1.414206722,11.05480213,44.01944839
1995,Nevada,2.465066794,4.705113775,18.87629733,4.369123638,1.381853029,11.48962362,43.28707819
1996,Nevada,2.528884476,4.726793767,20.28566363,4.068685171,1.523730309,12.73688797,45.87064533
1997,Nevada,2.551924878,4.251951014,20.14528379,4.249175895,1.69634874,12.97685952,45.87154383
1998,Nevada,2.694986464,4.090479594,22.17676866,4.442334304,2.000706785,13.61335481,49.01863062
1999,Nevada,2.375926548,4.088100184,22.19348558,4.166671182,1.924179098,14.518791,49.2671536
2000,Nevada,2.510089057,4.192568494,25.66534123,4.03732454,1.949740789,14.93596934,53.29103345
2001,Nevada,2.461926005,3.927079965,24.94481272,4.094863476,2.066169652,14.97805026,52.47290208
2002,Nevada,2.487814779,3.909195618,21.8112418,3.854672788,2.083345244,15.29302794,49.43929816
2003,Nevada,2.550660938,3.971749055,23.80104765,3.777260365,2.06151221,15.89795304,52.06018326
2004,Nevada,2.63885776,4.236464226,26.21227357,4.402741386,2.254580986,16.6428709,56.38778882
2005,Nevada,2.651940625,4.3775395,27.24148425,4.784846399,2.296745232,17.58888583,58.94144184
2006,Nevada,2.476130672,4.416765925,17.21604973,5.025643006,2.372852826,18.08150187,49.58894403
2007,Nevada,2.405233354,4.268230992,17.33871438,4.57871314,2.37929701,18.13034105,49.10052993
2008,Nevada,2.477924629,4.245445122,18.51471425,4.40292055,2.432831396,16.33957718,48.41341313
2009,Nevada,2.603677783,4.241515632,18.73263436,4.215629192,2.466665459,14.85473986,47.11486228
2010,Nevada,2.626387175,2.837431837,17.41298335,4.774725327,2.52015824,16.96740495,47.13909088
2011,Nevada,2.584962275,2.803298607,15.07520271,3.96363726,2.564692717,16.5503903,43.54218387
2012,Nevada,2.413614457,2.960104114,15.13978239,4.211265392,2.355007325,16.53421081,43.61398449
2013,Nevada,2.507537572,3.092558931,15.92634968,4.680711344,2.669316702,16.63865531,45.51512954
2014,Nevada,2.565375742,3.046381974,16.54715971,5.390440549,2.296996606,16.67089854,46.51725312
2015,Nevada,2.638459785,3.462639932,14.9154305,4.3144613,2.438440195,16.82287331,44.59230502
2016,Nevada,2.484774355,3.511956655,14.32777014,5.062620833,2.571959551,17.53885761,45.49793914
2017,Nevada,2.526226745,3.44035117,13.28392711,5.199341254,2.693841461,18.2493045,45.39299224
2018,Nevada,2.536784225,3.490506686,14.06975511,5.588808262,2.745853901,18.21437414,46.64608232
2019,Nevada,2.64673108,3.832982612,14.00934014,5.620836505,3.138970157,18.33601979,47.58488028
2020,Nevada,2.46214949,3.274171823,13.72169014,4.807886455,3.065944745,15.50474219,42.83658485
2021,Nevada,2.512512567,3.515654713,14.15258795,4.908946658,3.077667791,17.80252393,45.96989362
2022,Nevada,2.473858935,3.704188875,13.7629269,5.041266463,3.265771518,18.28292013,46.53093282
