Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,New Hampshire,0.263083841,2.299804632,5.127724534,1.281996645,2.458228092,5.445983402,16.87682115
1991,New Hampshire,0.287442225,2.411847523,4.717637257,1.246981642,2.496076947,5.502266689,16.66225228
1992,New Hampshire,0.266302854,2.23284167,4.609922196,1.524527737,2.519189221,5.540032081,16.69281576
1993,New Hampshire,0.267663615,2.273438611,4.760492025,1.772457407,2.434538019,5.593109919,17.1016996
1994,New Hampshire,0.274906355,2.523005134,4.706633255,1.558034836,2.457397411,5.783784243,17.30376123
1995,New Hampshire,0.266686155,2.494823783,4.672035816,1.520217843,2.577284572,6.036731597,17.56777977
1996,New Hampshire,0.262070867,2.593495247,4.527727249,1.467342664,2.808651043,6.257357285,17.91664436
1997,New Hampshire,0.263945687,2.506718659,5.418204955,1.407487806,2.766429032,7.247783238,19.61056938
1998,New Hampshire,0.260290117,2.356634311,5.072885514,1.356284835,2.657839477,7.341503635,19.04543789
1999,New Hampshire,0.287865051,2.285643441,4.994199277,1.35713218,2.626639537,7.621565103,19.17304459
2000,New Hampshire,0.297920229,2.447688331,4.860208254,1.590393586,2.727077161,7.711252264,19.63453983
2001,New Hampshire,0.29118353,2.37219511,4.497790634,1.660171666,2.782118255,7.698793372,19.30225257
2002,New Hampshire,0.310288546,2.316432328,4.667609387,1.56571677,2.52381708,7.946067479,19.32993159
2003,New Hampshire,0.318793865,2.765260562,7.503828103,1.566151507,3.175983834,8.027799277,23.35781715
2004,New Hampshire,0.317355573,2.996819851,8.113101498,1.62906324,3.344590066,8.077326554,24.47825678
2005,New Hampshire,0.325280735,2.948515515,8.114616213,1.525792252,3.046326807,7.728589985,23.68912151
2006,New Hampshire,0.3225546,2.457083513,7.210679933,1.746285907,2.796014574,7.531612106,22.06423063
2007,New Hampshire,0.285021755,2.451231046,7.086808731,1.418246896,2.756887773,7.673178001,21.6713742
2008,New Hampshire,0.29642414,2.442525099,6.976089581,1.346918713,2.518480757,7.332213339,20.91265163
2009,New Hampshire,0.278785658,2.374251262,5.686153827,1.246609834,2.589596656,7.247256149,19.42265339
2010,New Hampshire,0.279124689,2.007366811,5.768767531,1.317684558,2.367501551,7.346511399,19.08695654
2011,New Hampshire,0.285563698,2.182942134,5.338609371,1.245463292,2.541205466,7.148085945,18.7418699
2012,New Hampshire,0.271094006,1.988178099,4.471154914,1.145343511,1.989277927,7.002909627,16.86795808
2013,New Hampshire,0.260061815,2.059190292,3.646349591,1.326712591,2.380041675,6.940215883,16.61257185
2014,New Hampshire,0.258533261,2.150180747,3.690499453,1.293232619,2.857989062,7.106951362,17.3573865
2015,New Hampshire,0.22555916,2.241079406,3.836382874,1.300667863,2.812246484,6.899182834,17.31511862
2016,New Hampshire,0.231240316,2.128170346,2.69223258,1.254348609,2.520538117,6.851409616,15.67793958
2017,New Hampshire,0.233843064,2.060488395,2.134425255,1.299802919,2.63726291,6.893557159,15.2593797
2018,New Hampshire,0.228431026,2.240845499,2.305472599,1.286218233,3.057307757,7.048373674,16.16664879
2019,New Hampshire,0.217076161,2.311049603,2.10185358,1.31971227,3.067192013,6.964900924,15.98178455
2020,New Hampshire,0.200259559,2.223271273,1.823701772,1.302157884,2.817268678,6.060919959,14.42757913
2021,New Hampshire,0.201787007,2.285505318,2.358665896,1.25216731,2.455718599,6.742223527,15.29606766
2022,New Hampshire,0.197649048,2.351780188,2.657454832,1.329771848,2.665673469,6.749606057,15.95193544
