Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,New Jersey,0.791944206,15.39959944,13.02221451,19.90266124,15.44768298,51.93501905,116.4991214
1991,New Jersey,0.842034502,15.13972813,12.63047622,20.24975762,15.49221714,50.19136624,114.5455798
1992,New Jersey,0.643845355,15.38201275,13.49531336,24.3181622,16.57730617,50.8133686,121.2300084
1993,New Jersey,0.679777211,14.30764059,14.16744921,24.85207712,15.95574419,49.39584173,119.35853
1994,New Jersey,0.702053975,14.53659998,16.34944517,24.83811839,17.78185412,55.04925979,129.2573314
1995,New Jersey,0.630194588,13.22858661,18.09263713,25.12221822,15.96986856,54.88038173,127.9238868
1996,New Jersey,0.699833013,14.32773967,17.0701639,24.86182121,17.83802493,55.927353,130.7249357
1997,New Jersey,0.629670474,14.42257504,18.14142643,24.82775713,17.06204628,55.94320115,131.0266765
1998,New Jersey,0.515598836,12.80180916,16.95374734,24.18302277,15.04062227,56.90153355,126.3963339
1999,New Jersey,0.706804083,14.46750281,17.73192327,24.026819,16.01223214,58.1750697,131.120351
2000,New Jersey,0.546022266,14.12484707,20.02882234,17.69113108,16.81608397,61.42052415,130.6274309
2001,New Jersey,0.603155565,12.47815121,19.45395761,18.05082817,16.44595571,59.21120684,126.2432551
2002,New Jersey,0.610918823,12.5740436,19.80998699,17.45387447,15.80330457,59.16070323,125.4128317
2003,New Jersey,0.548165234,13.85909611,18.91586368,17.6936824,18.53062213,58.25412449,127.8015541
2004,New Jersey,0.545683596,14.23114684,20.06891967,18.41032341,17.68795698,59.87043692,130.8144674
2005,New Jersey,0.544743484,14.44998005,20.42240347,18.07236729,16.86466325,62.33453757,132.6886951
2006,New Jersey,0.595068291,12.99091009,19.54216809,17.05516768,14.40269061,63.02736884,127.6133736
2007,New Jersey,0.546999504,14.43813771,20.65537455,17.10595925,16.2777385,65.01804459,134.0422541
2008,New Jersey,0.48753126,14.01172999,19.87138146,15.48130796,15.68140419,62.20311263,127.7364675
2009,New Jersey,0.569362181,14.67929134,15.87423138,13.57218321,15.88464563,57.37403768,117.9537514
2010,New Jersey,0.631555363,15.46670489,18.9746182,12.70353601,15.13430347,51.29476973,114.2054877
2011,New Jersey,0.611116319,16.16709733,16.8172904,13.75976945,14.60341633,50.46400377,112.4226936
2012,New Jersey,0.63177714,14.76428716,16.00105889,13.55017273,12.97113914,48.97170015,106.8901352
2013,New Jersey,0.590130183,15.026147,15.65281108,13.52643208,15.3255419,47.99544557,108.1165078
2014,New Jersey,0.555954422,16.73345026,18.01278315,12.99875918,16.88630392,48.85330353,114.0405545
2015,New Jersey,0.480818554,15.36198693,19.07675914,13.0564604,16.0926362,47.73860158,111.8072628
2016,New Jersey,0.485089858,14.36823976,20.88219206,12.98238952,14.14711177,50.32743214,113.1924551
2017,New Jersey,0.425164879,13.89918431,17.89478857,12.11540192,14.40868306,47.8219477,106.5651704
2018,New Jersey,0.471657664,14.48181315,18.49994815,12.80676818,16.44694206,48.13593782,110.843067
2019,New Jersey,0.458055561,13.98829704,18.5020059,12.86769969,16.05517099,46.68528725,108.5565164
2020,New Jersey,0.422229733,12.83941488,14.62259546,11.39606167,14.9433627,36.69629896,90.91996341
2021,New Jersey,0.42462025,13.51719709,14.38571291,11.73804907,15.8082279,40.67736465,96.55117188
2022,New Jersey,0.414447382,13.92260234,15.43602728,13.0854266,16.3934819,40.46742973,99.71941523
