Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,New Mexico,9.757799407,2.454362648,28.42232165,21.4267833,2.016123255,15.29725593,79.37464619
1991,New Mexico,10.20367433,2.843837439,24.54341057,20.74369821,2.010441696,14.94460641,75.28966865
1992,New Mexico,9.502483291,2.867753737,27.4312308,21.57367534,2.049342359,14.32333095,77.74781647
1993,New Mexico,9.851813485,2.783884259,27.82410022,22.75194113,1.993677511,16.27996996,81.48538656
1994,New Mexico,10.1908246,2.550310872,28.82560757,23.53814097,1.863586257,16.00881505,82.97728531
1995,New Mexico,10.55231062,2.687260175,28.56068529,24.50860107,1.847992416,15.7116028,83.86845237
1996,New Mexico,11.57410244,2.96659512,29.06433317,25.33725294,2.146615516,13.91065681,84.999556
1997,New Mexico,11.20867539,2.956730939,30.19296825,24.72174775,2.346866057,16.50172791,87.92871629
1998,New Mexico,11.07155611,2.853811247,30.63357313,24.00130198,2.337491989,16.95238797,87.85012244
1999,New Mexico,11.39235576,2.850009492,31.32640992,24.17849858,2.436842842,17.15214388,89.33626047
2000,New Mexico,10.69279487,3.031849807,32.12259779,27.16784655,2.439894341,16.75676951,92.21175286
2001,New Mexico,11.09086704,3.162433467,31.42186163,27.18290396,2.687224824,16.77765277,92.32294368
2002,New Mexico,11.66996076,3.169163199,29.66455969,27.24905345,2.453632163,16.6559028,90.86227206
2003,New Mexico,11.70359297,3.260979238,31.7645117,28.78703056,2.291392179,16.45274361,94.26025026
2004,New Mexico,12.05617253,3.151529128,31.85077132,30.62956103,2.388220963,16.757035,96.83328998
2005,New Mexico,11.76719325,3.142722756,33.22803722,31.43789998,2.418720089,16.25874881,98.25332211
2006,New Mexico,12.50962751,3.082488339,33.80547798,32.1313086,2.27809296,16.60376533,100.4107607
2007,New Mexico,11.93780609,3.157054724,32.16915014,32.5966235,2.388274832,16.16137231,98.4102816
2008,New Mexico,12.37830704,3.282849561,31.45834172,32.43102486,2.459820018,14.97176465,96.98210785
2009,New Mexico,11.80175199,3.159363696,33.74859112,32.10984272,2.357368717,14.65615409,97.83307233
2010,New Mexico,12.15866366,2.666197765,30.10951296,31.87324003,2.478071468,14.33672704,93.62241291
2011,New Mexico,11.17570261,2.706324971,31.909208,32.1704304,2.402300301,14.8636267,95.22759299
2012,New Mexico,10.99755966,2.707122085,29.87497837,30.12685109,2.258816446,14.80232204,90.7676497
2013,New Mexico,11.9094098,3.091956716,29.27933611,29.44788834,2.550771689,14.42464666,90.70400931
2014,New Mexico,11.20507984,3.109982801,25.45488664,26.59059116,2.319405283,14.94064697,83.62059269
2015,New Mexico,11.56278689,3.162605561,25.56863052,26.05128662,2.355972455,14.88823295,83.589515
2016,New Mexico,10.78427979,3.126288626,23.92666191,25.42225102,2.373388434,14.61429796,80.24716774
2017,New Mexico,11.54072216,3.166798584,23.74338025,24.97757757,2.169304901,15.45863228,81.05641575
2018,New Mexico,11.25310143,3.286655005,18.84753052,26.15812314,2.469450615,15.67126329,77.68612401
2019,New Mexico,11.02062155,3.560017142,20.84182085,28.47528153,2.958728834,15.87441762,82.73088753
2020,New Mexico,10.49747586,3.143336292,19.18562995,26.31466669,2.607424918,15.16931086,76.91784458
2021,New Mexico,10.61999668,3.16167531,17.66367751,26.37980698,2.631737076,16.99177824,77.44867179
2022,New Mexico,10.10309635,3.234822276,18.6485985,26.43581003,2.732562895,16.09510344,77.24999349
