Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,New York,8.843294235,33.28529538,65.73288368,28.3808283,34.08115537,66.76720033,237.0906573
1991,New York,8.577133639,33.06539098,61.04922698,27.9844429,33.67374849,63.69629739,228.0462404
1992,New York,8.85670225,33.394015,56.68855478,28.68780793,36.39213713,63.64553587,227.664753
1993,New York,8.649348173,33.53413548,50.53797728,28.02955262,35.30156508,64.21341013,220.2659887
1994,New York,8.757765046,33.21178436,50.6309617,27.75591205,34.74311277,64.2163302,219.3158661
1995,New York,8.248470733,32.30758728,54.22028054,29.83521116,34.03516322,66.36360799,225.0103209
1996,New York,8.375483946,33.40583743,49.88901275,29.98835344,36.78089441,68.88941689,227.3289989
1997,New York,8.125958431,35.34873433,55.02517052,28.424281,35.14861856,68.22701857,230.2997814
1998,New York,8.638975702,33.6542302,58.89032056,27.88211119,31.79403995,70.3264689,231.1861465
1999,New York,8.883046345,35.87794345,59.66147645,23.71977616,34.21079113,70.87861866,233.2316522
2000,New York,8.919217965,38.16471832,58.83138836,24.12036584,39.180738,71.64640101,240.8628295
2001,New York,8.589839414,37.05241798,57.86933461,23.78787086,38.71110195,71.20021248,237.2107773
2002,New York,9.469626956,37.73150044,53.8103028,22.13438984,35.92873064,74.7493401,233.8238908
2003,New York,9.520577834,40.00131215,55.42460567,21.1140676,39.31327938,77.34062372,242.7144663
2004,New York,9.122004689,42.02147069,56.32358947,21.50720001,38.89513827,78.91308384,246.782487
2005,New York,9.181603154,35.79143543,58.38514777,22.60325421,39.01315015,78.43027936,243.4048701
2006,New York,9.607773903,33.25495131,49.61970094,23.4420874,33.35953921,78.00602062,227.2900734
2007,New York,9.481149531,34.70438693,52.1989019,23.1087982,36.80974637,77.77362859,234.0766115
2008,New York,9.320526007,33.40057554,45.65076418,22.05808397,34.32954275,76.13173536,220.8912278
2009,New York,9.250260193,33.6414498,36.76611006,18.84588232,33.18245933,73.25155124,204.9377129
2010,New York,9.603435802,32.56093856,40.33728236,18.0754622,32.43785752,80.60706096,213.6220374
2011,New York,9.793673629,32.60771152,36.0691548,18.01548742,32.29835456,76.95191458,205.7362965
2012,New York,10.60631494,29.18630102,34.41595651,18.1473798,30.66781036,75.35511634,198.378879
2013,New York,10.12244319,30.47100333,32.20280197,18.05491802,32.97130809,74.57924318,198.4017178
2014,New York,10.0945968,30.43007448,32.65769205,16.01292801,36.70934064,77.59544,203.500072
2015,New York,10.23476695,30.99684015,31.32667309,17.29166118,36.41510503,75.7323303,201.9973767
2016,New York,10.37167666,29.17234188,29.86841523,16.55783328,31.69631568,78.82339337,196.4899761
2017,New York,10.58698538,29.40877008,24.1568216,17.5198435,32.07815767,80.0193216,193.7698998
2018,New York,10.55638608,30.47248591,26.49693346,18.32898419,37.64130067,77.95981179,201.4559021
2019,New York,10.4107003,30.55550865,23.54640107,17.31901741,37.36797858,78.77000064,197.9696066
2020,New York,10.41297733,28.87540163,25.65289948,16.57793602,33.37358425,61.79321214,176.6860108
2021,New York,10.40388134,29.26657603,27.03409323,16.4258945,35.30092958,69.49658167,187.9279564
2022,New York,10.29802139,30.06988357,29.26565175,15.98367671,36.22900677,72.96800546,194.8142456
