Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,North Carolina,7.95281625,6.700780201,48.19344613,20.74562117,5.390154596,39.94777164,128.93059
1991,North Carolina,8.400367959,6.569257918,49.05094147,19.97346922,5.562960337,38.87574318,128.4327401
1992,North Carolina,8.922364219,7.788001002,56.23746753,21.4570668,6.137379048,40.20364436,140.745923
1993,North Carolina,9.282465412,8.237998808,60.72212615,20.63249311,6.376425411,41.65775887,146.9092678
1994,North Carolina,10.52108003,8.690875489,55.29665666,20.00178997,5.999388408,43.71908831,144.2288789
1995,North Carolina,11.58714332,8.381008605,58.48699022,21.25280434,6.783431106,45.0028151,151.4941927
1996,North Carolina,12.32926492,8.877987467,66.50172397,21.07845561,7.84569638,47.82425013,164.4573785
1997,North Carolina,12.32255367,9.199522617,69.03964101,20.63417542,7.181236695,48.67260902,167.0497384
1998,North Carolina,12.736815,8.736726208,69.07126842,20.03214282,6.966609279,50.47238743,168.0159492
1999,North Carolina,12.42758969,8.17979036,68.3502462,18.53997432,6.63548484,51.9271404,166.0602258
2000,North Carolina,11.88681693,8.984146301,72.64341212,19.49453534,7.476838852,53.8622214,174.3479709
2001,North Carolina,12.09992346,8.816640257,69.93514653,19.37105499,7.156147756,52.37970004,169.758613
2002,North Carolina,12.51847028,8.55268503,72.61504594,19.19097521,6.625825431,52.80702394,172.3100258
2003,North Carolina,12.33882367,9.712775361,71.97721214,18.42745169,7.514651965,54.56679079,174.5377056
2004,North Carolina,12.66365233,10.17627904,73.09003949,18.26352965,7.476530756,55.18993968,176.8599709
2005,North Carolina,12.36318491,10.28600125,76.76917739,18.39258454,6.906015545,55.31804825,180.0350119
2006,North Carolina,12.33355983,10.19296512,73.91878364,17.87441515,6.052383794,54.55760777,174.9297153
2007,North Carolina,12.55177638,9.714717765,79.77931581,16.52069665,5.948181227,55.24715028,179.7618381
2008,North Carolina,12.1000754,10.95603209,75.98724255,15.56376351,6.335972819,52.113861,173.0569474
2009,North Carolina,11.89893353,11.82162461,65.56540955,13.28209125,6.248207066,49.76881322,158.5850792
2010,North Carolina,11.58814902,12.25007966,74.19527333,13.90800014,7.017290221,53.326723,172.2855154
2011,North Carolina,11.67910476,11.36943266,63.29041072,13.99994834,5.847118026,52.01073608,158.1967506
2012,North Carolina,11.41189487,11.051711,58.16202022,13.13521017,5.052539304,49.95018755,148.7635631
2013,North Carolina,11.28884902,11.16133413,56.88242901,14.40237754,5.997763379,50.41718623,150.1499393
2014,North Carolina,10.71057807,11.72015895,58.33620201,13.36193896,6.625050005,52.00721008,152.7611381
2015,North Carolina,11.2606321,12.51392305,52.88735032,13.60938968,6.233859187,52.75799483,149.2631492
2016,North Carolina,11.41386202,12.73866897,51.90741052,13.63158474,6.007185434,54.69792509,150.3966368
2017,North Carolina,11.56331585,12.55244478,48.23258147,13.63008472,5.48167526,55.17473135,146.6348334
2018,North Carolina,11.48158355,12.76794028,49.06917404,13.9558694,6.609992113,56.18254371,150.0671031
2019,North Carolina,11.65604629,12.64935783,46.74153264,14.28357586,6.352814463,57.04775088,148.731078
2020,North Carolina,11.57854795,12.3112226,37.71934355,13.58020944,6.05702411,51.5483834,132.7947311
2021,North Carolina,10.77366772,12.63081571,40.74408479,14.08889873,6.864103439,56.3115911,141.4131615
2022,North Carolina,10.62800618,14.13797939,40.67121121,14.36272236,7.113396901,55.40431485,142.3176309
