Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,North Dakota,14.89273143,1.190071988,28.23697605,12.34683699,1.022616545,4.568238652,62.25747165
1991,North Dakota,14.66371835,1.22842056,28.86124763,12.58850181,1.141049604,4.575827958,63.05876591
1992,North Dakota,15.91776476,1.140342918,29.98354933,13.00209955,0.991332907,4.879175325,65.91426479
1993,North Dakota,17.89312992,1.183192712,30.04038035,12.72677888,1.012990647,5.105419882,67.96189239
1994,North Dakota,18.30767613,1.212603351,30.05798615,12.88696896,0.948679836,5.200235842,68.61415028
1995,North Dakota,17.92635139,1.197319184,29.29099366,13.6188971,1.018269256,5.208736276,68.26056687
1996,North Dakota,17.47998323,1.29770916,30.53536147,12.90774104,1.195689935,5.330568322,68.74705316
1997,North Dakota,16.7832826,1.308233455,29.16193437,12.9542314,1.213958696,5.331194778,66.7528353
1998,North Dakota,16.70271274,1.171868097,31.07774162,13.56931256,0.997117336,5.149776409,68.66852876
1999,North Dakota,17.02647299,1.177690775,31.37626618,12.9201314,1.092830064,5.763736591,69.357128
2000,North Dakota,17.4559296,1.256670731,31.9337857,11.74362872,1.215865532,5.752500637,69.35838092
2001,North Dakota,18.53657369,1.241223101,31.6652863,11.79800353,1.242825492,6.053489164,70.53740128
2002,North Dakota,16.13183838,1.253185061,32.09680521,11.39802971,1.203988775,5.962944733,68.04679187
2003,North Dakota,19.1037972,1.286761442,31.66670346,11.33360051,1.262816005,6.124433327,70.77811194
2004,North Dakota,18.85843084,1.388696386,30.32840345,10.76949133,1.282784951,6.148495367,68.77630233
2005,North Dakota,18.45525735,1.437596029,32.71362343,11.52302242,1.182592115,6.14928385,71.4613752
2006,North Dakota,16.56819247,1.156865758,31.05070208,12.38237121,1.01866469,5.969724263,68.14652047
2007,North Dakota,22.63355578,1.446003157,31.71091866,12.34138471,1.117365532,6.178010106,75.42723795
2008,North Dakota,17.816288,1.36365851,32.33504932,12.9469875,1.231262666,6.206136476,71.89938248
2009,North Dakota,18.04461926,1.320022046,32.01005113,13.22452317,1.101305472,6.116625735,71.81714681
2010,North Dakota,19.72381946,1.44125486,30.50089022,15.5838124,1.029259419,7.012800692,75.29183705
2011,North Dakota,19.08995492,1.754905687,29.34888984,17.97102364,1.088379152,8.123724999,77.37687823
2012,North Dakota,16.71498518,1.590232934,30.34780551,21.53522402,0.907270054,9.010916459,80.10643415
2013,North Dakota,22.04474686,1.984412539,29.65976568,24.57797661,1.112574002,9.194882147,88.57435784
2014,North Dakota,21.42599942,2.133736445,29.83938714,28.42275353,1.190579239,9.741163882,92.75361966
2015,North Dakota,20.97640269,1.671131195,30.75173894,28.96249254,1.023065067,8.841493349,92.22632378
2016,North Dakota,21.38392753,1.566498752,29.87613531,23.4107845,0.985894993,7.781668295,85.00490937
2017,North Dakota,19.99222055,1.594019609,29.94202672,25.16225511,1.024360842,8.155245468,85.87012829
2018,North Dakota,23.12443583,1.657385102,30.95057466,33.31566318,1.196497591,8.545933077,98.79048945
2019,North Dakota,22.1005081,1.901054684,28.89119523,40.01191097,1.378780643,8.933519991,103.2169696
2020,North Dakota,20.42658448,1.831458436,28.03471123,30.60445223,1.076120627,7.911334044,89.88466105
2021,North Dakota,21.16634155,1.870773041,28.01689611,28.63756542,1.148568784,8.464222385,89.30436729
2022,North Dakota,20.59608242,2.045680346,28.7259357,27.15780718,1.321599676,8.362610467,88.2097158
