Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Ohio,14.43190711,21.43009648,113.6331106,72.68713682,20.98014119,59.40528431,302.5676765
1991,Ohio,12.27967577,22.84724636,115.9865167,69.36090947,21.6412003,57.69347539,299.809024
1992,Ohio,14.2922274,22.6180174,117.7369769,69.49880519,22.60332179,58.34917164,305.0985203
1993,Ohio,12.58815518,21.85337884,120.5850927,69.74764326,23.23787228,60.88808512,308.9002274
1994,Ohio,12.92409353,21.60613586,116.7256033,69.35607099,22.45824475,62.78583396,305.8559824
1995,Ohio,14.58216231,21.85363737,117.9312935,69.46790052,23.41424307,64.7062139,311.9554507
1996,Ohio,13.61305411,23.02433248,125.1772817,69.06901088,24.8281164,66.22818726,321.9399829
1997,Ohio,12.27097721,22.02304782,122.0610265,68.15979753,23.46294873,68.21248648,316.1902843
1998,Ohio,12.34368154,20.00868096,126.3713062,68.28627441,19.75995167,69.9835993,316.7534941
1999,Ohio,12.22467014,19.65449315,121.6460909,67.06948885,21.7482563,73.36856135,315.7115607
2000,Ohio,12.46522835,20.4773327,127.8939582,64.78000766,22.60264775,73.96057004,322.1797447
2001,Ohio,13.9018788,19.67351953,121.2739248,61.47485155,20.06362987,72.78026876,309.1680733
2002,Ohio,13.21397415,19.47801388,127.7975982,58.95513904,21.02883408,73.07709042,313.5506498
2003,Ohio,12.60233016,19.90510273,131.9332397,56.26607449,22.4407856,74.04951277,317.1970454
2004,Ohio,12.9291928,19.93495983,127.646997,57.49414786,21.19168799,74.04524944,313.2422349
2005,Ohio,13.54799971,19.1777982,136.3764498,56.00616229,20.94486529,73.25603263,319.3093079
2006,Ohio,13.44974003,17.92024039,132.3376863,56.83445237,17.77230485,72.03416913,310.3485931
2007,Ohio,13.34728809,18.99035478,134.1315481,57.48523065,19.436633,71.2638612,314.6549159
2008,Ohio,14.19234112,19.86078561,130.8973561,57.11113697,19.73543839,68.34497453,310.1420327
2009,Ohio,14.10297004,20.08737058,116.9495975,47.14738874,19.09865644,63.79399678,281.1799801
2010,Ohio,14.26824654,20.69360317,124.0720999,46.33729822,18.4155941,62.48258813,286.26943
2011,Ohio,13.95556882,19.6891034,113.5731325,46.04753144,18.48809168,61.18030886,272.9337367
2012,Ohio,12.95616879,19.63704375,96.66232648,46.11060432,16.13939868,59.75736618,251.2629082
2013,Ohio,14.49196811,20.83633044,104.3450076,46.30883693,18.99397534,59.41549278,264.3916112
2014,Ohio,13.47990857,21.19615985,100.3795755,46.37764162,20.91585367,61.6417969,263.9909361
2015,Ohio,14.5640207,21.18135204,84.93732972,46.832402,18.97187871,61.73537796,248.2223611
2016,Ohio,13.92680358,18.89421376,82.89404394,45.23629585,17.31345284,61.6782332,239.9430432
2017,Ohio,13.93323534,18.73440507,81.35174076,47.646909,17.46950911,62.48982188,241.6256212
2018,Ohio,14.57537456,20.04169958,78.87963175,52.99421273,20.10898175,63.07131105,249.6712114
2019,Ohio,13.72977959,20.30863772,68.55642938,47.14303033,19.74828037,61.94142723,231.4275846
2020,Ohio,13.39125019,20.1527331,68.15460435,46.26560154,18.56789706,56.56532248,223.0974087
2021,Ohio,13.6261069,22.11510157,69.57774736,51.64994533,18.94838519,60.76446409,236.6817505
2022,Ohio,13.37141591,22.92749998,72.40866454,49.16553957,20.31454313,59.37442059,237.5620837
