Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Oklahoma,17.48517151,5.788567813,36.30907096,56.4778666,3.925216304,24.13052521,144.1164184
1991,Oklahoma,18.49220853,5.854239971,39.02761779,53.68533889,4.129187707,24.1008544,145.2894473
1992,Oklahoma,18.21592569,5.347542914,39.42982244,53.39997638,3.915255718,26.1278065,146.4363296
1993,Oklahoma,18.11917364,5.324189748,41.16964528,54.83756802,4.638071764,25.43612311,149.5247716
1994,Oklahoma,19.25355822,4.974490553,40.01023405,53.06278761,4.143752187,26.74330765,148.1881303
1995,Oklahoma,18.93452397,5.05777864,41.94332852,52.89333013,4.172456659,25.87896753,148.8803854
1996,Oklahoma,20.6711796,5.390611904,42.8844496,50.70242832,4.753516424,27.24291342,151.6450993
1997,Oklahoma,19.79655395,5.60427417,43.80978424,50.93832406,4.428061317,26.67547827,151.252476
1998,Oklahoma,19.94004837,4.95187403,44.52206927,49.02975718,4.108797751,27.05583414,149.6083808
1999,Oklahoma,19.72166417,4.67396162,43.37769711,46.57921489,4.062437712,28.42706753,146.842043
2000,Oklahoma,18.90832818,4.711838743,45.58200837,47.00864976,4.419165343,29.21463508,149.8446255
2001,Oklahoma,19.44881555,4.769242432,44.96199114,45.43786904,4.284743411,32.02666396,150.9293255
2002,Oklahoma,19.92584523,4.678958081,47.42189232,45.10539988,4.561496168,29.60955384,151.3031455
2003,Oklahoma,20.05709318,4.415842583,48.04111202,47.68280788,4.288799487,28.33519748,152.8208526
2004,Oklahoma,20.62539542,4.302448864,46.11903396,48.33322426,3.885924362,28.85033394,152.1163608
2005,Oklahoma,19.970082,4.423624718,50.81430766,48.90664096,3.827197079,29.4187247,157.3605771
2006,Oklahoma,19.82131874,4.314735933,51.44343373,50.28845947,3.509832153,28.9708962,158.3486762
2007,Oklahoma,21.07676068,5.00596937,50.80804889,50.14163458,4.030155545,29.70143614,160.7640052
2008,Oklahoma,20.58797714,5.239423547,52.39191323,51.50415126,4.327290623,29.91975964,163.9705154
2009,Oklahoma,20.96079905,5.154859677,51.05807397,47.68472296,4.108246904,27.84812339,156.814826
2010,Oklahoma,20.63335158,5.992501758,48.62801378,48.04978496,4.345459069,28.8871689,156.5362801
2011,Oklahoma,20.77211581,5.90470014,50.41483764,49.70471066,4.074752664,27.94844272,158.8195596
2012,Oklahoma,17.86711435,5.798275048,48.33327344,48.84038456,3.331945032,28.98183556,153.152828
2013,Oklahoma,19.56923518,6.231523331,45.42143059,50.45558081,4.433512272,29.23495549,155.3462377
2014,Oklahoma,18.83448239,6.348695392,43.16933696,52.28176377,4.634965723,31.08054993,156.3497942
2015,Oklahoma,19.42044533,6.776410897,40.70602499,51.67156782,4.100767677,29.88222622,152.5574429
2016,Oklahoma,19.18496827,6.167773835,36.33053073,51.64878555,3.590265268,30.26861181,147.1909355
2017,Oklahoma,20.52697073,6.142408208,31.44358695,53.87726392,3.64608176,30.97526346,146.611575
2018,Oklahoma,20.14914961,6.432534962,34.20714405,54.27854757,4.604111584,31.67016115,151.3416489
2019,Oklahoma,20.49130945,6.751069256,28.17566445,51.76795896,4.699164628,30.81236486,142.6975316
2020,Oklahoma,19.12692378,6.238505906,25.90110258,45.65279154,4.316712542,28.10168111,129.3377174
2021,Oklahoma,19.77289568,5.982887236,27.37646555,44.64812862,4.573490069,30.06693589,132.4208031
2022,Oklahoma,19.43488438,6.173736465,26.09582147,47.60785168,4.529377214,29.71100264,133.5526738
