Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Oregon,7.291532331,4.30280488,2.516660823,9.45893982,2.10315311,18.58929057,44.26238154
1991,Oregon,7.179190505,4.664266241,4.278336962,9.597391279,2.270604037,18.64257493,46.63236395
1992,Oregon,7.143075484,4.461466746,5.174690027,9.826642646,1.957540488,19.32869921,47.8921146
1993,Oregon,7.57422538,4.513338615,4.942189519,9.336473248,2.454487524,19.66544092,48.4861552
1994,Oregon,7.563234504,4.477518688,6.068129305,9.28615442,2.382274044,19.94929354,49.7266045
1995,Oregon,8.103043048,4.594738111,3.321851218,9.911144105,2.333364509,20.29471398,48.55885497
1996,Oregon,7.637298952,4.695460368,3.862004819,10.72129772,2.626100099,21.36656521,50.90872717
1997,Oregon,7.950037306,4.565289701,3.274078859,11.27940579,2.523919562,21.07228905,50.66502026
1998,Oregon,8.162910329,4.451190477,6.871665339,12.17071643,2.596392314,22.38440873,56.63728361
1999,Oregon,7.619711929,4.548258922,7.016466934,12.6084534,2.916246811,22.88751956,57.59665756
2000,Oregon,7.536413843,4.57647324,7.990319801,10.14223528,2.90813882,22.58372488,55.73730587
2001,Oregon,7.408304377,4.664551404,9.175512077,8.423810039,2.975467771,21.83285219,54.48049785
2002,Oregon,7.823135016,4.682867547,6.996889992,8.453984932,2.941824535,22.40240967,53.30111169
2003,Oregon,7.894612507,4.503839402,8.697076076,8.045066469,2.795853967,22.75093481,54.68738324
2004,Oregon,7.906988058,4.56829838,8.6392337,8.449877946,2.7311592,22.9167202,55.21227749
2005,Oregon,8.163966199,4.656779759,8.63852403,8.231105098,2.813969396,23.08429316,55.58863764
2006,Oregon,7.87512741,4.769459039,6.849720245,8.963656305,2.86389147,23.24642703,54.5682815
2007,Oregon,7.823237825,5.006995647,10.14143815,8.853821444,2.907383031,23.34815692,58.08103302
2008,Oregon,7.71002058,5.047956289,10.55380509,8.598251062,3.083608447,21.88509223,56.8787337
2009,Oregon,8.183676803,4.941139406,9.297021278,7.281528348,3.172904067,21.71468697,54.59095687
2010,Oregon,7.888596242,4.238809537,10.20872936,6.754047838,2.878401126,20.91580362,52.88438772
2011,Oregon,8.217658584,4.216838169,7.031731963,7.038366945,3.24595983,20.156788,49.90734349
2012,Oregon,8.006964773,4.145714541,7.525446422,6.717896583,2.989059021,19.75021045,49.13529179
2013,Oregon,7.934624706,4.235207922,9.683477739,6.870567516,3.203380647,19.6172847,51.54454323
2014,Oregon,7.762732014,4.220037056,8.539033432,6.753291936,3.008591124,19.96036565,50.24405121
2015,Oregon,7.335696019,4.535443247,9.144215987,6.91473137,2.837230682,20.26085072,51.02816802
2016,Oregon,7.224863301,4.459453217,8.287983396,6.997203808,3.031802522,20.72192208,50.72322832
2017,Oregon,7.624000891,4.802800045,7.980501747,7.041007003,3.554488489,21.16168143,52.16447961
2018,Oregon,7.569308616,4.655744733,8.814803065,6.960428383,3.318813658,21.81602598,53.13512444
2019,Oregon,7.49788688,4.820528525,11.04428309,7.15036707,3.670028397,21.11045782,55.29355179
2020,Oregon,7.462355364,4.539782162,9.338413314,7.15641862,3.445725438,19.15863046,51.10132536
2021,Oregon,7.34408425,4.464941723,8.663165375,7.411131419,3.67790797,20.5414311,52.10266184
2022,Oregon,7.267200942,4.688855284,7.881788577,7.419944006,3.889629234,19.94558242,51.09300046
