Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Pennsylvania,9.298172252,26.47474519,108.0492153,77.42575326,23.91948545,60.19142176,305.3587932
1991,Pennsylvania,8.953929359,26.50399419,107.3911611,81.26543676,24.37424665,59.29644573,307.7852138
1992,Pennsylvania,9.356751414,26.85696984,107.9205839,77.70739785,25.56285899,61.47625443,308.8808164
1993,Pennsylvania,9.072456885,25.94197104,110.0653519,80.28182047,25.72579438,63.29592653,314.3833212
1994,Pennsylvania,8.923310479,28.1040539,106.4051832,81.49433096,25.24959092,64.33574271,314.5122121
1995,Pennsylvania,8.787409814,27.1775807,109.5585281,82.50811383,24.62502092,65.79152371,318.4481771
1996,Pennsylvania,8.913580603,28.66307117,114.4610202,85.04070763,26.088825,66.38385289,329.5510575
1997,Pennsylvania,8.359502293,27.2443458,116.2436212,85.91919592,24.58092113,68.10794794,330.4555343
1998,Pennsylvania,8.549591122,24.95984298,119.0226648,85.71219462,20.87076367,69.65742935,328.7724865
1999,Pennsylvania,8.791870265,25.31543166,114.9796776,81.46583432,23.00315461,71.63098542,325.1869539
2000,Pennsylvania,8.65231735,24.6695259,122.8524464,81.50943274,25.32712139,73.60493068,336.6157745
2001,Pennsylvania,8.847855078,24.54503562,112.3720301,78.78580071,24.58258071,73.0658882,322.1991904
2002,Pennsylvania,9.165092196,24.20037905,120.2245237,76.72106676,23.5050166,73.15475019,326.9708285
2003,Pennsylvania,8.768874339,24.9083317,120.8268199,76.84576518,26.23334809,73.45064367,331.0337829
2004,Pennsylvania,8.98411427,24.16566802,123.9119412,79.32367722,25.45453583,73.39599233,335.2359289
2005,Pennsylvania,8.670293036,23.73381885,129.0220921,77.42467229,23.70596257,73.97760619,336.5344451
2006,Pennsylvania,9.627045791,22.33576848,128.5352489,79.74341747,20.62456674,72.77054484,333.6365922
2007,Pennsylvania,9.171429085,22.84427774,130.9134041,74.28783756,21.93777254,72.13338955,331.2881105
2008,Pennsylvania,8.863423917,21.51261989,125.4553584,78.18216323,24.17708264,69.13279708,327.3234451
2009,Pennsylvania,9.027327104,20.98249117,117.8993595,69.43893195,20.33939523,67.25078279,304.9382877
2010,Pennsylvania,9.822503573,17.97739492,124.371439,71.19177873,20.95840616,67.54885894,311.8703813
2011,Pennsylvania,9.924668789,17.23008179,118.820129,66.18322402,20.52401064,67.10710947,299.7892237
2012,Pennsylvania,9.875863655,15.86865089,111.4216799,67.36496276,17.78882482,65.0408574,287.3608394
2013,Pennsylvania,9.808305174,17.36769495,110.2018531,76.95812593,20.72593654,64.35752329,299.419439
2014,Pennsylvania,10.16399822,17.56510445,103.0492708,78.27187897,23.27979872,65.19018607,297.5202372
2015,Pennsylvania,9.632502004,17.83633268,91.68505786,79.86474383,21.48034424,63.32136113,283.8203418
2016,Pennsylvania,9.81427728,16.90616067,85.75478994,76.58924086,19.01613617,62.62176291,270.7023678
2017,Pennsylvania,9.958195129,17.03285641,79.96686983,86.07831578,18.80818702,63.52048779,275.364912
2018,Pennsylvania,10.23845495,17.80543311,77.61042164,89.97683143,22.43888708,62.8120766,280.8821048
2019,Pennsylvania,9.79952766,17.91385861,77.87409327,84.71470365,20.72025085,63.3844107,274.4068447
2020,Pennsylvania,9.355369764,16.75351258,72.79754785,80.6937676,19.01797404,54.64775658,253.2659284
2021,Pennsylvania,9.088885619,16.97837532,80.21994777,82.66168841,20.2634086,59.49485804,268.7071638
2022,Pennsylvania,8.74437662,17.85052889,76.95624066,80.53346796,21.61604511,58.75464912,264.4553083
