Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Rhode Island,0.054847829,1.907692493,0.69053063,1.102563569,2.357988662,4.124506021,10.2381292
1991,Rhode Island,0.060640924,1.93019268,1.37747995,2.24662422,2.401829477,3.938320244,11.9550875
1992,Rhode Island,0.057107571,1.84321279,2.182832671,3.420137177,2.752870498,4.086334183,14.34249489
1993,Rhode Island,0.077185165,1.759377154,2.012508498,1.416429624,2.56558588,4.055382721,11.88646904
1994,Rhode Island,0.057236628,2.051335098,2.138867536,3.097039864,2.57754572,4.03773324,13.95975808
1995,Rhode Island,0.047511963,1.993934409,2.002456545,2.67942313,2.387892642,4.15953105,13.27074974
1996,Rhode Island,0.04937394,2.122635086,3.463752904,2.239599435,2.611997257,4.289674074,14.7770327
1997,Rhode Island,0.044720276,2.091550813,3.37840671,2.052499884,2.537962588,4.427547934,14.53268821
1998,Rhode Island,0.047192913,1.960654066,3.301106984,2.964521172,2.279148271,4.59402992,15.14665332
1999,Rhode Island,0.050940016,1.753710597,2.990725961,2.530628193,2.204185012,4.847195611,14.37738539
2000,Rhode Island,0.049443067,1.966308509,2.683441793,1.045312929,2.411850922,4.876511061,13.03286828
2001,Rhode Island,0.048797636,2.010854387,3.22893562,0.906006748,2.554906875,4.899687634,13.6491889
2002,Rhode Island,0.046848212,1.889644506,2.955165388,0.856508203,2.383211242,4.785652848,12.9170304
2003,Rhode Island,0.045389671,2.106577669,2.315891496,0.895990165,2.748964447,4.76977361,12.88258706
2004,Rhode Island,0.047849256,2.004829197,1.987480559,0.932376613,2.790170264,4.609815472,12.37252136
2005,Rhode Island,0.049867298,1.936344193,2.42210361,0.961152414,2.609064192,4.530961946,12.50949365
2006,Rhode Island,0.054357482,1.714512633,2.364889834,0.988282735,2.211171945,4.608962381,11.94217701
2007,Rhode Island,0.045839384,1.699563244,2.844613662,1.010312937,2.264934572,4.48605271,12.35131651
2008,Rhode Island,0.045249097,1.490535896,2.915981213,0.95957947,2.079989136,4.33865748,11.82999229
2009,Rhode Island,0.044375072,1.558339201,3.049894141,1.02397193,2.323432436,4.31889279,12.31890557
2010,Rhode Island,0.053105049,1.515286763,3.120485918,0.93847454,2.257721296,4.334262522,12.21933609
2011,Rhode Island,0.055869809,1.316203075,3.564819481,0.883964597,2.213365661,4.103938088,12.13816071
2012,Rhode Island,0.057231695,1.389274082,3.401710688,0.863663621,2.018669033,3.911314318,11.64186344
2013,Rhode Island,0.054418367,1.380247222,2.650372095,0.920878042,2.243040894,3.874230794,11.12318741
2014,Rhode Island,0.052707622,1.553124657,2.571653305,0.858197157,2.362849226,4.20396148,11.60249345
2015,Rhode Island,0.042087384,1.443000583,2.874809024,0.926162888,2.408803134,4.171473278,11.86633629
2016,Rhode Island,0.038370163,1.290294201,2.657904301,0.921695667,1.79969121,3.911805491,10.61976103
2017,Rhode Island,0.039241102,1.29862249,2.88650819,0.957647386,1.789723695,3.984622208,10.95636507
2018,Rhode Island,0.038008171,1.406980198,3.200965635,0.971132119,2.286998197,4.138952151,12.04303647
2019,Rhode Island,0.036591296,1.410662024,2.953502424,0.975511604,2.107625748,4.095160135,11.57905323
2020,Rhode Island,0.033674019,1.17220233,3.356780829,0.959804663,1.934953265,3.445746782,10.90316189
2021,Rhode Island,0.032752117,1.274475296,3.525135278,0.938556897,2.101238857,3.805786118,11.67794456
2022,Rhode Island,0.032546155,1.284439251,2.833757226,0.966304453,2.15644775,3.914845062,11.1883399
