Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,South Carolina,3.161613109,3.521770747,23.35736851,18.08943187,2.129742783,22.84486579,73.1047928
1991,South Carolina,3.236610564,3.737567147,23.90120293,17.43650685,2.333085924,21.79765147,72.44262488
1992,South Carolina,2.966531146,3.852377798,23.28478472,17.977729,2.229606477,22.53171231,72.84274145
1993,South Carolina,2.881414943,4.030149239,26.45106016,18.26578681,2.505929768,23.33977284,77.47411375
1994,South Carolina,3.063482297,5.145660375,26.93189601,17.90033077,2.263694139,24.64798695,79.95305054
1995,South Carolina,2.908134696,4.932014142,25.98514862,17.75988869,2.436192759,24.40857982,78.42995873
1996,South Carolina,3.038848711,4.601205736,29.78671441,17.55762496,2.715254717,24.92473864,82.62438717
1997,South Carolina,2.978077571,4.427573628,30.79659952,17.90940784,2.462709867,25.86555911,84.43992754
1998,South Carolina,2.827597861,4.794226225,32.44421498,18.41069878,2.392619142,27.64531062,88.5146676
1999,South Carolina,2.960111338,5.027118936,35.06796971,18.0308841,2.488503765,28.7621268,92.33671464
2000,South Carolina,2.868956842,4.543648353,38.10729326,17.9574275,2.645837946,29.30055616,95.42372006
2001,South Carolina,2.986329734,4.324643071,36.17380322,18.31217847,2.369391576,29.13559023,93.3019363
2002,South Carolina,3.065000428,4.456313568,36.8949392,18.22746162,2.33375044,29.4308509,94.40831615
2003,South Carolina,2.968847516,4.604173184,37.05634546,18.60186533,2.496306172,29.87101814,95.5985558
2004,South Carolina,2.981443433,4.52813354,40.29382791,19.05073306,2.525719706,32.64177826,102.0216359
2005,South Carolina,3.201735377,4.529078423,41.32415734,18.69801004,2.409528993,31.1183776,101.2808878
2006,South Carolina,2.927389906,4.694672873,41.32241626,19.23143306,2.107714221,31.88439596,102.1680223
2007,South Carolina,2.864392187,4.413049004,43.11963044,18.07674186,2.027191199,31.77584863,102.2768533
2008,South Carolina,2.814703691,4.506946615,43.22406333,16.61722624,2.135901923,30.71233165,100.0111734
2009,South Carolina,2.565657085,4.315749712,38.62532614,14.69399777,2.148855098,31.0395563,93.38914211
2010,South Carolina,2.496606783,4.906920335,42.06564213,12.630721,2.525256896,31.1610108,95.78615794
2011,South Carolina,2.491863324,4.362589053,38.96490123,12.49278671,2.127674173,31.22370657,91.66352106
2012,South Carolina,2.516437132,4.694514032,34.24079141,11.92897167,1.833512779,30.43377327,85.64800029
2013,South Carolina,2.466823406,4.71343027,28.98934857,11.57575434,2.210949288,31.28920254,81.24550841
2014,South Carolina,2.414654025,5.156791581,33.36117027,11.70649727,2.479419071,30.49094359,85.60947581
2015,South Carolina,2.43191662,5.432551997,30.08849448,12.27566428,2.278233204,31.87793341,84.38479399
2016,South Carolina,2.486884386,5.494566167,28.27624881,11.65286842,2.243641541,33.00999112,83.16420044
2017,South Carolina,2.422625786,5.327461951,25.73371257,11.42844471,2.160033957,33.3837443,80.45602328
2018,South Carolina,2.58583525,5.410810401,29.27553872,11.83871189,2.569255787,33.26721098,84.94736302
2019,South Carolina,2.485353438,5.331286248,25.46515682,11.75364885,2.496079618,33.05176179,80.58328676
2020,South Carolina,2.62336975,5.312067362,23.34664799,11.36116477,2.49213776,29.70422199,74.83960962
2021,South Carolina,2.420996328,5.560635473,25.54118913,11.50790368,2.869576944,33.26512556,81.16542712
2022,South Carolina,2.34228275,5.684003577,25.20705959,11.70004067,2.956499264,32.49682641,80.38671227
