Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,South Dakota,18.62928926,1.073168197,3.455745054,2.146488648,1.384746278,5.021260324,31.71069776
1991,South Dakota,18.6658491,1.088275293,3.68922517,2.295231079,1.233787559,4.808535875,31.78090407
1992,South Dakota,19.6569804,1.037089418,3.46512701,2.319435865,1.041135883,5.396078567,32.91584714
1993,South Dakota,20.95675248,1.089595961,3.382416385,2.624068295,1.247351617,5.49133136,34.7915161
1994,South Dakota,20.86040764,1.12712651,3.616789809,2.890944853,1.165383748,5.961363126,35.62201568
1995,South Dakota,20.78224825,1.132160897,3.364592164,2.876373831,1.241482011,6.031594024,35.42845117
1996,South Dakota,21.11141369,1.15053502,2.945005073,2.987806352,1.49007119,6.111375378,35.79620671
1997,South Dakota,19.95223142,1.090180665,3.806369791,2.993415071,1.367077433,5.951876599,35.16115097
1998,South Dakota,20.3177222,0.967111711,3.63281948,2.930777452,1.156992203,6.193556184,35.19897923
1999,South Dakota,20.55659386,0.950512624,4.058669735,2.847025576,1.129041379,6.351456497,35.89329967
2000,South Dakota,19.33978,1.03159575,4.168488737,3.337567077,1.24933302,6.435649731,35.56241432
2001,South Dakota,22.57422033,1.014414081,4.181126813,2.761961034,1.174310708,6.278767172,37.98480014
2002,South Dakota,21.00364261,1.011618374,3.665903026,2.891636714,1.210740119,6.498137702,36.28167855
2003,South Dakota,21.35378797,1.019663231,3.92463039,2.874126869,1.235130815,6.477890056,36.88522933
2004,South Dakota,22.95238916,0.986787051,4.157647251,2.725716127,1.095833503,6.477142594,38.39551568
2005,South Dakota,22.81998462,0.984882633,3.561441071,2.839499191,1.073927913,6.522958161,37.80269359
2006,South Dakota,23.47817358,0.974404231,3.769512774,3.022818464,1.014877024,6.463067842,38.72285392
2007,South Dakota,23.81586895,1.090088275,3.246355861,3.60399534,1.077521367,6.76114875,39.59497854
2008,South Dakota,22.67826538,1.160763495,4.176224824,3.771726887,1.255854121,6.434661875,39.47749658
2009,South Dakota,24.67275555,1.213212874,3.642683822,3.482715458,1.20449313,6.47551619,40.69137702
2010,South Dakota,23.34652924,1.194162252,3.748773477,3.677224928,1.113050115,6.65353413,39.73327414
2011,South Dakota,24.5332014,1.155772225,3.011116217,3.761774106,1.112306144,6.639609453,40.21377955
2012,South Dakota,21.87413788,1.064783037,3.362104535,3.674740076,0.942488518,6.911668209,37.82992226
2013,South Dakota,26.0593943,1.234418893,3.321539477,4.050654109,1.168579637,6.611532442,42.44611886
2014,South Dakota,26.33666354,1.352454087,3.208968693,4.025187705,1.183781674,6.950055563,43.05711126
2015,South Dakota,25.55951065,1.255814878,2.039138791,4.02804979,1.02689999,6.934272529,40.84368663
2016,South Dakota,24.56296585,1.263340736,2.761420825,4.001268579,1.043923498,7.000253013,40.6331725
2017,South Dakota,27.44031933,1.273614843,2.589468901,4.047784478,1.050027755,6.998855489,43.40007079
2018,South Dakota,28.72595184,1.363756426,3.010346902,4.084965758,1.257847502,7.043025474,45.48589391
2019,South Dakota,26.74811219,1.459852776,3.342811088,4.348036208,1.370067177,6.881740807,44.15062025
2020,South Dakota,26.53768143,1.39440286,2.412112971,4.214304213,1.16808977,6.759920353,42.48651159
2021,South Dakota,27.01996783,1.360426027,2.546808814,4.079169882,1.151527238,7.26940168,43.42730147
2022,South Dakota,26.33414878,1.468005634,2.820950171,4.446127995,1.299144167,7.132893265,43.50127001
