Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Tennessee,8.846017555,8.707379581,48.85245116,25.74907299,3.484876926,31.89149142,127.5312896
1991,Tennessee,8.682702213,9.095043006,45.93734671,25.36990456,3.660029178,30.19792549,122.9429512
1992,Tennessee,8.719456438,9.140846979,48.43213848,26.55151679,3.877613814,32.37526962,129.0968421
1993,Tennessee,8.818773894,8.842685427,57.0314375,26.12956387,4.163998727,34.41756664,139.4040261
1994,Tennessee,9.492793108,8.849751835,50.71057385,26.13688022,4.109225049,36.0385721,135.3377962
1995,Tennessee,9.427093733,8.976266924,55.85989024,25.86788978,4.379244648,37.32617593,141.8365613
1996,Tennessee,9.315513461,9.200176677,54.21972121,25.57189551,5.17384841,39.00296,142.4841153
1997,Tennessee,9.146169125,8.611363246,57.30065053,26.10265279,4.696980907,39.61940778,145.4772244
1998,Tennessee,9.044600081,7.864113273,56.14665724,27.09943024,4.352383397,40.64554997,145.1527342
1999,Tennessee,8.327270943,7.638796399,55.83967746,26.46581047,4.583609372,42.76335852,145.6185232
2000,Tennessee,8.546444531,7.916744259,60.62633215,25.68275834,5.133607271,42.9949291,150.9008156
2001,Tennessee,8.603659664,7.687433215,58.1539854,26.8290265,4.853412974,42.17791145,148.3054292
2002,Tennessee,8.377973201,7.633017291,55.57599047,26.09824465,4.929574647,43.76897066,146.3837709
2003,Tennessee,8.568497023,8.081564654,52.42950167,26.23244223,4.886004411,44.82631854,145.0243285
2004,Tennessee,8.784374845,7.844244299,55.05381696,26.03293728,4.641700784,44.37371613,146.7307903
2005,Tennessee,8.449039635,7.559396973,56.52782221,26.02112494,4.677645838,45.08033522,148.3153648
2006,Tennessee,8.946064472,7.535305015,58.61871754,26.42639615,4.353520855,44.74065467,150.6206587
2007,Tennessee,8.650102327,7.603350354,58.20940891,26.65811366,4.351896591,44.64393039,150.1168022
2008,Tennessee,8.116582386,7.772330969,55.32747184,26.03951751,4.728901935,42.37635477,144.3611594
2009,Tennessee,8.181553376,7.991769373,40.23428122,20.30131465,4.662484192,40.32229363,121.6936964
2010,Tennessee,7.753131362,8.862957162,44.60369191,18.3187608,5.223252992,41.41070279,126.172497
2011,Tennessee,7.796803807,8.51417528,41.74357194,18.36546668,4.565380151,40.83159395,121.8169918
2012,Tennessee,8.036110433,8.309758148,38.35626367,17.89224456,3.658767997,39.52610894,115.7792537
2013,Tennessee,8.200842262,8.10566584,34.68547058,18.83430062,4.743951751,39.15595572,113.7261868
2014,Tennessee,8.748519203,8.570707414,38.28973411,18.25562417,5.347365535,40.64698002,119.8589305
2015,Tennessee,7.587089168,8.876071355,34.63009358,18.18547112,4.758613972,40.87622592,114.9135651
2016,Tennessee,7.848345651,8.510311661,36.9909605,18.32694435,4.286393251,42.0517695,118.0147249
2017,Tennessee,8.194859325,8.478494938,33.00194295,17.89617778,4.153832772,42.20937702,113.9346848
2018,Tennessee,8.369264654,8.847335046,26.65422736,18.37230811,5.292395045,42.76572437,110.3012546
2019,Tennessee,7.860354364,9.081163112,24.52196508,17.91809957,5.092130231,44.81544472,109.2891571
2020,Tennessee,7.703453003,8.172049487,20.15645608,17.54277451,4.865039457,41.52054567,99.96031822
2021,Tennessee,7.727671054,8.523852404,24.53138504,18.20812004,5.393835663,45.31821544,109.7030796
2022,Tennessee,7.52542781,8.688132316,24.21467399,18.17389621,5.611510606,44.45426953,108.6679105
