Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Texas,63.40460854,33.69248764,187.3426935,331.2304112,13.27476759,136.8398665,765.7848349
1991,Texas,65.54577996,34.43732437,186.6115823,331.3721298,13.49198811,130.1450155,761.6038199
1992,Texas,65.07611526,33.89423372,184.2719933,331.141852,13.07214472,134.9200396,762.3763787
1993,Texas,65.94332559,33.04415797,200.7535923,328.0732869,13.67563598,135.4351982,776.9251969
1994,Texas,67.17744228,32.86860294,194.273903,332.9122881,12.84371315,143.1262226,783.2021722
1995,Texas,69.75074312,34.29216076,194.4978108,337.4500556,12.89305688,140.3810285,789.2648557
1996,Texas,72.14930975,31.6495484,205.1768201,353.8280257,13.95860194,153.9911665,830.7534725
1997,Texas,66.07972956,31.78724045,209.5312009,354.4784602,14.48766834,155.2351034,831.5994029
1998,Texas,67.00894744,28.02857964,218.5921668,349.6079803,12.97763513,161.8863184,838.1016277
1999,Texas,62.9064534,27.36644227,223.0859247,331.2401376,12.58983235,166.9602441,824.1490345
2000,Texas,64.21363674,29.75206669,231.9502734,349.3781992,13.96062694,173.4419544,862.6967574
2001,Texas,62.5713984,27.95690913,222.9698667,342.0325856,14.92424517,177.9521958,848.4072008
2002,Texas,65.79493937,30.36841144,230.08006,338.7547098,14.78188849,185.6977811,865.4777901
2003,Texas,63.77219025,30.62069018,230.3522904,336.0076625,14.17653989,181.7888213,856.7181945
2004,Texas,64.72248087,27.96632987,229.6629812,341.8065961,12.90492918,180.3644017,857.4277189
2005,Texas,61.83376719,26.40687957,234.169381,311.5286852,12.77812975,181.2073072,827.92415
2006,Texas,62.08808974,26.01535155,231.9157127,317.3139724,11.33167858,187.5402342,836.2050392
2007,Texas,64.51243496,27.54418659,234.5430263,308.4605179,13.38903729,191.1014435,839.5506466
2008,Texas,61.69122699,28.67406751,232.2620472,292.9899979,13.07279954,186.0880203,814.7781594
2009,Texas,63.8656165,29.50288585,221.4136686,265.7609247,12.8672807,174.2692246,767.679601
2010,Texas,63.60868281,32.25233735,225.5266496,285.0200994,15.05170649,170.0728707,791.5323464
2011,Texas,59.47491953,32.61703749,242.89029,291.5336349,13.58319525,172.0945897,812.193667
2012,Texas,59.93788231,30.74178362,226.8229121,302.152883,11.89684221,176.8084424,808.3607456
2013,Texas,60.47234541,30.83001544,231.2601175,333.8232052,14.31233431,189.2325915,859.9306093
2014,Texas,58.89028437,31.73738352,229.7699564,334.942127,16.2299519,190.0376713,861.6073745
2015,Texas,61.20940168,34.04433159,218.1906054,331.3181292,15.15099886,191.575442,851.4889087
2016,Texas,60.27241535,33.29211668,212.0435828,315.9761936,13.28801138,197.5611341,832.4334539
2017,Texas,61.87427761,32.80951304,215.7553289,318.7434651,12.56133843,201.161795,842.9057181
2018,Texas,64.42069921,35.6546322,205.1085325,342.8821562,16.208479,209.0869497,873.3614488
2019,Texas,63.00668353,35.83040446,193.4546597,347.2208007,16.85529298,213.2231705,869.5910119
2020,Texas,64.20630539,33.20553795,179.5765242,324.9041526,15.49395217,185.3888391,802.7753113
2021,Texas,64.84377713,33.08064009,183.0324483,341.6269003,16.42050291,208.7110317,847.7153004
2022,Texas,63.70376608,33.77728879,189.3539861,334.2929605,18.42327271,211.5913986,851.1426728
