Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Vermont,1.462633338,0.667356614,0.202140489,0.746583391,1.406895047,3.176338807,7.661947686
1991,Vermont,1.449075728,0.745231823,0.20243393,0.718797226,1.496760112,3.248623704,7.860922522
1992,Vermont,1.42783465,0.806770375,0.177270279,0.772349806,1.57393633,3.471476355,8.229637795
1993,Vermont,1.474698042,0.8219777,0.151831286,0.824269627,1.487143432,3.654742484,8.414662571
1994,Vermont,1.416757961,0.793637558,0.150279276,0.762854483,1.399511041,3.736290799,8.259331118
1995,Vermont,1.407740779,0.714327073,0.19019476,0.825551235,1.352923625,3.904192543,8.394930015
1996,Vermont,1.438563104,0.822017161,0.239619326,0.880862928,1.459531845,4.107515866,8.94811023
1997,Vermont,1.42993577,0.851460783,0.196992524,1.155252133,1.415959791,3.968473995,9.018074996
1998,Vermont,1.554121815,0.920719912,0.20491896,1.004612362,1.334115177,3.938684093,8.957172319
1999,Vermont,1.591295347,0.857192937,0.192204129,1.177982061,1.291391441,3.790283906,8.90034982
2000,Vermont,1.560439943,0.94444551,0.256305534,1.030637522,1.504992114,3.997302048,9.29412267
2001,Vermont,1.580338682,0.99690518,0.17775102,0.871240091,1.562742035,4.059369822,9.248346829
2002,Vermont,1.586076922,0.920511016,0.150752033,0.884928847,1.426686978,3.979696514,8.948652311
2003,Vermont,1.599267021,0.974887521,0.141028286,0.902304995,1.548748964,4.063163651,9.229400439
2004,Vermont,1.606817023,1.040237744,0.157075129,0.987094207,1.774998637,4.035855694,9.602078433
2005,Vermont,1.62577348,0.961029191,0.151725561,1.000332175,1.617745528,4.013612901,9.370218836
2006,Vermont,1.600203216,0.954898501,0.154788702,1.093203273,1.566760353,3.979810517,9.349664562
2007,Vermont,1.573379579,0.958070103,0.14419874,0.979797235,1.517038624,3.914000789,9.086485069
2008,Vermont,1.553350665,0.875491306,0.127926873,0.906417621,1.248773304,3.651886115,8.363845884
2009,Vermont,1.562225277,0.971845593,0.14135532,0.854538018,1.537614852,3.613731612,8.681310673
2010,Vermont,1.568035028,0.939836953,0.163512749,0.945085288,1.40985091,3.499119821,8.52544075
2011,Vermont,1.62671098,0.982461746,0.278468977,1.068137909,1.408333809,3.406442325,8.770555745
2012,Vermont,1.594373856,0.926700011,0.234943936,0.955328662,1.156283297,3.342577741,8.210207502
2013,Vermont,1.640077103,1.063259339,0.240740724,0.900765212,1.35187685,3.314554597,8.511273826
2014,Vermont,1.643655515,1.091368058,0.322092845,0.748580412,1.497013919,3.319685523,8.622396272
2015,Vermont,1.684846603,1.297928793,0.258345702,0.850186202,1.530940103,3.299831321,8.922078724
2016,Vermont,1.760897188,1.121582306,0.342228283,0.778576385,1.367289031,3.344360484,8.714933677
2017,Vermont,1.79669144,1.013442846,0.296809211,0.738747335,1.386956876,3.297440298,8.530088007
2018,Vermont,1.771680259,1.169139754,0.224517634,0.737015427,1.584013138,3.1560715,8.642437712
2019,Vermont,1.753054972,1.169981977,0.275397494,0.768682165,1.670205378,3.256591158,8.893913144
2020,Vermont,1.750515048,1.230730165,0.234102449,0.775180107,1.489252013,2.735840904,8.215620686
2021,Vermont,1.724358594,1.212662647,0.277576418,0.70650515,1.400459894,2.947344808,8.26890751
2022,Vermont,1.71702437,1.239346671,0.254261601,0.739373776,1.451048105,2.886127107,8.287181631
