Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Virginia,6.510355462,8.917585555,24.56989649,49.64597236,6.572744164,40.15509079,136.3716448
1991,Virginia,6.595995479,9.065819071,26.54518009,48.29552839,6.515918046,38.53947699,135.5579181
1992,Virginia,6.825068391,9.28801434,28.39013677,45.94471102,6.986050674,39.93407235,137.3680535
1993,Virginia,6.757818727,10.29542894,32.91393497,39.29718058,7.12906516,40.88322317,137.2766516
1994,Virginia,6.76186252,10.56528024,30.81577309,37.38477015,7.000769064,42.10186764,134.6303227
1995,Virginia,6.817135517,10.75456019,32.20202987,34.44689883,7.244648061,43.03685752,134.50213
1996,Virginia,6.924664899,11.52379886,35.02383698,34.72214645,8.250240016,44.11748427,140.5621715
1997,Virginia,6.511531299,12.06403489,36.36333965,33.58888841,7.890782995,45.63881851,142.0573958
1998,Virginia,6.508961961,11.87915662,38.63647368,32.29714274,7.188287544,47.02137422,143.5313968
1999,Virginia,7.134673456,11.10328571,39.68722241,31.80768172,7.28403043,48.84763458,145.8645283
2000,Virginia,6.685473959,11.67165738,44.57092762,30.44092754,8.329848124,50.616777,152.3156116
2001,Virginia,6.787831678,11.09654101,44.18280779,28.98503733,7.683754252,50.48985497,149.225827
2002,Virginia,6.618860621,10.80499039,43.55486688,28.03351214,7.384957826,50.49466445,146.8918523
2003,Virginia,7.010867026,12.13327772,43.02749448,29.82925129,8.433486016,52.82522241,153.2595989
2004,Virginia,6.566434045,11.85016865,42.55439881,30.00055883,8.575451971,55.59341877,155.1404311
2005,Virginia,6.528832931,11.65076271,43.40173672,29.49578605,8.571540238,55.3994803,155.0481389
2006,Virginia,6.506423621,11.02373847,39.2435693,29.56485379,7.278895215,55.01170217,148.6291826
2007,Virginia,6.164557762,11.15039632,43.87100732,28.7833177,7.641008321,56.07212501,153.6824124
2008,Virginia,6.481186332,11.07441677,38.42657191,27.16589619,7.122793521,52.1217369,142.3926016
2009,Virginia,5.956487002,10.9778685,33.01894927,22.23285822,7.302173502,50.25317131,129.7415078
2010,Virginia,6.118303167,10.70615941,35.93550964,21.91112999,7.658338688,52.29703928,134.6264802
2011,Virginia,6.336366323,10.38946554,30.02035531,21.02886081,6.998936734,49.4166441,124.1906288
2012,Virginia,6.213651191,10.12841038,26.62365449,20.08995785,5.977747744,50.21035884,119.2437805
2013,Virginia,6.346448963,10.56161145,32.54231429,21.02869834,7.172372073,49.44304756,127.0944927
2014,Virginia,6.1497974,10.9387339,31.92387045,18.91255955,7.754447598,51.2067157,126.8861246
2015,Virginia,6.223980467,11.60016251,33.37792229,18.60525238,7.249575336,50.77871066,127.8356036
2016,Virginia,5.976482569,12.21753276,35.12105586,18.52705007,6.476121262,52.30091751,130.61916
2017,Virginia,5.884613115,11.67686007,29.58170515,19.40541244,6.336992074,52.62168234,125.5072652
2018,Virginia,6.222894613,11.85107088,31.85759362,19.29833773,7.464243786,53.05188999,129.7460306
2019,Virginia,5.682647874,11.9029813,28.14787447,19.41375279,7.063080715,52.75819617,124.9685333
2020,Virginia,5.729585872,11.67126411,30.09954442,18.821673,6.76731177,46.90344008,119.9928193
2021,Virginia,5.515333878,11.75982222,25.56157324,18.99940766,7.361140038,50.64473177,119.8420088
2022,Virginia,5.513005017,12.03552074,23.92517412,18.31640209,7.70870891,48.97191015,116.470721
