Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Washington,8.703561845,6.640494053,8.684985967,27.7303381,3.67224862,34.83458905,90.26621763
1991,Washington,8.289925915,6.683510675,9.024868978,27.12205726,4.004677398,33.83440515,88.95944538
1992,Washington,8.51394621,6.289994561,11.17616596,28.79994051,3.623768291,37.84964387,96.25345941
1993,Washington,9.136047525,6.443207136,11.33867491,27.36686623,4.275004781,36.43207672,94.9918773
1994,Washington,8.881230407,6.690012059,12.95263838,28.27426385,4.302214811,37.99447219,99.0948317
1995,Washington,8.769345385,6.901039788,9.325813653,28.18020815,4.343886704,39.48760422,97.0078979
1996,Washington,8.328242245,6.919490649,11.68387657,29.7158088,5.012413781,39.79937636,101.4592084
1997,Washington,8.129104587,6.973032413,9.831168447,28.22002784,5.115199738,38.43500816,96.70354118
1998,Washington,8.58772671,6.493624277,12.6794338,33.06145532,4.990883018,37.61316665,103.4262898
1999,Washington,8.287112195,6.780873315,11.4216138,33.3937297,5.556680426,40.36204704,105.8020565
2000,Washington,8.451886279,6.78630443,14.96565546,27.48578579,5.511444683,41.47048624,104.6715629
2001,Washington,8.840900686,7.092198567,14.90466951,18.02429796,6.401228761,39.81022927,95.07352476
2002,Washington,8.347561375,6.668092306,12.34897515,17.91042119,5.88316701,38.96843853,90.12665555
2003,Washington,8.546379481,6.583730703,14.94771511,16.82369532,5.328231379,38.67913705,90.90888904
2004,Washington,8.712076178,6.783668749,14.85647193,17.35634294,5.289514083,39.51882757,92.51690146
2005,Washington,8.393652017,6.860652149,14.8823846,18.5178295,5.263897801,39.55190519,93.47032127
2006,Washington,9.242320495,7.026200917,10.31163535,18.67183416,5.363870377,39.88368836,90.49954966
2007,Washington,9.441856912,7.165808073,12.64498309,19.31870295,5.529585569,41.11131673,95.21225333
2008,Washington,9.167526335,7.597795506,13.50336482,18.9360628,5.881883039,37.83855122,92.92518372
2009,Washington,9.939825574,7.57269044,13.3337886,17.38148561,6.038479143,36.91223538,91.17850475
2010,Washington,9.447037865,6.894727324,13.78298254,16.46176659,5.614360539,35.09810406,87.29897892
2011,Washington,9.435783777,6.79277791,8.089840063,16.26639045,6.164174621,34.84972895,81.59869576
2012,Washington,8.860751358,6.58104615,6.859062805,16.67090179,5.614891605,34.74041326,79.32706697
2013,Washington,9.036475333,6.831857813,12.34299549,16.61180274,5.913104738,35.67862301,86.41485914
2014,Washington,9.965422098,6.727377794,12.34829537,16.36657522,5.781312199,35.23276413,86.42174681
2015,Washington,9.180679476,7.366609253,11.46417086,17.08951894,5.471377338,35.84939528,86.42175114
2016,Washington,8.823708418,7.544331812,10.15680937,16.58339677,5.916410258,37.94234034,86.96699697
2017,Washington,8.941122497,7.986934097,10.99479406,15.70428048,6.954696789,38.30304407,88.88487199
2018,Washington,9.556197651,8.139129981,10.68025563,15.94647669,6.563232164,39.09682332,89.98211544
2019,Washington,9.85746274,8.472880629,14.45917451,15.87868931,7.194060576,39.98942049,95.85168825
2020,Washington,9.812417057,8.250855328,11.52007929,14.53393663,6.891158007,31.3085552,82.31700151
2021,Washington,9.521794852,8.412686863,10.37263408,13.69653545,7.251718204,38.05190356,87.307273
2022,Washington,9.316974028,8.826692485,10.0117729,13.92448685,7.603865166,38.19044229,87.87423371
