Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,West Virginia,1.64218247,2.916372692,72.14990281,73.3074283,2.460732832,10.23102898,162.7076481
1991,West Virginia,1.611361076,3.035796457,67.06976704,70.94409754,2.391551476,9.974116018,155.0266896
1992,West Virginia,1.673261483,3.008104992,68.95875141,71.09377107,2.515304272,11.05590138,158.3050946
1993,West Virginia,1.693266656,2.856844245,68.76906351,63.89146043,2.577344631,11.312881,151.1008605
1994,West Virginia,1.674957667,2.965422686,75.04822496,64.00003281,2.569486943,11.96280353,158.2209286
1995,West Virginia,1.655272334,2.943631963,74.72977178,62.55448963,2.523346559,12.14156307,156.5480753
1996,West Virginia,1.685468025,3.168824215,79.91173527,64.44177247,2.754729452,11.22776818,163.1902976
1997,West Virginia,1.5419707,2.975629121,83.94986973,61.64328197,2.733230505,12.52529902,165.3692811
1998,West Virginia,1.534938711,3.009224036,84.93212334,63.67439613,2.340609094,12.71123676,168.2025281
1999,West Virginia,1.577752718,3.100644404,87.67359922,64.12873161,2.48962666,12.78412838,171.754483
2000,West Virginia,1.549226656,3.22731106,86.29980741,40.90706554,2.488254223,12.98748282,147.4591477
2001,West Virginia,1.522966033,2.956354253,76.62006189,42.93240405,2.504561972,12.79504373,139.3313919
2002,West Virginia,1.591359396,2.651743896,88.96093417,41.30441577,2.283827884,12.76447621,149.5567573
2003,West Virginia,1.524558197,2.820963834,88.17603619,38.00231265,2.369870367,12.00050484,144.8942461
2004,West Virginia,1.543555972,2.740864082,84.23636287,40.2879364,2.351917666,12.32868037,143.4893174
2005,West Virginia,1.720043539,2.751877927,87.43271354,39.56859582,2.256785493,12.218138,145.9481543
2006,West Virginia,1.660398851,2.611637183,87.71498456,40.34495262,2.135177896,12.14492993,146.612081
2007,West Virginia,1.72597796,2.598512796,89.06506674,40.68447705,2.037521832,12.10702729,148.2185837
2008,West Virginia,1.523415484,2.642941906,86.6087725,45.50153631,2.074769297,11.16575835,149.5171938
2009,West Virginia,1.566691436,2.667463962,67.64906812,42.64289151,2.061432009,11.74350749,128.3310545
2010,West Virginia,1.458520063,3.330180893,76.28607154,42.1263383,2.156922275,11.9996933,137.3577264
2011,West Virginia,1.502360559,3.150961884,74.08560422,39.2431209,2.024512378,11.55809127,131.5646512
2012,West Virginia,1.44415178,2.993757748,68.86536456,37.69259968,1.791498734,12.07082045,124.858193
2013,West Virginia,1.515318845,3.069430161,70.78152785,39.44356335,2.184704652,11.52965669,128.5242015
2014,West Virginia,1.448608735,3.022801936,75.62741147,42.89359418,2.250155199,11.70931635,136.9518879
2015,West Virginia,1.413194518,3.027841978,68.10014032,42.01181214,2.000336667,12.31798938,128.871315
2016,West Virginia,1.471491667,2.957400629,71.03473382,39.0070612,1.843005381,11.05484903,127.3685417
2017,West Virginia,1.42676021,2.885925173,67.39865781,42.34781732,1.723416586,12.01471793,127.797295
2018,West Virginia,1.516704996,3.083483475,62.43781022,42.0505875,2.037481241,13.69592606,124.8219935
2019,West Virginia,1.414158542,3.077550085,58.96940933,39.30919291,1.946305249,13.7367796,118.4533957
2020,West Virginia,1.426496646,2.886287031,51.6012993,39.42401498,1.91729212,11.64638678,108.9017769
2021,West Virginia,1.381329172,2.903346605,60.37321266,38.17959006,1.962126769,13.82276443,118.6223697
2022,West Virginia,1.358561573,2.985569195,52.7797783,42.23799052,2.077265862,13.37272125,114.8118867
