Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Wisconsin,21.4593347,9.348289391,34.32353003,17.95526672,9.620688106,25.17896217,117.8860711
1991,Wisconsin,21.13704754,9.939733603,35.47789243,18.25604937,10.39267124,25.32295925,120.5263534
1992,Wisconsin,20.23711884,10.00776567,34.61171834,17.90802619,10.02638539,26.49691337,119.2879278
1993,Wisconsin,20.3689404,9.998720204,35.36661419,18.73282381,10.56870555,27.2726897,122.3084938
1994,Wisconsin,19.87456088,9.85566756,37.09399277,19.2392282,10.11946393,28.84624816,125.0291615
1995,Wisconsin,19.63273072,10.23750402,38.88071607,19.83453839,10.41233759,29.5595002,128.557327
1996,Wisconsin,19.21794354,11.33522321,40.7002738,19.68496816,11.69074902,30.41229137,133.0414491
1997,Wisconsin,18.84515678,11.39393862,43.8612887,20.15960565,10.5513172,30.71419244,135.5254994
1998,Wisconsin,19.48648518,10.80851386,43.11743401,19.37272689,9.095169492,32.52271366,134.4030431
1999,Wisconsin,20.79386596,10.4817131,43.8619142,19.48808277,10.17641422,33.07820449,137.8801947
2000,Wisconsin,20.37963601,10.36374476,45.59946386,19.98632882,10.44166615,32.3506453,139.1214849
2001,Wisconsin,20.70281091,10.16291083,45.2500693,19.00570678,10.00458682,32.3041395,137.4302241
2002,Wisconsin,21.00765758,10.39485045,45.00621345,19.30404544,10.67329788,32.7072439,139.0933087
2003,Wisconsin,19.43854923,10.75534633,44.91917776,19.29731631,10.82255543,32.72640875,137.9593538
2004,Wisconsin,19.40310503,10.45548143,46.12898727,19.85061549,10.398915,33.21651289,139.4536171
2005,Wisconsin,19.43462639,11.01245917,50.16551653,19.32004451,10.24759284,32.54845183,142.7286913
2006,Wisconsin,20.25837468,10.18931997,44.33108342,19.19488915,9.312365344,32.41070036,135.6967329
2007,Wisconsin,20.60273205,10.40105323,45.10249596,19.34664869,9.82214141,32.54539551,137.8204668
2008,Wisconsin,20.09355981,11.21879358,45.63998989,18.16630786,10.51152912,31.58573119,137.2159114
2009,Wisconsin,20.32988608,10.44924249,40.71764723,16.08101443,9.686188963,30.27379901,127.5377782
2010,Wisconsin,21.33879634,8.493141519,43.84835173,15.90461694,9.097852232,31.10155382,129.7843126
2011,Wisconsin,20.88295293,8.725372202,43.02099353,16.18449052,9.423779486,29.88584694,128.1234356
2012,Wisconsin,21.05745072,8.003919017,38.10697531,15.59097669,8.108787318,29.9108537,120.7789628
2013,Wisconsin,21.78312435,9.172747179,44.5634193,16.80159945,10.35976493,28.99872596,131.6793812
2014,Wisconsin,22.82852725,9.518274487,40.87867913,16.81691675,11.04003513,31.53197753,132.6144103
2015,Wisconsin,22.93787038,9.105068525,42.74246825,16.25632169,9.597753232,30.30414131,130.9436234
2016,Wisconsin,23.1074823,8.919648051,39.64311308,15.63386055,9.367154883,30.41639598,127.0876548
2017,Wisconsin,22.77097518,9.102750882,41.97180741,16.15442659,9.611482276,30.0700842,129.6815265
2018,Wisconsin,23.74297913,9.459523175,40.61428142,16.86675034,10.72502594,32.08958052,133.4981405
2019,Wisconsin,22.75099797,9.550052579,33.90017798,16.4516307,11.69734238,31.27831935,125.628521
2020,Wisconsin,22.17831432,8.982627518,32.15439927,15.37874065,10.59303273,28.27612102,117.5632355
2021,Wisconsin,22.49003693,9.461709652,35.69792297,14.97735865,10.49308846,30.49326642,123.6133831
2022,Wisconsin,22.32555393,10.40588019,31.79403883,15.22050854,11.62547171,30.66106382,122.032517
