Year,State,Agriculture,Commercial,Electric power industry,Industry,Residential,Transportation,Gross total
1990,Wyoming,7.705750544,1.103487064,40.4971849,24.31119649,0.845058305,5.284513759,79.74719106
1991,Wyoming,7.532482778,1.202528933,39.54782833,24.23278606,0.900626792,5.161016318,78.57726921
1992,Wyoming,7.76047396,0.987460346,43.29345205,26.34984638,0.784159456,5.483655078,84.65904727
1993,Wyoming,8.433998435,1.189196924,41.18233023,24.50251575,0.8960819,5.896515339,82.10063857
1994,Wyoming,8.726981559,1.222973063,43.22022987,25.6535489,0.838288083,5.799334885,85.46135636
1995,Wyoming,8.890023285,1.148235125,40.63810118,25.9033709,0.884294435,6.19598869,83.66001361
1996,Wyoming,8.76815629,1.519268295,41.42061554,26.10045207,0.980433641,6.607971228,85.39689706
1997,Wyoming,9.740043887,1.129043815,41.05412319,26.9810092,0.838097961,6.769778639,86.5120967
1998,Wyoming,9.497023145,1.104390212,45.56392349,28.65006923,0.805068856,7.0974132,92.71788813
1999,Wyoming,8.4786763,1.068805094,43.80218404,29.12138413,0.790319561,8.289247469,91.55061659
2000,Wyoming,8.210533616,1.177708965,45.18297196,32.43057586,0.855642337,7.39069758,95.24813032
2001,Wyoming,8.429851472,1.190342348,45.17353107,34.46135557,0.823519188,7.775816213,97.85441586
2002,Wyoming,8.318691372,1.136372585,43.71662098,34.82314129,0.936041427,7.576318792,96.50718645
2003,Wyoming,7.926311359,1.100854977,44.91858018,35.21183546,0.861315255,7.505923715,97.52482095
2004,Wyoming,8.240075327,1.137762484,45.45687982,36.57287249,0.85867541,7.828994715,100.0952603
2005,Wyoming,8.063640159,1.144862602,44.65998157,37.31143615,0.847053969,7.955342938,99.98231738
2006,Wyoming,8.259613096,1.224403504,44.27888982,40.14785976,0.835146672,8.117442433,102.8633553
2007,Wyoming,8.822892234,1.368564901,44.76160281,41.91679489,0.968332707,8.570187738,106.4083753
2008,Wyoming,8.42093338,1.345081789,45.24397034,42.96683091,1.001151103,8.583972526,107.5619401
2009,Wyoming,8.589370269,1.287205195,43.11958765,40.79818676,0.985992038,7.986152519,102.7664944
2010,Wyoming,8.372540224,1.382094493,44.05318346,40.71324441,0.968867289,8.257190361,103.7471202
2011,Wyoming,8.806759363,1.668075154,42.27543972,41.9138024,1.009725735,7.577797658,103.2516
2012,Wyoming,8.270105741,1.443196918,44.60551332,38.9671977,0.85360882,8.069433914,102.2090564
2013,Wyoming,9.168066371,1.621879345,47.53270442,37.34915844,1.001074673,7.956220144,104.6291034
2014,Wyoming,9.640934926,1.458135992,44.46988513,35.67172312,0.991975243,7.925260056,100.1579145
2015,Wyoming,8.957920951,1.517255788,44.62366375,33.80840032,0.885177852,7.528827659,97.32124633
2016,Wyoming,8.459944828,1.492832345,41.50683358,31.32222549,0.938719971,7.312081481,91.03263769
2017,Wyoming,9.265242248,1.376500515,41.66454653,31.74050914,1.023638531,7.173024463,92.24346143
2018,Wyoming,8.91249532,1.311056293,41.46615643,33.43761446,1.047749033,7.526353041,93.70142458
2019,Wyoming,9.410760077,1.336114175,37.15698045,31.23554633,1.12887092,7.425477266,87.69374922
2020,Wyoming,8.458329841,1.238501269,35.96603093,31.33227068,1.02658774,6.994400615,85.01612108
2021,Wyoming,8.722726518,1.278422387,34.77551121,31.03195039,1.046180561,7.300548672,84.15533974
2022,Wyoming,8.557221345,1.446745481,36.24421028,29.37228303,1.100727174,6.920055479,83.64124279
