year,state,fuel_type,registrations,record_type
2016,Alabama,EV,500,Historical
2016,Alabama,PHEV,900,Historical
2016,Alabama,HEV,29100,Historical
2016,Alabama,Biodiesel,0,Historical
2016,Alabama,E85,428300,Historical
2016,Alabama,CNG,20100,Historical
2016,Alabama,Propane,0,Historical
2016,Alabama,Hydrogen,0,Historical
2016,Alabama,Methanol,0,Historical
2016,Alabama,Gasoline,3777300,Historical
2016,Alabama,Diesel,126500,Historical
2016,Alabama,Unknown Fuel,53900,Historical
2016,Alaska,EV,200,Historical
2016,Alaska,PHEV,200,Historical
2016,Alaska,HEV,5000,Historical
2016,Alaska,Biodiesel,0,Historical
2016,Alaska,E85,55700,Historical
2016,Alaska,CNG,4900,Historical
2016,Alaska,Propane,0,Historical
2016,Alaska,Hydrogen,0,Historical
2016,Alaska,Methanol,0,Historical
2016,Alaska,Gasoline,525900,Historical
2016,Alaska,Diesel,44800,Historical
2016,Alaska,Unknown Fuel,19400,Historical
2016,Arizona,EV,4700,Historical
2016,Arizona,PHEV,4400,Historical
2016,Arizona,HEV,89600,Historical
2016,Arizona,Biodiesel,0,Historical
2016,Arizona,E85,427300,Historical
2016,Arizona,CNG,17500,Historical
2016,Arizona,Propane,0,Historical
2016,Arizona,Hydrogen,0,Historical
2016,Arizona,Methanol,100,Historical
2016,Arizona,Gasoline,4805000,Historical
2016,Arizona,Diesel,179500,Historical
2016,Arizona,Unknown Fuel,112800,Historical
2016,Arkansas,EV,200,Historical
2016,Arkansas,PHEV,500,Historical
2016,Arkansas,HEV,19100,Historical
2016,Arkansas,Biodiesel,0,Historical
2016,Arkansas,E85,320500,Historical
2016,Arkansas,CNG,12600,Historical
2016,Arkansas,Propane,0,Historical
2016,Arkansas,Hydrogen,0,Historical
2016,Arkansas,Methanol,0,Historical
2016,Arkansas,Gasoline,2097800,Historical
2016,Arkansas,Diesel,96800,Historical
2016,Arkansas,Unknown Fuel,22200,Historical
2016,California,EV,141500,Historical
2016,California,PHEV,116700,Historical
2016,California,HEV,966700,Historical
2016,California,Biodiesel,0,Historical
2016,California,E85,1322600,Historical
2016,California,CNG,80600,Historical
2016,California,Propane,0,Historical
2016,California,Hydrogen,1300,Historical
2016,California,Methanol,400,Historical
2016,California,Gasoline,27241000,Historical
2016,California,Diesel,710400,Historical
2016,California,Unknown Fuel,115500,Historical
2016,Colorado,EV,5300,Historical
2016,Colorado,PHEV,3800,Historical
2016,Colorado,HEV,74000,Historical
2016,Colorado,Biodiesel,0,Historical
2016,Colorado,E85,355500,Historical
2016,Colorado,CNG,15900,Historical
2016,Colorado,Propane,0,Historical
2016,Colorado,Hydrogen,0,Historical
2016,Colorado,Methanol,0,Historical
2016,Colorado,Gasoline,4180500,Historical
2016,Colorado,Diesel,226800,Historical
2016,Colorado,Unknown Fuel,89900,Historical
2016,Connecticut,EV,2000,Historical
2016,Connecticut,PHEV,2800,Historical
2016,Connecticut,HEV,43200,Historical
2016,Connecticut,Biodiesel,0,Historical
2016,Connecticut,E85,160800,Historical
2016,Connecticut,CNG,3200,Historical
2016,Connecticut,Propane,0,Historical
2016,Connecticut,Hydrogen,0,Historical
2016,Connecticut,Methanol,0,Historical
2016,Connecticut,Gasoline,2690900,Historical
2016,Connecticut,Diesel,59700,Historical
2016,Connecticut,Unknown Fuel,30200,Historical
2016,Delaware,EV,300,Historical
2016,Delaware,PHEV,700,Historical
2016,Delaware,HEV,11200,Historical
2016,Delaware,Biodiesel,0,Historical
2016,Delaware,E85,68300,Historical
2016,Delaware,CNG,1400,Historical
2016,Delaware,Propane,0,Historical
2016,Delaware,Hydrogen,0,Historical
2016,Delaware,Methanol,0,Historical
2016,Delaware,Gasoline,749800,Historical
2016,Delaware,Diesel,17000,Historical
2016,Delaware,Unknown Fuel,7200,Historical
2016,District of Columbia,EV,600,Historical
2016,District of Columbia,PHEV,500,Historical
2016,District of Columbia,HEV,11800,Historical
2016,District of Columbia,Biodiesel,0,Historical
2016,District of Columbia,E85,17600,Historical
2016,District of Columbia,CNG,300,Historical
2016,District of Columbia,Propane,0,Historical
2016,District of Columbia,Hydrogen,0,Historical
2016,District of Columbia,Methanol,0,Historical
2016,District of Columbia,Gasoline,277800,Historical
2016,District of Columbia,Diesel,3200,Historical
2016,District of Columbia,Unknown Fuel,1300,Historical
2016,Florida,EV,11600,Historical
2016,Florida,PHEV,10100,Historical
2016,Florida,HEV,207100,Historical
2016,Florida,Biodiesel,0,Historical
2016,Florida,E85,1168900,Historical
2016,Florida,CNG,18000,Historical
2016,Florida,Propane,0,Historical
2016,Florida,Hydrogen,0,Historical
2016,Florida,Methanol,0,Historical
2016,Florida,Gasoline,13929200,Historical
2016,Florida,Diesel,353300,Historical
2016,Florida,Unknown Fuel,133600,Historical
2016,Georgia,EV,18000,Historical
2016,Georgia,PHEV,4000,Historical
2016,Georgia,HEV,86400,Historical
2016,Georgia,Biodiesel,0,Historical
2016,Georgia,E85,710700,Historical
2016,Georgia,CNG,26900,Historical
2016,Georgia,Propane,0,Historical
2016,Georgia,Hydrogen,0,Historical
2016,Georgia,Methanol,0,Historical
2016,Georgia,Gasoline,7377700,Historical
2016,Georgia,Diesel,206700,Historical
2016,Georgia,Unknown Fuel,114800,Historical
2016,Hawaii,EV,4200,Historical
2016,Hawaii,PHEV,1200,Historical
2016,Hawaii,HEV,22600,Historical
2016,Hawaii,Biodiesel,0,Historical
2016,Hawaii,E85,43600,Historical
2016,Hawaii,CNG,1500,Historical
2016,Hawaii,Propane,0,Historical
2016,Hawaii,Hydrogen,0,Historical
2016,Hawaii,Methanol,0,Historical
2016,Hawaii,Gasoline,953300,Historical
2016,Hawaii,Diesel,17800,Historical
2016,Hawaii,Unknown Fuel,7400,Historical
2016,Idaho,EV,400,Historical
2016,Idaho,PHEV,600,Historical
2016,Idaho,HEV,16300,Historical
2016,Idaho,Biodiesel,0,Historical
2016,Idaho,E85,107100,Historical
2016,Idaho,CNG,12800,Historical
2016,Idaho,Propane,0,Historical
2016,Idaho,Hydrogen,0,Historical
2016,Idaho,Methanol,0,Historical
2016,Idaho,Gasoline,1354300,Historical
2016,Idaho,Diesel,123000,Historical
2016,Idaho,Unknown Fuel,56200,Historical
2016,Illinois,EV,5800,Historical
2016,Illinois,PHEV,6000,Historical
2016,Illinois,HEV,146500,Historical
2016,Illinois,Biodiesel,0,Historical
2016,Illinois,E85,968600,Historical
2016,Illinois,CNG,18500,Historical
2016,Illinois,Propane,0,Historical
2016,Illinois,Hydrogen,0,Historical
2016,Illinois,Methanol,0,Historical
2016,Illinois,Gasoline,8748600,Historical
2016,Illinois,Diesel,200900,Historical
2016,Illinois,Unknown Fuel,94500,Historical
2016,Indiana,EV,1300,Historical
2016,Indiana,PHEV,2400,Historical
